Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.287046747830706949e-10,9.531159870745342216e-06
9.452492722883762150e-10,9.650615809203603473e-06
9.617811541042860654e-10,9.771569650142489984e-06
9.783367758349165714e-10,9.894040128029968378e-06
9.949743212945553809e-10,1.001804618190501846e-05
1.011760322128183936e-09,1.014360697760190751e-05
1.028770382030120005e-09,1.027074190971135104e-05
1.046089951795231157e-09,1.039947060350649977e-05
1.063815158391052129e-09,1.052981291682952416e-05
1.082050424902814687e-09,1.066178894663552507e-05
1.100721405450545275e-09,1.079541930136203251e-05
1.119755266806475571e-09,1.093072484466978551e-05
1.139159807456920479e-09,1.106772658482239087e-05
1.158943005613803354e-09,1.120644579374885883e-05
1.179113023535474665e-09,1.134690401035785838e-05
1.199678211953886660e-09,1.148912304389376681e-05
1.220647114610772426e-09,1.163312497733504211e-05
1.242028472905547288e-09,1.177893217083544682e-05
1.263831230713988667e-09,1.192656726521175191e-05
1.286064539068581357e-09,1.207605318548076848e-05
1.308737760988223703e-09,1.222741314442285775e-05
1.331860476857930308e-09,1.238067064620003057e-05
1.355442489680113492e-09,1.253584949001994600e-05
1.379493830449325605e-09,1.269297377384611890e-05
1.404024763659442464e-09,1.285206789815490916e-05
1.429045792946608839e-09,1.301315656973997527e-05
1.454567666840258604e-09,1.317626480556442768e-05
1.480601384793352397e-09,1.334141793665477650e-05
1.507158203895145362e-09,1.350864161204901473e-05
1.534249644569875099e-09,1.367796180280381932e-05
1.561887496873023503e-09,1.384940480604546934e-05
1.590083827032260893e-09,1.402299724907152845e-05
1.618850984150287186e-09,1.419876609350427941e-05
1.648201607073623478e-09,1.437673863949663406e-05
1.678148631426779579e-09,1.455694252999110470e-05
1.708705295940183634e-09,1.473940575503458995e-05
1.739885150211883535e-09,1.492415665616138400e-05
1.771702063040150417e-09,1.511122393080615899e-05
1.804170229812954587e-09,1.530063663677747461e-05
1.837304180452601863e-09,1.549242419679296026e-05
1.871118787556988891e-09,1.568661640307181926e-05
1.905629274742383636e-09,1.588324342198539545e-05
1.940851225192754125e-09,1.608233579876649515e-05
1.976881660083555430e-09,1.628392663885785583e-05
2.013899901880699981e-09,1.648805163564867027e-05
2.051832119544638593e-09,1.669474006873561305e-05
2.090578649568874722e-09,1.690402091182165457e-05
2.130024585621609796e-09,1.711592312178489229e-05
2.170038475086010255e-09,1.733047560849460960e-05
2.210470925264872749e-09,1.754770720225957940e-05
2.251153113632371367e-09,1.776764661875843018e-05
2.291909999984177481e-09,1.799032281875180433e-05
2.332772607090429672e-09,1.821577071254038225e-05
2.373828407171993988e-09,1.844402714819795387e-05
2.415152032487883857e-09,1.867512905641001528e-05
2.456829240839676426e-09,1.890911409913721377e-05
2.498957901991651952e-09,1.914602070139116211e-05
2.541649054135504272e-09,1.938588808495399346e-05
2.585028034822852396e-09,1.962875630416098020e-05
2.629235560205364112e-09,1.987466628035983667e-05
2.674096432188652608e-09,2.012365091272380992e-05
2.719405020550020064e-09,2.037574274863832748e-05
2.765238959538630683e-09,2.063098241168787224e-05
2.811686156902028790e-09,2.088941127799496004e-05
2.858845678695829094e-09,2.115107150579249599e-05
2.906828696186057945e-09,2.141600606673217549e-05
2.955759498741510441e-09,2.168425877903424018e-05
3.005776576842362503e-09,2.195587434259029856e-05
3.056954660720070186e-09,2.223089625194377014e-05
3.109132830969815902e-09,2.250936218751017827e-05
3.162314667955934892e-09,2.279131476507106256e-05
3.216521572280503177e-09,2.307679760405743059e-05
3.271775435375303093e-09,2.336585486867834248e-05
3.328098651276781502e-09,2.365853127470158923e-05
3.385514128690929418e-09,2.395487209631809854e-05
3.444045303355377984e-09,2.425492317309123027e-05
3.503716150714100047e-09,2.455873091699367885e-05
3.564551197801427582e-09,2.486634231955582824e-05
3.626575534646306840e-09,2.517780495903660076e-05
3.689814829970931952e-09,2.549316700772635488e-05
3.754295345462624742e-09,2.581247723934433912e-05
3.820043950033196817e-09,2.613578503651918552e-05
3.887088134428372423e-09,2.646314039836155703e-05
3.955456026196006264e-09,2.679459394813044280e-05
4.025176405021884265e-09,2.713019694099380279e-05
4.096278720418331632e-09,2.747000127184669207e-05
4.168793109782117352e-09,2.781405948331986579e-05
4.242750411106955452e-09,2.816242477387856957e-05
4.318182180451552793e-09,2.851515100591489236e-05
4.395120709316235214e-09,2.887229271399926661e-05
4.473599042446288851e-09,2.923390511323377514e-05
4.553650996075748670e-09,2.960004410770835200e-05
4.635311176622665478e-09,2.997076629906122617e-05
4.718622755344749395e-09,3.034612873012620929e-05
4.803648618350493194e-09,3.072618851322230209e-05
4.890415422095584349e-09,3.111100475137737936e-05
4.978944781020346690e-09,3.150063748243818858e-05
5.069256995326608834e-09,3.189514756151324589e-05
5.161370887201220302e-09,3.229459667651775752e-05
5.255303624776445502e-09,3.269904736426924478e-05
5.351070533045615212e-09,3.310856302716202462e-05
5.448718845707351406e-09,3.352320679007967253e-05
5.548986775132277854e-09,3.394301898797943908e-05
5.651942872167843093e-09,3.436806367529232728e-05
5.757243919127634184e-09,3.479841982316756431e-05
5.864494860715173760e-09,3.523416903005438652e-05
5.973244368407871471e-09,3.567539568434321419e-05
6.082980097093182326e-09,3.612218713767085577e-05
6.193123614804303839e-09,3.657463388954644980e-05
6.303024985284926697e-09,3.703282978399289444e-05
6.412057913769294836e-09,3.749686876941436066e-05
6.520299077277891241e-09,3.796682169467804706e-05
6.628191145458212227e-09,3.844274783766376570e-05
6.736245592942664194e-09,3.892470507332576238e-05
6.845047814281338391e-09,3.941274971117917291e-05
6.955263524570594120e-09,3.990693628901658037e-05
7.067645608603865720e-09,4.040731735146281810e-05
7.183041446646197540e-09,4.091394321241068158e-05
7.302063832426575491e-09,4.142687321408778159e-05
7.423548802630117643e-09,4.194622844273474140e-05
7.547312231817043947e-09,4.247209753762734412e-05
7.673401742794385153e-09,4.300456226975283539e-05
7.801866036325710665e-09,4.354370543843811252e-05
