Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.327466871352457015e-10,9.549199685344690323e-06
9.499726302428049196e-10,9.669170485590978360e-06
9.674860347849385760e-10,9.790648561057770387e-06
9.852908932416855111e-10,9.913652848290127105e-06
1.003391264674412339e-09,1.003820252177250593e-05
1.021791279349599629e-09,1.016431699692515867e-05
1.040495143804555951e-09,1.029201593313889644e-05
1.059507146389461591e-09,1.042131923684870623e-05
1.078831663322473333e-09,1.055224706464682062e-05
1.098473165297057896e-09,1.068481982643573184e-05
1.118436224683338669e-09,1.081905818862180079e-05
1.138725523367989688e-09,1.095498307734994198e-05
1.159345861280146884e-09,1.109261568178006390e-05
1.180302165653906515e-09,1.123197745740577628e-05
1.201599501081291854e-09,1.137309012941606394e-05
1.223243080413033486e-09,1.151597569610049991e-05
1.245238276568240144e-09,1.166065643229862945e-05
1.267590635317940930e-09,1.180715489289421317e-05
1.290305889111652025e-09,1.195549391635498948e-05
1.313389972020517295e-09,1.210569662831860555e-05
1.336849035875252144e-09,1.225778644522546708e-05
1.360689467682049981e-09,1.241178707799915915e-05
1.384917908404868222e-09,1.256772253577521056e-05
1.409541273208045415e-09,1.272561712967896420e-05
1.434566773259073234e-09,1.288549547665325279e-05
1.460001939197577195e-09,1.304738250333670869e-05
1.485854646383136255e-09,1.321130344999354609e-05
1.512133142041537955e-09,1.337728387449555617e-05
1.538846074436449196e-09,1.354534965635720932e-05
1.566002524201277449e-09,1.371552700082472201e-05
1.593612037974269245e-09,1.388784244302001301e-05
1.621684664488613294e-09,1.406232285214038080e-05
1.650230993278572402e-09,1.423899543571491362e-05
1.679262196172442291e-09,1.441788774391855870e-05
1.708790071753469407e-09,1.459902767394486887e-05
1.738827092980807112e-09,1.478244347443840738e-05
1.769386458174146632e-09,1.496816374998790702e-05
1.800482145577882968e-09,1.515621746568120674e-05
1.832128971733619317e-09,1.534663395172314313e-05
1.864342653903460154e-09,1.553944290811748436e-05
1.897139876801003688e-09,1.573467440941411961e-05
1.930538363902199278e-09,1.593235890952269645e-05
1.964556953624396437e-09,1.613252724659401750e-05
