Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.329526510760184468e-10,9.550637041664553770e-06
9.502867545917114591e-10,9.671353689961214144e-06
9.679118679156631342e-10,9.793596183249370682e-06
9.858320575494137131e-10,9.917383807648908058e-06
1.004051458305664395e-09,1.004273609308158024e-05
1.022574278085093173e-09,1.016967281635985335e-05
1.041404803112368200e-09,1.029821400431556584e-05
1.060547403667324707e-09,1.042837993696888714e-05
1.080006540349705668e-09,1.056019115073817609e-05
1.099786770918444761e-09,1.069366844169134572e-05
1.119892757749200854e-09,1.082883286883924426e-05
1.140329275956780900e-09,1.096570575747175703e-05
1.161101222232143686e-09,1.110430870253715965e-05
1.182213624446976317e-09,1.124466357206539824e-05
1.203671652082285899e-09,1.138679251063591688e-05
1.225480627541144113e-09,1.153071794289068951e-05
1.247646038409619610e-09,1.167646257709311859e-05
1.270173550734078191e-09,1.182404940873352913e-05
1.293069023387404429e-09,1.197350172418183565e-05
1.316338523601376107e-09,1.212484310438825960e-05
1.339988343747325964e-09,1.227809742863269190e-05
1.364025019452461481e-09,1.243328887832350362e-05
1.388455349144752888e-09,1.259044194084658388e-05
1.413286415125147920e-09,1.274958141346532189e-05
1.438525606272091451e-09,1.291073240727241536e-05
1.464180642489915140e-09,1.307392035119427305e-05
1.490259601019596738e-09,1.323917099604883616e-05
1.516770944737806180e-09,1.340651041865776913e-05
1.543723552577917080e-09,1.357596502601378386e-05
1.571126752214972059e-09,1.374756155950409672e-05
1.598990355165299748e-09,1.392132709919091801e-05
1.627324694460768660e-09,1.409728906814991578e-05
1.656140665067444994e-09,1.427547523686769071e-05
1.685449767228787386e-09,1.445591372769916162e-05
1.715264152924500787e-09,1.463863301938605934e-05
1.745596675647737039e-09,1.482366195163745221e-05
1.776460943715646441e-09,1.501102972977349576e-05
1.807871377341231023e-09,1.520076592943348073e-05
1.839843269708200681e-09,1.539290050134941258e-05
1.872392852305040585e-09,1.558746377618624914e-05
1.905537364789850387e-09,1.578448646945006351e-05
1.939295129673764239e-09,1.598399968646550443e-05
1.973685632127876846e-09,1.618603492742366881e-05
2.008729605236793839e-09,1.639062409250197880e-05
2.044449121041051175e-09,1.659779948705729339e-05
2.080867687730938858e-09,1.680759382689380957e-05
2.118010353375674363e-09,1.702004024360723714e-05
2.155903816594486280e-09,1.723517229000674135e-05
2.194576544600111423e-09,1.745302394561637439e-05
2.234058899070451752e-09,1.767362962225755790e-05
2.274383270330823903e-09,1.789702416971438486e-05
2.315584220357479917e-09,1.812324288148353679e-05
2.357698635142803691e-09,1.835232150061066596e-05
2.400760827618092549e-09,1.858429621610255020e-05
2.444626883722346487e-09,1.881920333862987000e-05
2.489221908781745187e-09,1.905707977169715262e-05
2.534555868568360867e-09,1.929796304671757299e-05
2.580638877543049278e-09,1.954189116954159507e-05
2.627481208930669213e-09,1.978890262647063137e-05
2.675093305808979177e-09,2.003903639034855828e-05
2.723485793292415549e-09,2.029233192673206651e-05
2.772669491897568976e-09,2.054882920014114420e-05
2.822655432183032581e-09,2.080856868039080069e-05
2.873454870762567281e-09,2.107159134900517944e-05
2.925079307797178761e-09,2.133793870571539173e-05
2.977540506078768540e-09,2.160765277504219593e-05
3.030850511825483521e-09,2.188077611296490135e-05
3.085021677316861220e-09,2.215735181367769268e-05
3.140066685505300557e-09,2.243742351643485895e-05
3.195998576749297247e-09,2.272103541248609267e-05
3.252830777823430541e-09,2.300823225210350562e-05
3.310577133370076703e-09,2.329905935170151679e-05
3.369251939968545713e-09,2.359356260105130977e-05
3.428869983008633197e-09,2.389178847059129294e-05
3.489446576567515042e-09,2.419378401883497519e-05
3.550997606501706100e-09,2.449959689987810370e-05
3.613539576979170839e-09,2.480927537100644287e-05
3.677089660690981914e-09,2.512286830040596960e-05
3.741665752997030719e-09,2.544042517497723677e-05
3.807286530276267201e-09,2.576199610825558189e-05
3.873971512768905539e-09,2.608763184843902080e-05
3.941741132216002329e-09,2.641738378652577109e-05
4.010616804620734883e-09,2.675130396456316042e-05
4.080621008475943781e-09,2.708944508401004396e-05
4.151777368823670977e-09,2.743186051421470973e-05
4.224110747535044826e-09,2.777860430101032166e-05
4.297647340222687032e-09,2.812973117543012620e-05
4.372414780223062894e-09,2.848529656254467931e-05
4.448442250112870334e-09,2.884535659042322114e-05
4.525760601251897406e-09,2.920996809922180433e-05
4.604402481874563970e-09,2.957918865040044899e-05
4.684402474284074806e-09,2.995307653607196731e-05
4.765797241736490678e-09,3.033169078848497517e-05
4.848625685637409814e-09,3.071509118964390277e-05
4.932929113711368133e-09,3.110333828106875563e-05
5.018751419843573509e-09,3.149649337369746503e-05
5.106139276335421562e-09,3.189461855793395529e-05
5.195142339359462346e-09,3.229777671384501434e-05
5.285813468446133691e-09,3.270603152150905094e-05
5.378208960884045661e-09,3.311944747152022477e-05
5.472388801967767542e-09,3.353808987565150702e-05
5.568416932082197094e-09,3.396202487767993768e-05
5.666361531670932812e-09,3.439131946437823324e-05
5.766295325197641149e-09,3.482604147667629573e-05
5.868295905274485771e-09,3.526625962099687843e-05
5.972446078200461029e-09,3.571204348076948771e-05
6.078834232225062713e-09,3.616346352812691868e-05
6.187554729929538665e-09,3.662059113578897839e-05
6.298697572929672626e-09,3.708349856679759844e-05
6.411902558849160142e-09,3.755225806028126949e-05
6.526968549512339191e-09,3.802694311014747096e-05
6.643920793164968748e-09,3.850762861519707548e-05
6.762784911882174874e-09,3.899439042106667125e-05
6.883586926885876732e-09,3.948730533224282992e-05
7.006353286411097703e-09,3.998645112423303494e-05
7.131110896325455346e-09,4.049190655589597404e-05
7.257887153719993310e-09,4.100375138193327620e-05
7.386709983704400922e-09,4.152206636554539685e-05
7.517607879655371041e-09,4.204693329125415170e-05
7.650609947183569848e-09,4.257843497789431833e-05
7.785745952102433666e-09,4.311665529177727361e-05
7.923046372700815439e-09,4.366167916002912662e-05
8.062542456641508939e-09,4.421359258410626099e-05
8.204266282828842938e-09,4.477248265349122744e-05
8.348250828611017930e-09,4.533843755957180555e-05
8.494530042706732869e-09,4.591154660970631784e-05
8.643138924270891642e-09,4.649190024147836087e-05
8.794113608541034237e-09,4.707959003714408370e-05
8.947491459534447009e-09,4.767470873827532764e-05
9.103311170296237480e-09,4.827735026060207612e-05
9.261612871230287228e-09,4.888760970905758945e-05
9.422438247079110945e-09,4.950558339302991062e-05
9.585830663154279784e-09,5.013136884182342861e-05
9.751835301457119030e-09,5.076506482033424621e-05
9.920499307369606024e-09,5.140677134494338454e-05
1.009187194763795104e-08,5.205658969963191009e-05
1.026600478041638215e-08,5.271462245232184690e-05
1.044295183818663660e-08,5.338097347144783413e-05
1.062276982441881138e-08,5.405574794276335742e-05
1.080551832489317460e-08,5.473905238638654159e-05
1.099126003465885521e-08,5.543099467409024796e-05
