Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.326772586113429647e-10,9.548722396822066736e-06
9.498667488760391295e-10,9.668441921374958158e-06
9.673425093947363381e-10,9.789662488834443424e-06
9.851085079002199065e-10,9.912402918883691638e-06
1.003168778131202235e-09,1.003668226719330321e-05
1.021527424405447281e-09,1.016251982838708054e-05
1.040188626629115548e-09,1.028993513904566782e-05
1.059156645776238008e-09,1.041894798074856312e-05
1.078435829874491146e-09,1.054957838315513304e-05
1.098030620535846001e-09,1.068184662712506505e-05
1.117945560073248624e-09,1.081577324787889483e-05
1.138185299247171061e-09,1.095137903819914196e-05
1.158754605688773542e-09,1.108868505167263681e-05
1.179658373049467932e-09,1.122771260597464013e-05
1.200901630929896056e-09,1.136848328619538193e-05
1.222489555644776086e-09,1.151101894820954336e-05
1.244427481883716443e-09,1.165534172208944707e-05
1.266720915331932884e-09,1.180147401556249497e-05
1.289375546318897770e-09,1.194943851751355455e-05
1.312397264567281404e-09,1.209925820153295295e-05
1.335792175119118006e-09,1.225095632951076974e-05
1.359566615520999095e-09,1.240455645527815536e-05
1.383727174355218779e-09,1.256008242829633408e-05
1.408280711209263278e-09,1.271755839739409285e-05
1.433234378181778734e-09,1.287700881455447424e-05
1.458595643029272637e-09,1.303845843875144780e-05
1.484372314064251298e-09,1.320193233983737112e-05
1.510572566922336556e-09,1.336745590248203019e-05
1.537204973323138800e-09,1.353505483016408898e-05
1.564278531957323948e-09,1.370475514921583108e-05
1.591802701640401783e-09,1.387658321292205712e-05
1.619787436882327959e-09,1.405056570567398856e-05
1.648243226031101397e-09,1.422672964717918914e-05
1.677181132158087191e-09,1.440510239672839005e-05
1.706612836862954335e-09,1.458571165752020465e-05
1.736550687186840770e-09,1.476858548104477808e-05
1.767007745833671361e-09,1.495375227152731873e-05
1.797997844911557860e-09,1.514124079043268722e-05
1.829535643418866189e-09,1.533108016103203053e-05
1.861636688712928199e-09,1.552329987303267256e-05
1.894317482213522573e-09,1.571792978727234698e-05
1.927595549608220865e-09,1.591500014047905152e-05
1.961489515842483481e-09,1.611454155009772960e-05
1.996019185194084581e-09,1.631658501918496548e-05
2.031205626749129561e-09,1.652116194137320039e-05
2.067071265615514738e-09,1.672830410590562852e-05
2.103639980229425884e-09,1.693804370274335844e-05
2.140937206131222127e-09,1.715041332774611395e-05
2.178990046609077878e-09,1.736544598792813451e-05
2.217827390631917326e-09,1.758317510679075583e-05
2.257480038517698667e-09,1.780363452973329367e-05
2.297980835808999655e-09,1.802685852954387388e-05
2.339364815855143577e-09,1.825288181197197069e-05
2.381669351629002666e-09,1.848173952138448955e-05
2.424857433778729956e-09,1.871346710160677168e-05
2.468766651592704126e-09,1.894810020585526664e-05
2.513398515832252189e-09,1.918567524764413940e-05
2.558762831764646274e-09,1.942622911264878845e-05
2.604869553740991511e-09,1.966979914906838298e-05
2.651728795382001945e-09,1.991642317344210599e-05
2.699350840769823711e-09,2.016613947654004150e-05
2.747746156725428119e-09,2.041898682932994226e-05
2.796925406256424362e-09,2.067500448902076578e-05
2.846899463265856954e-09,2.093423220518424583e-05
2.897679428618617073e-09,2.119671022595560393e-05
2.949276647668499773e-09,2.146247930431452897e-05
3.001702729355761182e-09,2.173158070444768561e-05
3.054969566992244109e-09,2.200405620819388279e-05
3.109089360858824103e-09,2.227994812157322053e-05
3.164074642748028209e-09,2.255929928140148555e-05
3.219938302593319813e-09,2.284215306199106953e-05
3.276693617335639025e-09,2.312855338193971796e-05
3.334354282187511606e-09,2.341854471100859696e-05
3.392934444465250107e-09,2.371217207709093151e-05
3.452448740170684766e-09,2.400948107327281121e-05
3.512912333515306113e-09,2.431051786498747441e-05
3.574340959591978708e-09,2.461532919726467362e-05
3.636750970412236065e-09,2.492396240207676186e-05
3.700159384540860394e-09,2.523646540578289592e-05
3.764583940573936803e-09,2.555288673667310481e-05
3.830043154721909150e-09,2.587327553261399202e-05
3.896556382775360980e-09,2.619768154879763007e-05
