Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.082883454601922592e-10,9.539658580906145262e-06
9.246161588802000211e-10,9.659263537859700508e-06
9.412307220122042808e-10,9.780368123247365890e-06
9.581366344761427592e-10,9.902991140253804460e-06
9.753390903450194572e-10,1.002715162901935902e-05
9.928432442508406516e-10,1.015286886732015353e-05
1.010653970368299194e-09,1.028016237434838756e-05
1.028776905036513824e-09,1.040905191645529086e-05
1.047217222394612860e-09,1.053955750523960039e-05
1.065980215374971415e-09,1.067169940318546071e-05
1.085071795334803101e-09,1.080549812945815548e-05
1.104497244099683688e-09,1.094097445838485729e-05
1.124262406866564138e-09,1.107814942565077362e-05
1.144373275312480565e-09,1.121704433035770287e-05
1.164835386698338385e-09,1.135768073799708951e-05
1.185655150914109564e-09,1.150008048660762497e-05
1.206838553484793525e-09,1.164426568610158200e-05
1.228391575786332800e-09,1.179025872351346109e-05
1.250321006709868467e-09,1.193808226881850376e-05
1.272632923373613279e-09,1.208775927391672055e-05
1.295333901529442596e-09,1.223931297868409275e-05
1.318430891493990757e-09,1.239276691724026716e-05
1.341930200416731730e-09,1.254814491606303202e-05
1.365839093711123887e-09,1.270547110021922180e-05
1.390164505488787635e-09,1.286476989893840569e-05
1.414913203630422518e-09,1.302606604687997953e-05
1.440092960202532164e-09,1.318938458947779962e-05
1.465710778065659705e-09,1.335475088523786469e-05
1.491774062260709223e-09,1.352219061119181043e-05
1.518290848936204785e-09,1.369172976737930454e-05
1.545268345069762500e-09,1.386339467795731936e-05
1.572714758673873708e-09,1.403721199880758551e-05
1.600638132793511051e-09,1.421320871915934098e-05
1.629046134943779969e-09,1.439141216590842330e-05
1.657947636099207186e-09,1.457185001178789503e-05
1.687350717491081660e-09,1.475455027343634953e-05
1.717263726338490388e-09,1.493954131892822193e-05
1.747695925711421046e-09,1.512685187496182929e-05
1.778655577565631337e-09,1.531651102536182144e-05
1.810151921516511650e-09,1.550854821980925479e-05
1.842194299372778875e-09,1.570299327787174292e-05
1.874791410496991381e-09,1.589987639143145617e-05
1.907953347267255038e-09,1.609922813376060704e-05
1.941689449163747256e-09,1.630107945891171863e-05
1.976009137068980603e-09,1.650546170895563294e-05
2.010923054588016060e-09,1.671240662208092463e-05
2.046440697812194168e-09,1.692194633118745704e-05
