# Pressure [MeV/fm^3],Energy Density [MeV/fm^3],Number Density [/fm^3]
1.063325754105065746e-09,9.483226366735681396e-06,1.019023678372860955e-08
1.090544362698745016e-09,9.663648475018651540e-06,1.038409257084555968e-08
1.118469670467933326e-09,9.847503345073651963e-06,1.058163620810734101e-08
1.147119875011274913e-09,1.003485629341642851e-05,1.078293785198899603e-08
1.176513397774619405e-09,1.022577387907879800e-05,1.098806899359978532e-08
1.206668942863624797e-09,1.042032392733659064e-05,1.119710248407283139e-08
1.237605591439534800e-09,1.061857555394407752e-05,1.141011256043779468e-08
1.269342941669028946e-09,1.082059918989935218e-05,1.162717487198570544e-08
1.301901306303614047e-09,1.102646660676885731e-05,1.184836650713537310e-08
1.335301981621309219e-09,1.123625094260187834e-05,1.207376602081089407e-08
1.369567369998195429e-09,1.145002672807899263e-05,1.230345346233997882e-08
1.404720336747262115e-09,1.166786991194995797e-05,1.253751040388299981e-08
1.440783919248354782e-09,1.188985788759330983e-05,1.277601996940286821e-08
1.477781347092256510e-09,1.211606952053684302e-05,1.301906686418603628e-08
1.515736093961250219e-09,1.234658517654243746e-05,1.326673740492508262e-08
1.554671972458752863e-09,1.258148675028844029e-05,1.351911955037358228e-08
1.594613284704168563e-09,1.282085769467899812e-05,1.377630293258414584e-08
1.635585044115189184e-09,1.306478305081394103e-05,1.403837888874072824e-08
1.677613287012530237e-09,1.331334947865779921e-05,1.430544049359649330e-08
1.720725485783008920e-09,1.356664528844051199e-05,1.457758259252877487e-08
1.764950491309636085e-09,1.382476047203077434e-05,1.485490183522286072e-08
1.810317513935624937e-09,1.408778673329985229e-05,1.513749670999656009e-08
1.856855892212377090e-09,1.435581752017192892e-05,1.542546757877777577e-08
1.904595131111174296e-09,1.462894805786134523e-05,1.571891671274744046e-08
1.953564986954114316e-09,1.490727538283147744e-05,1.601794832866053764e-08
2.003795619028129759e-09,1.519089837751294711e-05,1.632266862585808307e-08
2.055317827290841573e-09,1.547991780582750197e-05,1.663318582398319572e-08
2.108163399631803024e-09,1.577443634957135903e-05,1.694961020141468173e-08
2.162365596712823633e-09,1.607455864572013981e-05,1.727205413443176005e-08
2.217959740470088955e-09,1.638039132460575496e-05,1.760063213712382959e-08
2.274982653605485027e-09,1.669204304677349111e-05,1.793546090205951542e-08
