Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
1.692815144697847052e-02,2.840930935913906197e+01
1.687634170314360887e-02,2.849694150708111806e+01
1.682572701231601145e-02,2.858484401836383881e+01
1.677633793008331820e-02,2.867301772595252629e+01
1.672820544370205026e-02,2.876146346535790244e+01
1.668136097710257865e-02,2.885018207464369766e+01
1.663583639594695338e-02,2.893917439443411510e+01
1.659166401274011007e-02,2.902844126792146540e+01
1.654887659199501260e-02,2.911798354087367358e+01
1.650750735545227985e-02,2.920780206164196358e+01
1.646758998735478596e-02,2.929789768116840776e+01
1.642915863977791047e-02,2.938827125299359366e+01
1.639224793801582342e-02,2.947892363326427301e+01
1.635689298602449951e-02,2.956985568074106752e+01
1.632312937192200233e-02,2.966106825680614278e+01
1.629099317354659390e-02,2.975256222547092477e+01
1.626052096407321415e-02,2.984433845338385183e+01
1.623174981768899655e-02,2.993639780983811249e+01
1.620471731532837148e-02,3.002874116677945793e+01
1.617946155046831938e-02,3.012136939881394326e+01
1.615602113498442252e-02,3.021428338321579687e+01
1.613443520506831208e-02,3.030748399993521858e+01
1.611474342720712119e-02,3.040097213160626310e+01
1.609698600422554415e-02,3.049474866355468450e+01
1.608120368139117490e-02,3.058881448380588353e+01
1.606743775258370407e-02,3.068317048309274497e+01
1.605573006652864787e-02,3.077781755486365967e+01
1.604612303309624344e-02,3.087275659529039018e+01
1.603865962966614586e-02,3.096798850327611774e+01
1.603338340755863095e-02,3.106351418046339319e+01
1.603033849853287979e-02,3.115933453124218033e+01
1.602956962135312219e-02,3.125545046275786731e+01
1.603112208842323583e-02,3.135186288491930995e+01
1.603504181249051225e-02,3.144857271040696389e+01
1.604137531341926978e-02,3.154558085468088180e+01
1.605016972503503850e-02,3.164288823598893430e+01
1.606147280203997635e-02,3.174049577537484623e+01
1.607533292700025901e-02,3.183840439668641764e+01
1.609179911740614075e-02,3.193661502658367368e+01
1.611092103280542878e-02,3.203512859454701811e+01
1.613274898201107893e-02,3.213394603288553952e+01
1.615733393038366883e-02,3.223306827674513642e+01
1.618472750718950165e-02,3.233249626411686251e+01
1.621498201303502723e-02,3.243223093584512640e+01
1.624815042737845494e-02,3.253227323563601203e+01
1.628428641611920705e-02,3.263262411006562047e+01
1.632344433926609037e-02,3.273328450858836192e+01
1.636567925868485582e-02,3.283425538354531170e+01
1.641104694592603747e-02,3.293553769017257338e+01
1.645960389013383790e-02,3.303713238660976259e+01
1.651140730603679885e-02,3.313904043390824938e+01
1.656651514202120423e-02,3.324126279603976286e+01
1.662498608828784710e-02,3.334380043990471876e+01
1.668687958509320821e-02,3.344665433534076016e+01
1.675225583107570887e-02,3.354982545513122716e+01
1.682117579166791943e-02,3.365331477501364787e+01
1.689370120759570160e-02,3.375712327368832177e+01
1.696989460346491618e-02,3.386125193282681067e+01
1.704981929643682032e-02,3.396570173708057183e+01
1.713353940499275779e-02,3.407047367408949867e+01
1.722111985778932916e-02,3.417556873449055388e+01
1.731262640260468333e-02,3.428098791192638828e+01
1.740812561537694383e-02,3.438673220305402367e+01
1.750768490933570301e-02,3.449280260755347882e+01
1.761137254422745838e-02,3.459920012813650914e+01
1.771925763563590717e-02,3.470592577055527528e+01
1.783141016439809823e-02,3.481298054361108996e+01
1.794790098611732942e-02,3.492036545916317891e+01
1.806880184077380366e-02,3.502808153213743481e+01
1.819418536243394904e-02,3.513612978053522795e+01
1.832412508905940929e-02,3.524451122544218151e+01
1.845869547241667935e-02,3.535322689103703908e+01
1.859797188808849644e-02,3.546227780460051093e+01
1.874203064558764217e-02,3.557166499652409186e+01
1.889094899857468937e-02,3.568138950031903533e+01
1.904480515518024511e-02,3.579145235262522107e+01
1.920367828843294947e-02,3.590185459322000838e+01
1.936764854679435405e-02,3.601259726502735248e+01
1.953679706480142275e-02,3.612368141412661515e+01
1.971120597381809808e-02,3.623510808976163133e+01
1.989095841289667890e-02,3.634687834434971165e+01
2.007613853975035931e-02,3.645899323349065213e+01
2.026683154183780283e-02,3.657145381597578648e+01
2.046312364756098373e-02,3.668426115379705266e+01
2.066510213757744019e-02,3.679741631215610198e+01
2.087285535622787971e-02,3.691092035947335148e+01
2.108647272308050713e-02,3.702477436739715699e+01
2.130604474459313336e-02,3.713897941081295784e+01
2.153166302589408845e-02,3.725353656785239309e+01
2.176342028268335449e-02,3.736844691990255285e+01
2.200141035325491046e-02,3.748371155161513002e+01
2.224572821064148970e-02,3.759933155091565027e+01
2.249675458566636338e-02,3.771530784451592666e+01
2.275632430158637531e-02,3.783164052266666033e+01
2.302479243625720970e-02,3.794833053484774155e+01
2.330221101332118766e-02,3.806537900969122035e+01
2.358863102393354144e-02,3.818278708043816039e+01
2.388410239001457699e-02,3.830055588497668850e+01
2.418867392676864181e-02,3.841868656588053454e+01
2.450239330445735247e-02,3.853718027044814676e+01
2.482530700941520604e-02,3.865603815074224769e+01
2.515746030429521010e-02,3.877526136363005094e+01
2.549889718753181600e-02,3.889485107082398230e+01
2.584966035200811363e-02,3.901480843892281314e+01
2.620979114291543954e-02,3.913513463945369608e+01
2.657932951479069841e-02,3.925583084891439967e+01
2.695831398771940043e-02,3.937689824881641698e+01
2.734678160269008243e-02,3.949833802572844377e+01
2.774476787608690445e-02,3.962015137132064524e+01
2.815230675330615898e-02,3.974233948240944869e+01
2.856943056148265533e-02,3.986490356100287613e+01
2.899616996131164012e-02,3.998784481434666560e+01
2.943255389795173746e-02,4.011116445497088279e+01
2.987860955099433044e-02,4.023486370073730001e+01
3.033436228348393091e-02,4.035894377488734364e+01
3.079983558997459805e-02,4.048340590609072365e+01
3.127505104360740057e-02,4.060825132849475949e+01
3.176002824219231746e-02,4.073348128177440941e+01
3.225478475327974576e-02,4.085909701118291082e+01
3.275933605820458006e-02,4.098509976760319518e+01
3.327369549508751162e-02,4.111149080760005603e+01
3.379787420077579735e-02,4.123827139347288551e+01
3.433188105170788262e-02,4.136544279330941976e+01
3.487572260368353161e-02,4.149300628103983968e+01
3.542940303052354023e-02,4.162096313649202273e+01
3.599292406160034541e-02,4.174931464544732052e+01
3.656628491822211391e-02,4.187806209969721039e+01
3.714948224885245703e-02,4.200720679710070726e+01
3.774251006314688350e-02,4.213675004164257132e+01
3.834535966478792857e-02,4.226669314349236117e+01
3.895801958309982882e-02,4.239703741906432555e+01
3.958047550342332771e-02,4.252778419107804098e+01
4.021271019623163384e-02,4.265893478862000876e+01
4.085470344496777012e-02,4.279049054720606904e+01
4.150643197258289951e-02,4.292245280884468173e+01
4.216786936675543523e-02,4.305482292210105300e+01
4.283898600377124277e-02,4.318760224216234889e+01
4.351974897104237544e-02,4.332079213090352710e+01
4.421012198824499778e-02,4.345439395695440510e+01
4.491006532705326543e-02,4.358840909576738909e+01
4.561953572944899005e-02,4.372283892968634689e+01
4.633848632458364286e-02,4.385768484801644007e+01
4.706686654417145677e-02,4.399294824709481588e+01
4.780462203638921603e-02,4.412863053036237204e+01
4.855169457826193080e-02,4.426473310843657316e+01
4.930802198650873630e-02,4.440125739918517667e+01
5.007353802682714544e-02,4.453820482780120216e+01
5.084817232158966166e-02,4.467557682687862552e+01
5.163185025593043653e-02,4.481337483648952968e+01
5.242449288219543091e-02,4.495160030426202269e+01
5.322601682273187668e-02,4.509025468545943482e+01
5.403633417099108077e-02,4.522933944306057441e+01
5.485535239091941795e-02,4.536885604784114179e+01
5.568297421461019386e-02,4.550880597845625886e+01
5.651909753819091276e-02,4.564919072152419233e+01
5.736361531591762514e-02,4.579001177171118542e+01
5.821641545245088978e-02,4.593127063181767511e+01
5.907738069328363067e-02,4.607296881286551127e+01
5.994638851329379958e-02,4.621510783418650448e+01
6.082331100339328361e-02,4.635768922351225996e+01
6.170801475524369251e-02,4.650071451706524073e+01
6.260036074400969486e-02,4.664418525965108131e+01
6.350020420912089181e-02,4.678810300475231543e+01
6.440739453301042028e-02,4.693246931462326188e+01
6.532177511780161427e-02,4.707728576038648072e+01
6.624551902914740942e-02,4.722255262180107138e+01
6.718133344511588445e-02,4.736826988091178947e+01
6.812934319631069879e-02,4.751443895946295015e+01
6.908967084757232369e-02,4.766106128581860446e+01
7.006243991113267344e-02,4.780813829319850328e+01
7.104777485087014621e-02,4.795567141969877412e+01
7.204580108653367565e-02,4.810366210831261924e+01
7.305664499793429467e-02,4.825211180695127666e+01
7.408043392910311498e-02,4.840102196846497407e+01
7.511729619241490352e-02,4.855039405066415981e+01
7.616736107267435552e-02,4.870022951634072683e+01
7.723075883116611862e-02,4.885052983328951370e+01
7.830762070966497401e-02,4.900129647432989799e+01
7.939807893440611886e-02,4.915253091732747492e+01
8.050226672001305206e-02,4.930423464521589949e+01
8.162031827338347978e-02,4.945640914601906246e+01
8.275236879752882746e-02,4.960905591287303196e+01
8.389855449536917642e-02,4.976217644404854923e+01
8.505901257347883715e-02,4.991577224297334681e+01
8.623388124578434955e-02,5.006984481825492850e+01
8.742329973720992797e-02,5.022439568370313623e+01
8.862740828727155851e-02,5.037942635835329241e+01
8.984634815361558502e-02,5.053493836648905102e+01
9.108026161550279720e-02,5.069093323766578862e+01
9.232929197723413473e-02,5.084741250673395996e+01
9.359358357151698060e-02,5.100437771386264529e+01
9.487328176277025349e-02,5.116183040456322573e+01
9.616853295036728588e-02,5.131977212971333557e+01
9.747948457181283832e-02,5.147820444558089292e+01
9.880628510585376389e-02,5.163712891384827941e+01
1.001490840755215328e-01,5.179654710163671183e+01
1.015080320511036888e-01,5.195646058153087665e+01
1.028832806530426830e-01,5.211687093160356454e+01
1.042749825547605314e-01,5.227777973544062462e+01
1.056832914854063665e-01,5.243918858216598267e+01
1.071083622325261359e-01,5.260109906646700750e+01
1.085503506446500455e-01,5.276351278861978500e+01
1.100094136337983336e-01,5.292643135451488234e+01
1.114857091779010295e-01,5.308985637568302707e+01
1.129793963231302961e-01,5.325378946932113422e+01
1.144906351861437466e-01,5.341823225831851119e+01
1.160195869562343912e-01,5.358318637128311224e+01
1.175664138973875339e-01,5.374865344256821942e+01
1.191312793502394413e-01,5.391463511229904526e+01
1.207143477339380211e-01,5.408113302639976183e+01
1.223157845479006522e-01,5.424814883662057241e+01
1.239357563734683337e-01,5.441568420056508160e+01
1.255744308754525029e-01,5.458374078171778621e+01
1.272319768035726772e-01,5.475232024947183618e+01
1.289085639937815608e-01,5.492142427915694469e+01
1.306043633694752848e-01,5.509105455206752566e+01
1.323195469425864357e-01,5.526121275549105150e+01
1.340542878145561667e-01,5.543190058273667375e+01
1.358087601771825748e-01,5.560311973316387935e+01
1.375831393133434832e-01,5.577487191221153040e+01
1.393776015975899674e-01,5.594715883142711021e+01
1.411923244966075963e-01,5.611998220849616104e+01
1.430274865695415898e-01,5.629334376727178579e+01
1.448832674681850841e-01,5.646724523780469696e+01
1.467600173254936524e-01,5.664168824796998791e+01
1.486584246460974923e-01,5.681667422839334591e+01
1.505787459231954784e-01,5.699220490645431880e+01
1.525212102858865548e-01,5.716828203523175489e+01
1.544860490995841606e-01,5.734490737423787721e+01
1.564734959867195851e-01,5.752208268945216929e+01
1.584837868476301759e-01,5.769980975335555229e+01
1.605171598816268752e-01,5.787809034496478233e+01
1.625738556082528818e-01,5.805692624986728134e+01
1.646541168887253048e-01,5.823631926025616679e+01
1.667581889475669155e-01,5.841627117496561539e+01
1.688863193944279695e-01,5.859678379950656790e+01
1.710387582461000977e-01,5.877785894610269679e+01
1.732157579487220711e-01,5.895949843372672206e+01
1.754175734001829357e-01,5.914170408813700419e+01
1.776444619727194085e-01,5.932447774191459899e+01
1.798966835357125316e-01,5.950782123450040473e+01
1.821745004786831379e-01,5.969173641223282800e+01
1.844781777344916274e-01,5.987622512838577649e+01
1.868079828027357780e-01,6.006128924320682927e+01
1.891641857733593335e-01,6.024693062395605381e+01
1.915470593504612351e-01,6.043315114494470919e+01
1.939568788763180451e-01,6.061995268757486599e+01
1.963939223556118718e-01,6.080733714037878457e+01
1.988584704798737612e-01,6.099530639905923834e+01
2.013508066521379758e-01,6.118386236652978027e+01
2.038712170118117950e-01,6.137300695295549247e+01
2.064199904597621149e-01,6.156274207579416924e+01
2.089974186836211778e-01,6.175306965983781282e+01
2.116037961833131809e-01,6.194399163725461932e+01
2.142394202968007366e-01,6.213550994763113522e+01
2.169045912260580133e-01,6.232762653801503205e+01
2.195996120632684734e-01,6.252034336295811556e+01
2.223247888172498743e-01,6.271366238455986775e+01
2.250804304401100298e-01,6.290758557251122340e+01
2.278668488541331361e-01,6.310211490413895064e+01
2.306843589788991900e-01,6.329725236445032266e+01
2.335332787586389958e-01,6.349299994617812359e+01
2.364139291898268158e-01,6.368935964982637188e+01
2.393266343490106085e-01,6.388633348371615739e+01
2.422717214208843228e-01,6.408392346403206830e+01
2.452495207266033317e-01,6.428213161486904426e+01
2.482603657523433649e-01,6.448095996827967724e+01
2.513045931781074938e-01,6.468041056432188896e+01
2.543825429067814725e-01,6.488048545110713405e+01
2.574945580934399625e-01,6.508118668484907232e+01
2.606409851749066919e-01,6.528251632991272402e+01
2.638221738995664700e-01,6.548447645886386681e+01
2.670384773574384640e-01,6.568706915251935641e+01
2.702902520105043838e-01,6.589029649999740457e+01
2.735779926494878445e-01,6.609416050949469934e+01
2.769026103408254169e-01,6.629866290392450878e+01
2.802645104088497541e-01,6.650380572436742455e+01
2.836640395565424577e-01,6.670959105873096462e+01
2.871015470465455577e-01,6.691602100258600672e+01
2.905773847121078668e-01,6.712309765920358018e+01
2.940919069679431286e-01,6.733082313959165788e+01
2.976454708209972932e-01,6.753919956253237444e+01
3.012384358811245333e-01,6.774822905461952871e+01
3.048711643716588982e-01,6.795791375029610037e+01
3.085440211398938759e-01,6.816825579189236350e+01
3.122573736674494338e-01,6.837925732966404269e+01
3.160115920805344203e-01,6.859092052183073918e+01
3.198070491600959464e-01,6.880324753461474074e+01
3.236441203518526377e-01,6.901624054228004468e+01
3.275231837762078713e-01,6.922990172717153712e+01
3.314446202380402773e-01,6.944423327975474081e+01
3.354088132363634012e-01,6.965923739865546338e+01
3.394161489738569126e-01,6.987491629070002830e+01
3.434670163662605913e-01,7.009127217095570472e+01
3.475618070516262592e-01,7.030830726277135057e+01
3.517009153994262727e-01,7.052602379781832553e+01
3.558847385195137991e-01,7.074442401613191578e+01
3.601136762709264971e-01,7.096351016615277274e+01
3.643881312705368192e-01,7.118328450476887781e+01
3.687085089015333939e-01,7.140374929735759224e+01
