Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
6.023845565657205865e-03,9.477872750866369600e+00
6.045893849959664383e-03,9.514017700338511574e+00
6.068019188091632564e-03,9.550300540101247293e+00
6.090221820324337801e-03,9.586721796557730713e+00
6.112501987436444462e-03,9.623281998123452752e+00
6.134859930712859531e-03,9.659981675233947129e+00
6.157295891943526979e-03,9.696821360352537056e+00
6.179810113422178758e-03,9.733801587978121006e+00
6.202402837945058915e-03,9.770922894652953161e+00
6.225074308809634693e-03,9.808185818970494907e+00
6.247824769813247782e-03,9.845590901583269883e+00
6.270654465251770775e-03,9.883138685210766994e+00
6.293563639918204645e-03,9.920829714647354081e+00
6.316552539101251071e-03,9.958664536770225340e+00
6.339621408583884753e-03,9.996643700547423350e+00
6.362770494641845076e-03,1.003476775704581314e+01
6.386000044042126032e-03,1.007303725943914863e+01
6.409310304041442724e-03,1.011145276301615858e+01
6.432701522384638888e-03,1.015001482518863796e+01
6.456173947303080543e-03,1.018872400549960311e+01
6.479727827513013204e-03,1.022758086563145419e+01
6.503363412213886141e-03,1.026658596941418722e+01
6.527080951086637606e-03,1.030573988283362041e+01
6.550880694291960973e-03,1.034504317403967733e+01
6.574762892468511040e-03,1.038449641335465756e+01
6.598727796731112052e-03,1.042410017328160343e+01
6.622775658668890279e-03,1.046385502851262395e+01
6.646906730343415254e-03,1.050376155593733252e+01
6.671121264286762088e-03,1.054382033465124202e+01
6.695419513499565982e-03,1.058403194596422736e+01
6.719801731449043768e-03,1.062439697340904132e+01
6.744268172066952144e-03,1.066491600274982154e+01
6.768819089747536363e-03,1.070558962199064545e+01
6.793454739345428615e-03,1.074641842138414738e+01
6.818175376173506511e-03,1.078740299344010189e+01
6.842981256000734216e-03,1.082854393293413153e+01
6.867872635049927267e-03,1.086984183691634698e+01
6.892849769995518239e-03,1.091129730472011339e+01
6.917912917961256507e-03,1.095291093797078830e+01
6.943062336517894124e-03,1.099468334059452168e+01
6.968298283680795374e-03,1.103661511882707202e+01
6.993621017907536777e-03,1.107870688122268632e+01
7.019030798095462868e-03,1.112095923866296410e+01
7.044527883579186460e-03,1.116337280436582802e+01
7.070112534128062017e-03,1.120594819389444297e+01
7.095785009943601784e-03,1.124868602516624705e+01
7.121545571656876308e-03,1.129158691846197193e+01
7.147394480325838621e-03,1.133465149643470760e+01
7.173331997432630218e-03,1.137788038411900615e+01
7.199358384880841927e-03,1.142127420894003542e+01
7.225473904992711464e-03,1.146483360072272539e+01
7.251678820506298438e-03,1.150855919170099106e+01
7.277973394572606440e-03,1.155245161652698371e+01
7.304357890752655701e-03,1.159651151228035282e+01
7.330832573014526253e-03,1.164073951847758437e+01
7.357397705730331708e-03,1.168513627708133207e+01
7.384053553673156599e-03,1.172970243250981071e+01
7.410800382013960769e-03,1.177443863164622506e+01
7.437638456318411764e-03,1.181934552384822723e+01
7.464568042543701619e-03,1.186442376095741302e+01
7.491589407035276031e-03,1.190967399730886278e+01
7.518702816523537523e-03,1.195509688974069817e+01
7.545908538120512168e-03,1.200069309760369762e+01
7.573206839316438260e-03,1.204646328277094547e+01
7.600597987976316812e-03,1.209240810964750601e+01
7.628082252336429968e-03,1.213852824518014550e+01
7.655659901000767473e-03,1.218482435886709503e+01
7.683331202937448805e-03,1.223129712276782399e+01
7.711096427475049898e-03,1.227794721151290069e+01
7.738955844298917724e-03,1.232477530231385110e+01
7.766909723447398134e-03,1.237178207497306026e+01
7.794958335308026405e-03,1.241896821189372702e+01
7.823101950613668351e-03,1.246633439808984889e+01
7.851340840438592039e-03,1.251388132119623720e+01
7.879675276194495273e-03,1.256160967147860141e+01
7.908105529626487107e-03,1.260952014184362291e+01
7.936631872808980886e-03,1.265761342784911569e+01
7.965254578141558670e-03,1.270589022771419963e+01
7.993973918344788807e-03,1.275435124232952155e+01
8.022790166455941174e-03,1.280299717526750491e+01
8.051703595824686796e-03,1.285182873279266147e+01
8.080714480108728073e-03,1.290084662387192793e+01
8.109823093269356159e-03,1.295005156018503456e+01
8.139029709566949350e-03,1.299944425613492349e+01
8.168334603556448928e-03,1.304902542885822747e+01
8.197738050082713571e-03,1.309879579823574147e+01
8.227240324275859884e-03,1.314875608690297959e+01
8.256841701546526607e-03,1.319890702026075857e+01
8.286542457581060755e-03,1.324924932648580267e+01
8.316342868336674271e-03,1.329978373654142310e+01
8.346243210036491389e-03,1.335051098418819926e+01
8.376243759164590796e-03,1.340143180599477724e+01
8.406344792460910750e-03,1.345254694134857054e+01
8.436546586916154195e-03,1.350385713246666342e+01
8.466849419766601936e-03,1.355536312440665725e+01
8.497253568488833883e-03,1.360706566507757920e+01
8.527759310794434666e-03,1.365896550525082631e+01
8.558366924624586508e-03,1.371106339857118783e+01
8.589076688144613517e-03,1.376336010156786749e+01
8.619888879738465265e-03,1.381585637366557506e+01
8.650803778003104960e-03,1.386855297719564639e+01
8.681821661742843838e-03,1.392145067740720599e+01
8.712942809963611368e-03,1.397455024247839006e+01
8.744167501867138731e-03,1.402785244352761396e+01
8.775496016845071162e-03,1.408135805462483070e+01
8.806928634473017853e-03,1.413506785280290856e+01
8.838465634504518581e-03,1.418898261806900507e+01
8.870107296864951363e-03,1.424310313341601031e+01
8.901853901645323877e-03,1.429743018483399375e+01
8.933705729096045808e-03,1.435196456132173992e+01
8.965663059620598840e-03,1.440670705489833736e+01
8.997726173769095628e-03,1.446165846061473914e+01
9.029895352231828362e-03,1.451681957656544242e+01
9.062170875832688960e-03,1.457219120390019995e+01
9.094553025522521608e-03,1.462777414683574051e+01
9.127042082372397239e-03,1.468356921266756565e+01
9.159638327566822086e-03,1.473957721178178915e+01
9.192342042396835222e-03,1.479579895766701547e+01
9.225153508253045379e-03,1.485223526692627338e+01
9.258073006618591436e-03,1.490888695928898144e+01
9.291100819061974547e-03,1.496575485762296864e+01
9.324237227229883324e-03,1.502283978794654828e+01
9.357482512839840338e-03,1.508014257944062031e+01
9.390836957672857310e-03,1.513766406446083934e+01
9.424300843565923749e-03,1.519540507854982536e+01
9.457874452404452237e-03,1.525336646044940103e+01
9.491558066114635234e-03,1.531154905211292494e+01
9.525351966655692601e-03,1.536995369871760886e+01
9.559256436012039324e-03,1.542858124867693803e+01
9.593271756185357824e-03,1.548743255365309679e+01
9.627398209186609560e-03,1.554650846856949897e+01
9.661636077027887029e-03,1.560580985162328638e+01
9.695985641714243222e-03,1.566533756429793556e+01
9.730447185235399643e-03,1.572509247137593569e+01
9.765020989557334635e-03,1.578507544095140780e+01
9.799707336613833544e-03,1.584528734444291054e+01
9.834506508297865407e-03,1.590572905660617664e+01
9.869418786452945763e-03,1.596640145554699153e+01
9.904444452864332935e-03,1.602730542273404879e+01
9.939583789250170526e-03,1.608844184301190694e+01
9.974837077252498088e-03,1.614981160461396925e+01
1.001020459842818545e-02,1.621141559917552044e+01
1.004568663423975258e-02,1.627325472174682730e+01
1.008128346604609052e-02,1.633532987080626242e+01
1.011699537509306440e-02,1.639764194827349897e+01
1.015282264250405922e-02,1.646019185952276587e+01
1.018876554927034342e-02,1.652298051339611362e+01
1.022482437624139436e-02,1.658600882221679029e+01
1.026099940411509710e-02,1.664927770180262456e+01
1.029729091342780276e-02,1.671278807147945855e+01
1.033369918454433121e-02,1.677654085409467299e+01
1.037022449764781959e-02,1.684053697603073374e+01
1.040686713272949253e-02,1.690477736721878799e+01
1.044362736957829031e-02,1.696926296115234223e+01
1.048050548777038939e-02,1.703399469490093310e+01
1.051750176665865871e-02,1.709897350912396163e+01
1.055461648536191142e-02,1.716420034808444228e+01
1.059184992275411658e-02,1.722967615966290822e+01
1.062920235745346345e-02,1.729540189537134154e+01
1.066667406781130790e-02,1.736137851036714963e+01
1.070426533190100248e-02,1.742760696346717708e+01
1.074197642750661201e-02,1.749408821716183837e+01
1.077980763211148357e-02,1.756082323762921860e+01
1.081775922288674870e-02,1.762781299474930208e+01
1.085583147667962094e-02,1.769505846211821165e+01
1.089402467000166568e-02,1.776256061706252254e+01
1.093233907901683920e-02,1.783032044065362243e+01
1.097077497952951043e-02,1.789833891772215324e+01
1.100933264697225543e-02,1.796661703687245648e+01
1.104801235639358593e-02,1.803515579049713935e+01
1.108681438244554611e-02,1.810395617479162667e+01
1.112573899937112712e-02,1.817301918976885133e+01
1.116478648099161752e-02,1.824234583927392706e+01
1.120395710069375418e-02,1.831193713099891340e+01
1.124325113141681765e-02,1.838179407649765196e+01
1.128266884563949683e-02,1.845191769120061664e+01
1.132221051536669298e-02,1.852230899442987067e+01
1.136187641211616056e-02,1.859296900941405184e+01
1.140166680690499201e-02,1.866389876330340414e+01
1.144158197023599673e-02,1.873509928718492290e+01
1.148162217208388916e-02,1.880657161609748229e+01
1.152178602864771008e-02,1.887831678929202894e+01
1.156206129235335354e-02,1.895033585161133871e+01
1.160243149022982187e-02,1.902262985252189864e+01
1.164288039015582907e-02,1.909519984546754756e+01
1.168339203457491836e-02,1.916804688788000632e+01
1.172395076185627806e-02,1.924117204119120927e+01
1.176454122799629361e-02,1.931457637084570678e+01
1.180514842865024519e-02,1.938826094631298247e+01
1.184575772148288055e-02,1.946222684109989842e+01
1.188635484882540408e-02,1.953647513276310121e+01
