Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
6.781981639044444392e-03,9.479305309706601790e+00
6.810103362518729088e-03,9.515453803312395209e+00
6.838351551160439662e-03,9.551740178657651015e+00
6.866726846193896283e-03,9.588164961896021410e+00
6.895229892554335244e-03,9.624728681190561019e+00
6.923861338911653854e-03,9.661431866721402528e+00
6.952621837694313196e-03,9.698275050693474952e+00
6.981512045113410884e-03,9.735258767344253883e+00
7.010532621186891730e-03,9.772383552951524166e+00
7.039684229763943160e-03,9.809649945841186991e+00
7.068967538549525940e-03,9.847058486395095400e+00
7.098383219129109599e-03,9.884609717058911116e+00
7.127931946993511063e-03,9.922304182350005775e+00
7.157614401563948403e-03,9.960142428865362163e+00
7.187431266217256774e-03,9.998125005289573153e+00
7.217383228311226653e-03,1.003625246240277136e+01
7.247470979210162388e-03,1.007452535308867603e+01
7.277695214310579523e-03,1.011294423234263995e+01
7.308056633067079068e-03,1.015150965727970522e+01
7.338555939018397839e-03,1.019022218714272832e+01
7.369193839813615796e-03,1.022908238331050690e+01
7.399971047238558530e-03,1.026809080930595641e+01
7.430888277242346344e-03,1.030724803080430618e+01
7.461946249964145420e-03,1.034655461564133105e+01
7.493145689760069041e-03,1.038601113382162389e+01
7.524487325213395986e-03,1.042561815752685206e+01
7.555971889228730448e-03,1.046537626112417918e+01
7.587600118960031829e-03,1.050528602117451094e+01
7.619372755903905566e-03,1.054534801644093989e+01
7.651290545911162456e-03,1.058556282789716363e+01
7.683354239214792818e-03,1.062593103873594913e+01
7.715564590458140991e-03,1.066645323437760595e+01
7.747922358723259399e-03,1.070713000247850744e+01
7.780428307559465566e-03,1.074796193293965807e+01
7.813083205012038776e-03,1.078894961791524665e+01
7.845887823651174348e-03,1.083009365182131312e+01
7.878842940601041983e-03,1.087139463134434791e+01
7.911949337569119944e-03,1.091285315545001389e+01
7.945207800875648055e-03,1.095446982539184155e+01
7.978619121483317492e-03,1.099624524472000786e+01
8.012184095027123643e-03,1.103818001929008119e+01
8.045903521844430598e-03,1.108027475727187294e+01
8.079778207005231666e-03,1.112253006915827314e+01
8.113808960342588569e-03,1.116494656777414818e+01
8.147996596483275331e-03,1.120752486828523864e+01
8.182341934878625128e-03,1.125026558820713873e+01
8.216845799835578376e-03,1.129316934741427580e+01
8.251509020547911216e-03,1.133623676814892534e+01
8.286332431127673911e-03,1.137946847503027037e+01
8.321316870636858223e-03,1.142286509506351599e+01
8.356463183119213975e-03,1.146642725764897897e+01
8.391772217632310210e-03,1.151015559459127324e+01
8.427244828279788907e-03,1.155405074010850441e+01
8.462881874243833799e-03,1.159811333084149965e+01
8.498684219817814398e-03,1.164234400586307494e+01
8.534652734439186761e-03,1.168674340668733613e+01
8.570788292722552118e-03,1.173131217727902431e+01
8.607091774492961825e-03,1.177605096406287721e+01
8.643564064819416609e-03,1.182096041593304570e+01
8.680206054048596534e-03,1.186604118426255816e+01
8.717018637838757494e-03,1.191129392291277789e+01
8.754002717193903535e-03,1.195671928824292252e+01
8.791159198498125701e-03,1.200231793911963507e+01
8.828488993550183753e-03,1.204809053692656917e+01
8.865993019598290836e-03,1.209403774557401690e+01
8.903672199375109800e-03,1.214016023150856860e+01
8.941527461133002772e-03,1.218645866372282249e+01
8.979559738679449010e-03,1.223293371376512262e+01
9.017769971412726432e-03,1.227958605574933593e+01
9.056159104357796100e-03,1.232641636636466309e+01
9.094728088202405289e-03,1.237342532488549551e+01
9.133477879333424740e-03,1.242061361318130608e+01
9.172409439873402751e-03,1.246798191572655767e+01
9.211523737717349988e-03,1.251553091961069875e+01
9.250821746544743776e-03,1.256326131454812156e+01
9.290304445955605006e-03,1.261117379288830875e+01
9.329972821361371890e-03,1.265926904962576671e+01
9.369827864119231742e-03,1.270754778241023075e+01
