Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.157887777068007856e-08,9.515034403733123878e-05
2.191686564207041306e-08,9.625014524056938999e-05
2.226012874424716331e-08,9.736266793607071808e-05
2.260735635010756539e-08,9.848809814668901439e-05
2.295990748399075346e-08,9.962654667367582136e-05
2.331930751163751700e-08,1.007781255347476934e-04
2.368432790399881193e-08,1.019430101736080459e-04
2.405355959638610094e-08,1.031213812244477523e-04
2.442842579775919635e-08,1.043133551302956834e-04
2.481055704203034463e-08,1.055190248778994271e-04
2.519867742776328751e-08,1.067386261458525270e-04
2.559142704584488183e-08,1.079724060781757806e-04
2.598988757379583838e-08,1.092204851713663946e-04
2.639501196775318733e-08,1.104830217667821489e-04
2.680641015744900908e-08,1.117601444668509311e-04
2.722363428343511301e-08,1.130519461342438395e-04
2.764755159577611121e-08,1.143586611595230905e-04
2.807955293817942319e-08,1.156805327230249036e-04
2.851836486187220470e-08,1.170176885262350986e-04
2.896240464474815980e-08,1.183702566231466762e-04
2.941277641382974343e-08,1.197384569999128314e-04
2.987030805555528400e-08,1.211225161324116817e-04
3.033498106129969884e-08,1.225225913481120424e-04
3.080715967873961742e-08,1.239388485236525236e-04
3.128665551527248236e-08,1.253714820602344388e-04
3.177305468163745589e-08,1.268206929330042249e-04
3.226705996575272379e-08,1.282866453438561512e-04
3.276985190759509204e-08,1.297694776408321159e-04
3.328037003650202762e-08,1.312694424503553178e-04
3.379676916412252393e-08,1.327868152093800885e-04
3.432105355385549523e-08,1.343217500364322578e-04
3.485630623730235781e-08,1.358744078848547374e-04
3.540000630315261001e-08,1.374450103968797101e-04
3.594837946680001976e-08,1.390337761945310889e-04
3.650470329742428004e-08,1.406409019761875416e-04
3.707353340372786327e-08,1.422665765859600442e-04
3.765166014762672150e-08,1.439110363143695462e-04
3.823491270859139717e-08,1.455745282028132336e-04
3.882613706657677018e-08,1.472572562708711721e-04
3.942833134663107832e-08,1.489594281393164204e-04
