Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.166863110649254745e-08,9.516822090715161488e-05
2.200680641208851437e-08,9.626822540669158310e-05
2.235003799228787469e-08,9.738095365820586386e-05
2.270001913782214124e-08,9.850660033736626680e-05
2.305546861005079449e-08,9.964526137471397193e-05
2.341501140112510317e-08,1.007970216015884014e-04
2.378005453682675356e-08,1.019620935857488752e-04
2.415219557806227974e-08,1.031407045211899410e-04
2.453016206694789991e-08,1.043329366421462927e-04
2.491265211087262352e-08,1.055388613857299613e-04
2.530062871705843802e-08,1.067587068650778200e-04
2.569461912271677064e-08,1.079926881673223945e-04
2.609504469268428472e-08,1.092409648233893859e-04
2.650305173272866893e-08,1.105037430760499330e-04
2.691747279348588709e-08,1.117811220054061366e-04
2.733664830301482908e-08,1.130731674359176491e-04
2.776217734597427425e-08,1.143801365368056646e-04
2.819598417295344862e-08,1.157023049263097451e-04
2.863663005697013052e-08,1.170397622130674311e-04
2.908249655760562191e-08,1.183925877408477042e-04
2.953480418985615500e-08,1.197610304649504348e-04
2.999467319942602265e-08,1.211453389105609580e-04
3.046167445213184761e-08,1.225456634484844098e-04
3.093531494211612078e-08,1.239621644777300774e-04
3.141652468855992177e-08,1.253950516397891665e-04
3.190687384243881755e-08,1.268445532398628102e-04
3.240498954305846290e-08,1.283108118562755081e-04
3.290905325529873538e-08,1.297939488311845835e-04
3.342027823672595578e-08,1.312942087261207314e-04
3.393962376382958288e-08,1.328118341809794050e-04
3.446706442333784306e-08,1.343470152494864809e-04
3.500301767408859363e-08,1.358999633535997809e-04
3.554728095046951764e-08,1.374708721158706467e-04
3.609928346277491423e-08,1.390599371850037536e-04
3.666005601944246674e-08,1.406673621415845154e-04
3.723144229785113502e-08,1.422933306292441041e-04
3.781193989100737586e-08,1.439380931800274179e-04
3.839961304783206845e-08,1.456019248375505946e-04
3.899525795406398942e-08,1.472850090647277927e-04
3.959851330352105785e-08,1.489875353724030415e-04
4.021120768454423307e-08,1.507097295107846628e-04
4.083731608405253368e-08,1.524517960991775007e-04
4.147372309586796889e-08,1.542139883747163762e-04
4.211550728086540810e-08,1.559965693958052877e-04
4.276645726650445511e-08,1.577997704383492109e-04
4.343177341160912120e-08,1.596238407162601581e-04
