Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.326168718522240129e-10,9.535056669202887080e-06
9.495039285104214356e-10,9.654654065481262727e-06
9.666750455507785913e-10,9.775751600987114665e-06
9.841353736273256709e-10,9.898368094074556318e-06
1.001890261420941673e-09,1.002252259937415361e-05
1.019945270278482761e-09,1.014823441077835020e-05
1.038306189944548180e-09,1.027552306446593074e-05
1.056979055459136145e-09,1.040440834196618798e-05
1.075970165298976748e-09,1.053491027326333240e-05
1.095286100845089741e-09,1.066704913994183897e-05
1.114933747264189203e-09,1.080084547837329336e-05
1.134920315896886609e-09,1.093632008294547809e-05
1.155253368251326573e-09,1.107349400933431344e-05
1.175940841706852239e-09,1.121238857781933409e-05
1.196991077038644678e-09,1.135302537664346564e-05
1.218412847880969665e-09,1.149542626541775831e-05
1.240215392253744385e-09,1.163961337857188567e-05
1.262408446284625540e-09,1.178560912885110839e-05
1.285002280266730625e-09,1.193343621086054463e-05
1.308007737200469026e-09,1.208311760465750117e-05
1.331436273976816415e-09,1.223467657939274948e-05
1.355300005368688446e-09,1.238813669700155140e-05
1.379611751006966763e-09,1.254352181594532719e-05
1.404385085528167923e-09,1.270085609500489109e-05
1.429634392091758066e-09,1.286016399712614679e-05
1.455359540562036393e-09,1.302147026512639828e-05
1.481517418572099478e-09,1.318479987352080098e-05
1.508110563843479712e-09,1.335017819495496272e-05
1.535146473587350391e-09,1.351763092937408346e-05
1.562632910738325851e-09,1.368718409940244656e-05
1.590577923649421333e-09,1.385886405442174685e-05
1.618989867285985720e-09,1.403269747470294954e-05
1.647877426020432861e-09,1.420871137559251001e-05
1.677249638135914598e-09,1.438693311175373883e-05
1.707115922153794698e-09,1.456739038146425898e-05
1.737486105106848660e-09,1.475011123097042437e-05
1.768370452887626828e-09,1.493512405889953986e-05
1.799779702809365375e-09,1.512245762073095857e-05
1.831725098525196246e-09,1.531214103332686449e-05
1.864218427460327048e-09,1.550420377952386021e-05
1.897272060921230717e-09,1.569867571278624576e-05
1.930898997055840564e-09,1.589558706192213881e-05
1.965112906849252490e-09,1.609496843586345947e-05
1.999928183350542116e-09,1.629685082851081986e-05
2.035359994338078875e-09,1.650126562364456688e-05
2.071424338643120805e-09,1.670824459990305239e-05
2.108138106364626592e-09,1.691781993582933678e-05
2.145519143222098179e-09,1.713002421498758648e-05
2.183586319307948077e-09,1.734489043115044603e-05
2.222359602516390587e-09,1.756245199355859431e-05
2.261860136942259541e-09,1.778274273225401969e-05
2.302110326560456916e-09,1.800579690348817974e-05
2.343132862673134523e-09,1.823164919315762108e-05
2.384876145907001299e-09,1.846033457839051518e-05
2.427308376341666548e-09,1.869188851484310205e-05
2.470441211358642723e-09,1.892634698760405291e-05
2.514286712596252800e-09,1.916374643363607451e-05
2.558857376018386702e-09,1.940412374749334769e-05
2.604166164286274541e-09,1.964751628711446023e-05
2.650226541590316095e-09,1.989396187969207750e-05
2.697052511108752191e-09,2.014349882762051644e-05
2.744658655270347250e-09,2.039616591452261878e-05
2.793060179009170229e-09,2.065200241135701779e-05
2.842272956211186783e-09,2.091104808260734710e-05
2.892313579564630584e-09,2.117334319255457722e-05
2.943199414039096036e-09,2.143892851163402494e-05
2.994948654232050677e-09,2.170784532287835686e-05
3.047580385835968884e-09,2.198013542844817617e-05
3.101114651494669137e-09,2.225584115625161221e-05
3.155572521333707296e-09,2.253500536665462053e-05
3.210976168466822502e-09,2.281767145928347059e-05
3.267348949798652213e-09,2.310388337992117622e-05
3.324715492463132149e-09,2.339368562749956967e-05
3.383101786257302146e-09,2.368712326118874368e-05
3.442535282451740639e-09,2.398424190758581003e-05
3.503044999381526025e-09,2.428508776800466154e-05
3.564661635245639469e-09,2.458970762586889936e-05
3.627417688568066110e-09,2.489814885420979236e-05
3.691347586800646847e-09,2.521045942327139968e-05
3.756487823576051848e-09,2.552668790822494704e-05
3.822863291542701091e-09,2.584688346900367601e-05
3.890364001737231310e-09,2.617109560845801378e-05
3.958971629440426017e-09,2.649937463952780649e-05
4.028704837899487752e-09,2.683177158173880633e-05
4.099582939607395151e-09,2.716833809542611454e-05
4.171625944687659110e-09,2.750912648985599755e-05
4.244854612983420377e-09,2.785418973145598089e-05
4.319290510103308529e-09,2.820358145215508464e-05
4.394956067692149918e-09,2.855735595783606023e-05
4.471874648211286466e-09,2.891556823690132283e-05
4.550070614530871272e-09,2.927827396895485952e-05
4.629569404655046562e-09,2.964552953360167847e-05
4.710397611920788337e-09,3.001739201936735386e-05
4.792583071031836092e-09,3.039391923273925558e-05
4.876154950311417666e-09,3.077516970733206575e-05
4.961143850580624624e-09,3.116120271317957766e-05
5.047581911094132150e-09,3.155207826615522682e-05
5.135502922990949933e-09,3.194785713752355973e-05
5.224942450745577081e-09,3.234860086362537800e-05
5.315937962134126972e-09,3.275437175569881435e-05
5.408528967260764827e-09,3.316523290983913221e-05
5.502757167222600201e-09,3.358124821709990534e-05
5.598666613025499590e-09,3.400248237373834891e-05
5.696303875399863100e-09,3.442900089160777678e-05
5.795718226203938399e-09,3.486087010870009880e-05
5.896961832142877094e-09,3.529815719984146172e-05
6.000089961574947270e-09,3.574093018754436076e-05
6.105161205221585897e-09,3.618925795301927120e-05
6.212213439051718508e-09,3.664321019561374391e-05
6.321067964850883223e-09,3.710285702667388998e-05
6.431698174286165741e-09,3.756826976684290764e-05
6.544133826918855330e-09,3.803952075233068132e-05
6.658405710125288997e-09,3.851668322809983022e-05
6.774545715634795751e-09,3.899983135940351004e-05
6.892586921931805469e-09,3.948904024347878411e-05
7.012563682921868154e-09,3.998438592139800347e-05
7.134511723286234941e-09,4.048594539008099443e-05
7.258468240976047560e-09,4.099379661447108945e-05
7.384472017324912521e-09,4.150801853987738649e-05
7.512563535288384203e-09,4.202869110448695031e-05
7.642785106349855613e-09,4.255589525204928671e-05
7.775181006665596671e-09,4.308971294473685733e-05
7.909797623056517428e-09,4.363022717618463686e-05
8.046683609491251584e-09,4.417752198471206019e-05
8.185890054744287955e-09,4.473168246673105928e-05
8.327470661954206786e-09,4.529279479034367960e-05
8.471481940850825725e-09,4.586094620913288102e-05
8.617983413466360889e-09,4.643622507615063644e-05
8.767037834194583259e-09,4.701872085810721084e-05
8.918711425113639464e-09,4.760852414976567988e-05
9.073074127542900907e-09,4.820572668854604506e-05
9.230199870861978729e-09,4.881042136934338394e-05
9.390166859681048381e-09,4.942270225956455523e-05
9.553057880516271709e-09,5.004266461438836467e-05
9.718960629192136767e-09,5.067040489225396906e-05
9.887968060264769936e-09,5.130602077058268190e-05
1.006016771659759168e-08,5.194961113706834694e-05
1.023531594755524384e-08,5.260127537785551491e-05
1.041330906170760048e-08,5.326111444681156932e-05
1.059419435359429036e-08,5.392923090460043767e-05
1.077802072569173412e-08,5.460572860064223145e-05
1.096483880781835314e-08,5.529071268950594935e-05
1.115470108570542927e-08,5.598428964752536342e-05
1.134766203935936275e-08,5.668656728964205919e-05
1.154377829188012658e-08,5.739765478647974281e-05
1.174310876944189472e-08,5.811766268165403026e-05
1.194571487318556899e-08,5.884670290932194671e-05
1.215166066381919570e-08,5.958488881197583907e-05
1.236101305977115271e-08,6.033233515848617390e-05
1.257384204979275229e-08,6.108915816239805210e-05
1.279022092096172947e-08,6.185547550048647533e-05
1.301022650309600280e-08,6.263140633157520223e-05
1.323393943064838350e-08,6.341707131562501537e-05
1.346144442321779342e-08,6.421259263309609484e-05
1.369283058588105879e-08,6.501809400459120016e-05
1.392819173062177855e-08,6.583370071078428201e-05
1.416762672020967507e-08,6.665953961264184206e-05
1.441123983596453700e-08,6.749573917194255689e-05
1.465914117092476636e-08,6.834242947210173878e-05
1.491144705003107358e-08,6.919974223930803331e-05
1.516828047903148993e-08,7.006781086397868255e-05
1.542977162391507183e-08,7.094677042254102478e-05
1.569605832278858843e-08,7.183675769954779285e-05
1.596728663222345473e-08,7.273791121013434291e-05
1.624361141021932507e-08,7.365037122282526720e-05
1.652489792638795783e-08,7.457427908501732482e-05
1.681074663015922954e-08,7.550977730489218977e-05
1.710122395485142735e-08,7.645701127862727323e-05
1.739640735756768919e-08,7.741612824998732290e-05
1.769637696924360785e-08,7.838727731368847190e-05
1.800121579283782969e-08,7.937060943900794724e-05
1.831100991665925458e-08,8.036627749371960823e-05
1.862584874386109042e-08,8.137443626836223995e-05
1.894582523919581129e-08,8.239524250084636183e-05
1.927103619419290683e-08,8.342885490140623263e-05
1.960158251199316599e-08,8.447543417790366550e-05
1.993756951314926305e-08,8.553514306149084942e-05
2.027910726378241496e-08,8.660814633263914312e-05
2.062631092757044635e-08,8.769461084754121406e-05
2.097930114313200672e-08,8.879470556489454545e-05
2.133820442846733264e-08,8.990860157307394148e-05
2.170315361421629180e-08,9.103647211770158243e-05
2.207428830760089044e-08,9.217849262962301855e-05
2.245175538903224311e-08,9.333484075329806105e-05
2.283570954348072426e-08,9.450569637561581301e-05
2.322631382883409979e-08,9.569124165514342173e-05
2.362374028360126868e-08,9.689166105181852735e-05
2.402817057646012716e-08,9.810714135709574818e-05
2.443979670029638098e-08,9.933787172455780092e-05
2.485882171353763678e-08,1.005840437010029786e-04
2.528546053175259239e-08,1.018458512580196250e-04
2.571994077266120663e-08,1.031234908240609281e-04
2.616250365788657043e-08,1.044171613170317135e-04
2.661333670875661795e-08,1.057270640120760752e-04
2.707183318947465834e-08,1.070534007808508553e-04
2.753787649722611615e-08,1.083963772355559272e-04
2.801158506746882754e-08,1.097562021405918060e-04
2.849308013006774709e-08,1.111330868821769845e-04
2.898248588259544701e-08,1.125272455015790694e-04
2.947992967730250052e-08,1.139388947287914554e-04
2.998554222272864447e-08,1.153682540166630884e-04
3.049945780098788958e-08,1.168155455754887022e-04
3.102181450182718263e-08,1.182809944080685696e-04
3.155275447462703628e-08,1.197648283452446244e-04
3.209242419958779274e-08,1.212672780819229430e-04
3.264097477942259798e-08,1.227885772135902699e-04
3.319856225296163609e-08,1.243289622733339790e-04
3.376534793216013535e-08,1.258886727693752283e-04
3.434149876409556024e-08,1.274679512231244153e-04
3.492718771963795029e-08,1.290670432077689492e-04
3.552259421058208803e-08,1.306861973874041938e-04
3.612790453713998133e-08,1.323256655567173819e-04
3.674331236780961185e-08,1.339857026812362893e-04
3.736901925375923710e-08,1.356665669381537567e-04
3.800523517999744008e-08,1.373685197577394690e-04
3.865217915573765658e-08,1.390918258653521663e-04
3.931007984651234756e-08,1.408367533240638598e-04
3.997917625074660093e-08,1.426035735779099570e-04
4.065971842366551592e-08,1.443925614957789047e-04
4.135196825158174398e-08,1.462039954159544120e-04
4.205620027979438524e-08,1.480381571913270608e-04
4.277270259752244493e-08,1.498953322352879604e-04
4.346825235541090543e-08,1.517758086128939720e-04
4.362527052525449618e-08,1.536798714653863349e-04
4.349286208673874147e-08,1.556078189825151764e-04
4.358465318427510281e-08,1.575599555472046896e-04
4.388984834579215711e-08,1.595365821970159644e-04
4.435023641677886176e-08,1.615380055035943766e-04
4.495454875177050942e-08,1.635645369223913349e-04
4.568921529610255376e-08,1.656164918686312958e-04
4.653815142068216379e-08,1.676941897714780160e-04
4.748252941007300311e-08,1.697979541291932840e-04
4.850053362865069974e-08,1.719281125653207370e-04
4.956709833192121051e-08,1.740849968859273721e-04
5.065362702917135979e-08,1.762689431379389901e-04
5.172769223925851087e-08,1.784802916686052416e-04
5.275271441335893801e-08,1.807193871861343933e-04
5.369125357390062088e-08,1.829865786979989982e-04
5.460632632066566089e-08,1.852822162654189496e-04
5.553648885931367943e-08,1.876066555660625549e-04
5.648204310987147546e-08,1.899602581340676462e-04
5.744330438219999769e-08,1.923433900624733266e-04
5.842060234756376015e-08,1.947564220624279252e-04
5.941428207957817868e-08,1.971997295232849417e-04
6.042470516904849505e-08,1.996736925736055995e-04
6.145225091748661357e-08,2.021786961430904804e-04
6.249731761438087481e-08,2.047151300254604312e-04
6.356032390359943713e-08,2.072833889423123313e-04
6.464171024462995523e-08,2.098838726079707540e-04
6.574194047469990992e-08,2.125169857953618680e-04
6.686107613368082095e-08,2.151831373027234472e-04
6.799865691899821160e-08,2.178827397172101998e-04
6.915502089710370441e-08,2.206162128779695956e-04
7.033054783678768087e-08,2.233839819872261928e-04
7.152563450891973240e-08,2.261864776125643991e-04
7.274069591700109277e-08,2.290241357568951813e-04
7.397616661528055740e-08,2.318973979294893331e-04
7.523250212011782446e-08,2.348067112181031026e-04
7.651018042062128127e-08,2.377525283622222566e-04
7.780970359494935238e-08,2.407353078274525793e-04
7.913159953904955543e-08,2.437555138810851047e-04
8.047642381501400132e-08,2.468136166688664397e-04
8.184465908128154283e-08,2.499100920232440572e-04
8.323568283249024145e-08,2.530454188217722672e-04
8.464961459107078368e-08,2.562200839212862443e-04
8.608691349794871029e-08,2.594345811745889870e-04
8.754805910260332416e-08,2.626894106672190130e-04
8.903355284274267691e-08,2.659850787988365917e-04
9.054391962952493564e-08,2.693220983658593023e-04
9.207970954518713618e-08,2.727009886453765717e-04
9.364149966035781253e-08,2.761222754803747959e-04
9.522989597876821227e-08,2.795864913663066004e-04
9.684553551754055840e-08,2.830941755390368217e-04
9.848908853172238254e-08,2.866458740642021242e-04
1.001612608922540738e-07,2.902421399280207394e-04
1.018619781435693603e-07,2.938835309598849914e-04
1.035906686435658041e-07,2.975706106763351686e-04
1.053478747048210695e-07,3.013039526384405698e-04
1.071341727107721999e-07,3.050841376740147208e-04
1.089501647870052762e-07,3.089117539455640046e-04
1.107964806604545407e-07,3.127873970463918843e-04
1.126737796507744466e-07,3.167116700982011679e-04
1.145827528024582501e-07,3.206851838502282510e-04
1.165241251667973394e-07,3.247085567799508072e-04
1.184986582433209721e-07,3.287824151954087180e-04
1.205071525909355835e-07,3.329073933391792236e-04
1.225504506195950851e-07,3.370841334940521570e-04
1.246292190163346838e-07,3.413132854978061584e-04
1.267424766061870072e-07,3.455955028901282764e-04
1.288905054229406933e-07,3.499314508385246015e-04
1.310740014003850924e-07,3.543218039566160675e-04
1.332936912693570527e-07,3.587672453789734497e-04
1.355503347851450806e-07,3.632684668729514103e-04
1.378447271136604562e-07,3.678261689522774867e-04
1.401777013866935694e-07,3.724410609924408552e-04
1.425501314371977644e-07,3.771138613479264618e-04
1.449629347262036953e-07,3.818452974713432537e-04
1.474170754736624750e-07,3.866361060344972525e-04
1.499135680062549640e-07,3.914870330514610779e-04
1.524534803359833108e-07,3.963988340036960823e-04
1.550365841211205634e-07,4.013722703132451951e-04
1.576621164994014372e-07,4.064081115176712664e-04
1.603309103754589998e-07,4.115071411393969114e-04
1.630438403550723363e-07,4.166701526124790846e-04
1.658018201061584806e-07,4.218979493983748743e-04
1.686058051777335075e-07,4.271913451179783542e-04
1.714567960191532934e-07,4.325511636857572086e-04
1.743558412126228807e-07,4.379782394460441015e-04
1.773040409327476491e-07,4.434734173115393295e-04
1.803025506477284030e-07,4.490375529040851500e-04
1.833525850776780208e-07,4.546715126977709815e-04
1.864554224264671459e-07,4.603761741644388640e-04
1.896120495023592366e-07,4.661524249427425660e-04
1.928209803038060849e-07,4.720011570426860346e-04
1.960826767210363056e-07,4.779232790334255951e-04
1.993981913608066817e-07,4.839197124753277855e-04
2.027686230314149594e-07,4.899913905784637281e-04
2.061951200734238728e-07,4.961392583563039487e-04
2.096788839276935987e-07,5.023642727818781843e-04
2.132211729561483296e-07,5.086674029464679407e-04
2.168233065316348100e-07,5.150496302208974492e-04
2.204866694142152293e-07,5.215119484194951759e-04
2.242127164322821259e-07,5.280553639667994468e-04
2.280029774879839952e-07,5.346808960670879855e-04
2.318590629076138538e-07,5.413895768768080177e-04
2.357806602936850597e-07,5.481824461427329230e-04
2.397666054843304766e-07,5.550605543152321852e-04
2.438181584845675485e-07,5.620249717418820002e-04
2.479366440978592360e-07,5.690767823300223356e-04
2.521234461892468179e-07,5.762170836987557873e-04
2.563800119441011863e-07,5.834469873606004491e-04
2.607078564293745151e-07,5.907676189061062321e-04
2.651085674769713591e-07,5.981801181915154079e-04
2.695838109100377587e-07,6.056856395295510736e-04
2.741353361342232898e-07,6.132853518834229878e-04
2.787649821172901967e-07,6.209804390641389220e-04
2.834746837818499805e-07,6.287720999312257190e-04
2.882660628879216448e-07,6.366615473840270571e-04
2.931374061072463918e-07,6.446499998220268880e-04
2.980893362562539540e-07,6.527386979578204832e-04
3.031233017793310734e-07,6.609289004789711992e-04
3.082407992763331163e-07,6.692218819633581487e-04
3.134433766589485373e-07,6.776189330871683521e-04
3.187326365343743218e-07,6.861213608361277274e-04
3.241102398313919299e-07,6.947304887200481116e-04
3.295779096848661095e-07,7.034476569907806287e-04
3.351374355956669551e-07,7.122742228636579119e-04
3.407906778840560596e-07,7.212115607425197226e-04
3.465395724556773227e-07,7.302610624484214951e-04
3.523861359004502361e-07,7.394241374521175322e-04
3.574264977491516629e-07,7.487022004469205249e-04
3.566714534817104497e-07,7.580966408963210265e-04
3.561249463805438819e-07,7.676089074142554165e-04
3.615286539094892586e-07,7.772404922943246686e-04
3.676279589807193844e-07,7.869929565192789606e-04
3.738295930343050054e-07,7.968678033032177126e-04
3.801358360173926014e-07,8.068665859465632383e-04
3.865988005310387521e-07,8.169908383305739827e-04
3.888256812224346881e-07,8.272421043899848888e-04
3.887882999384598304e-07,8.376219862238707802e-04
3.924722301461796847e-07,8.481321127663246293e-04
3.985431152706830807e-07,8.587741105617215358e-04
4.062506375444872403e-07,8.695496443980149344e-04
4.147358742927682380e-07,8.804604011953094059e-04
4.230219739424355873e-07,8.915080903838481412e-04
4.303366776398387790e-07,9.026944393570247209e-04
4.375928993572137228e-07,9.140211735376359715e-04
4.449700903783877252e-07,9.254900535749248282e-04
4.524710203205614407e-07,9.371028652172839818e-04
4.600986024450476359e-07,9.488614168436677182e-04
4.678559041375560065e-07,9.607675397660377049e-04
4.757447544528681079e-07,9.728230848247897090e-04
4.837653473798960826e-07,9.850299223354615913e-04
