Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.334769780502014536e-10,9.541160299576610372e-06
9.508160596208200513e-10,9.663925833380106808e-06
9.684543828021716955e-10,9.788271025458416963e-06
9.863975238273071443e-10,9.914216203615046184e-06
1.004651279704891068e-09,1.004178195747758409e-05
1.023221684976169824e-09,1.017098914189155046e-05
1.042115029754762769e-09,1.030185888035982671e-05
1.061337879137497580e-09,1.043441256852835740e-05
1.080897094080106549e-09,1.056867187771890786e-05
1.100799853837506050e-09,1.070465875850957066e-05
1.121053680074647907e-09,1.084239544436379529e-05
1.141666462760575704e-09,1.098190445530879815e-05
1.162646487965336688e-09,1.112320860166405757e-05
1.184002467686867469e-09,1.126633098782078497e-05
1.205743571842846317e-09,1.141129501607322943e-05
1.227879462570868428e-09,1.155812439050265063e-05
1.250420330989141885e-09,1.170684312091487183e-05
1.273376936579274832e-09,1.185747552683235125e-05
1.296760649362638290e-09,1.201004624154170523e-05
1.320583495052288114e-09,1.216458021619765068e-05
1.344858203373541038e-09,1.232110272398438982e-05
1.369598259758061261e-09,1.247963936433544027e-05
1.394817960628762688e-09,1.264021606721301149e-05
1.420532472505999393e-09,1.280285909744798982e-05
1.446754407832839314e-09,1.296759505274669892e-05
1.473442566191991025e-09,1.313445077415224288e-05
1.500586257582609092e-09,1.330345350524269186e-05
1.528193491119572735e-09,1.347463087472411629e-05
1.556272564159851878e-09,1.364801086715210018e-05
1.584832084221559225e-09,1.382362182754493840e-05
1.613880992619092129e-09,1.400149246605891633e-05
1.643428589934184243e-09,1.418165186272660198e-05
1.673484563450349358e-09,1.436412947225922809e-05
1.704059016686294184e-09,1.454895512891413302e-05
1.735162501172481580e-09,1.473615905142836515e-05
1.766806050624125561e-09,1.492577184801947736e-05
1.799001217673562538e-09,1.511782452145471082e-05
1.831760113335154349e-09,1.531234847418964749e-05
1.865095449386721985e-09,1.550937551357748473e-05
1.899020583862999245e-09,1.570893785715026371e-05
1.933549569868718739e-09,1.591106813797311882e-05
1.968697207931856371e-09,1.611579941007296608e-05
2.004479102131161584e-09,1.632316515394285859e-05
2.040911720246573801e-09,1.653319928212342550e-05
2.078012458196370871e-09,1.674593614486271224e-05
2.115799709041106823e-09,1.696141053585592651e-05
2.154292936851523402e-09,1.717965769806652649e-05
2.193512755755731415e-09,1.740071332963015913e-05
2.233481014500171253e-09,1.762461358984309832e-05
2.274220886879151841e-09,1.785139510523669427e-05
2.315756968409267803e-09,1.808109497573961611e-05
2.358100592450630405e-09,1.831375075240259981e-05
2.401177806972873963e-09,1.854940030481136106e-05
2.444984480138195069e-09,1.878808212670011118e-05
2.489533360749614915e-09,1.902983523981366994e-05
2.534837658426328408e-09,1.927469916858073662e-05
2.580911078825715570e-09,1.952271394664008909e-05
2.627767861625363887e-09,1.977392012345516919e-05
2.675422821457832624e-09,2.002835877101873129e-05
2.723891392003124124e-09,2.028607149064894346e-05
2.773189673456892825e-09,2.054710041987846899e-05
2.823334483606220140e-09,2.081148823943811078e-05
2.874343412759450446e-09,2.107927818033665152e-05
2.926234882792060022e-09,2.135051403103849568e-05
2.979028210587015637e-09,2.162524014474087177e-05
3.032743676165453173e-09,2.190350144675231261e-05
3.087402595821993351e-09,2.218534344197422970e-05
3.143027400598523955e-09,2.247081222248746549e-05
3.199641720450995968e-09,2.275995447524567673e-05
3.257270474485677302e-09,2.305281748987757185e-05
3.315939967664544150e-09,2.334944916660007907e-05
3.375677994404015471e-09,2.364989802424441725e-05
3.436513949517302655e-09,2.395421320839738696e-05
3.498478946978120807e-09,2.426244449966000611e-05
3.561605947012695554e-09,2.457464232202584143e-05
3.625929892057831634e-09,2.489085775138152962e-05
3.691487852155428131e-09,2.521114252413172760e-05
