Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.342882795908726189e-10,9.546916388517457264e-06
9.520542528928993205e-10,9.672672383409410866e-06
9.701341576136692994e-10,9.800084932807354922e-06
9.885339929404189255e-10,9.929175860178527275e-06
1.007260002102567896e-09,1.005996727675419360e-05
1.026318691349763115e-09,1.019248158534850222e-05
1.045716850417046693e-09,1.032674148422982278e-05
1.065461574581866244e-09,1.046276997104547511e-05
1.085560288424401023e-09,1.060059034680064446e-05
1.106020771409898738e-09,1.074022621989243690e-05
1.126851185419325870e-09,1.088170151019993377e-05
1.148060104362754962e-09,1.102504045323121924e-05
1.169656546018479040e-09,1.117026760432826870e-05
1.191650006249982854e-09,1.131740784293079913e-05
1.214050495762533338e-09,1.146648637689992502e-05
1.236868579571429217e-09,1.161752874690284991e-05
1.260115419364784697e-09,1.177056083085948095e-05
1.283802818955266132e-09,1.192560884845215606e-05
1.307943273027397933e-09,1.208269936569963871e-05
1.332550019399995858e-09,1.224185929959644450e-05
1.357637095037014122e-09,1.240311592281877830e-05
1.383219396054619712e-09,1.256649686849827132e-05
1.409312741987718084e-09,1.273203013506481070e-05
1.435933944595479646e-09,1.289974409115977274e-05
1.463067522725203304e-09,1.306966741948368976e-05
1.490675687428015989e-09,1.324182914028015216e-05
1.518766439145320162e-09,1.341625874107123709e-05
1.547348565250293433e-09,1.359298609906506886e-05
1.576431185231061023e-09,1.377204148543675566e-05
1.606023776602709965e-09,1.395345557055872144e-05
1.636136202886467764e-09,1.413725942930311862e-05
1.666778743803345105e-09,1.432348454641766158e-05
1.697962127839120904e-09,1.451216282197590082e-05
1.729697567347764132e-09,1.470332657690333539e-05
1.761996796371193941e-09,1.489700855858052903e-05
1.794872111364773685e-09,1.509324194652461079e-05
1.828336415030097970e-09,1.529206035815039840e-05
1.862403263469598890e-09,1.549349785461268098e-05
1.897086916891148003e-09,1.569758894673087062e-05
1.932402394105441478e-09,1.590436860099768808e-05
1.968365531074324436e-09,1.611387224567323111e-05
2.004993043784599889e-09,1.632613577696601442e-05
2.042302595739191290e-09,1.654119556530258560e-05
2.080312870375937862e-09,1.675908846168738730e-05
2.119043648743747238e-09,1.697985180415442080e-05
2.158515892786550420e-09,1.720352342431261865e-05
2.198751834607345312e-09,1.743014165398659645e-05
2.239775072107858088e-09,1.765974533195473900e-05
2.281610671423916802e-09,1.789237381078641299e-05
2.324285276602700681e-09,1.812806696378042718e-05
2.367794942475159552e-09,1.836686512973600079e-05
2.412065011982917599e-09,1.860880904278855888e-05
2.457102656304207051e-09,1.885394013370018520e-05
2.502921673946484567e-09,1.910230039160898819e-05
2.549536379588087083e-09,1.935393235942022878e-05
2.596961644520838551e-09,1.960887914116753807e-05
2.645212940331673447e-09,1.986718440947640246e-05
2.694306386054533582e-09,2.012889241313175597e-05
2.744258799038862681e-09,2.039404798475122791e-05
2.795087749797091581e-09,2.066269654856619424e-05
