Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.341760181847157778e-10,9.546119976786838132e-06
9.518828917788631527e-10,9.671462054645661301e-06
9.699016426992348848e-10,9.798449937370489940e-06
9.882382103398853907e-10,9.927105237248547040e-06
1.006898774809125519e-09,1.005744985063188895e-05
1.025889775586624281e-09,1.018950596169500953e-05
1.045217931637834691e-09,1.032329604624400326e-05
1.064890263088012621e-09,1.045884287557800546e-05
1.084914114564718700e-09,1.059616952040383635e-05
1.105297180324680746e-09,1.073529935480467572e-05
1.126047531288337126e-09,1.087625606026367607e-05
1.147173644113248201e-09,1.101906362974341390e-05
1.168684432445937323e-09,1.116374637182210066e-05
1.190589280500565679e-09,1.131032891488754951e-05
1.212898079122270119e-09,1.145883621138984993e-05
1.235621264502926148e-09,1.160929354215377845e-05
1.258769859727693780e-09,1.176172652075198573e-05
1.282355519341869053e-09,1.191616109794001531e-05
1.306390577139462796e-09,1.207262356615428406e-05
1.330888097387476135e-09,1.223114056407414403e-05
1.355861929713191485e-09,1.239173908124915567e-05
1.381326767895907407e-09,1.255444646279284974e-05
1.407298212819512924e-09,1.271929041414416721e-05
1.433792839858138426e-09,1.288629900589783911e-05
1.460800927418057014e-09,1.305550062858806865e-05
1.488280848967306587e-09,1.322692398748578210e-05
1.516239549037685775e-09,1.340059825498928354e-05
1.544685703548643542e-09,1.357655298955770110e-05
1.573628314129649570e-09,1.375481813816061475e-05
1.603076733443740993e-09,1.393542404141913296e-05
1.633040692526108417e-09,1.411840143881765756e-05
1.663530330280895404e-09,1.430378147398748222e-05
1.694556225288692470e-09,1.449159570006333726e-05
1.726129430087095148e-09,1.468187608511422446e-05
1.758261508097168186e-09,1.487465501764963600e-05
1.790964573379790578e-09,1.506996531220251974e-05
1.824251333417657083e-09,1.526784021499027314e-05
1.858135135131214519e-09,1.546831340965508557e-05
1.892630014350115701e-09,1.567141902308505870e-05
1.927750748975821277e-09,1.587719163131749085e-05
1.963512916085920469e-09,1.608566626552573802e-05
1.999932953246585314e-09,1.629687841809128140e-05
2.037028224316321367e-09,1.651086404876243277e-05
2.074817090041987418e-09,1.672765959090130754e-05
2.113318983766902241e-09,1.694730195782074246e-05
2.152554492590823895e-09,1.716982854921277429e-05
2.192545444342782792e-09,1.739527725767056984e-05
2.233315000750151027e-09,1.762368647530540672e-05
2.274887757211126380e-09,1.785509510046079181e-05
2.317289849602959015e-09,1.808954254452544878e-05
2.360530537562200137e-09,1.832706870309959489e-05
2.404532767657467004e-09,1.856771382908465183e-05
2.449295418658598504e-09,1.881151885270572710e-05
2.494832074114427050e-09,1.905852527004791932e-05
2.541156820625897626e-09,1.930877512269582472e-05
2.588284287116338331e-09,1.956231100496079158e-05
2.636229687240978119e-09,1.981917607120832779e-05
2.685008865159302812e-09,2.007941404328723035e-05
2.734638344908440979e-09,2.034306921806218495e-05
2.785135383631187910e-09,2.061018647505161798e-05
2.836518028928697870e-09,2.088081128417259303e-05
2.888805180625270901e-09,2.115498971359464271e-05
2.942016657251101550e-09,2.143276843770440253e-05
2.996173267568477663e-09,2.171419474518314406e-05
3.051296887487626246e-09,2.199931654719905740e-05
3.107410542740492022e-09,2.228818238571655288e-05
3.164538497704050454e-09,2.258084144192467257e-05
3.222706350789517430e-09,2.287734354478677661e-05
3.281941136840113866e-09,2.317773917971395725e-05
3.342271437007801192e-09,2.348207949736434241e-05
3.403727496608990678e-09,2.379041632257098896e-05
3.466341351490405613e-09,2.410280216340063576e-05
3.530146963469463038e-09,2.441929022034613898e-05
3.595180365448627050e-09,2.473993439565517111e-05
3.661479816840376938e-09,2.506478930279803344e-05
3.729085969978834547e-09,2.539391027607746507e-05
3.798042046252756516e-09,2.572735338037944220e-05
3.868283277095883781e-09,2.606517519679184296e-05
3.939730296823483442e-09,2.640743302222309274e-05
4.012404282170000761e-09,2.675418511204307649e-05
4.086327173243211296e-09,2.710549048754801659e-05
4.161521733124785162e-09,2.746140894612092437e-05
4.238011612263247080e-09,2.782200107153384499e-05
4.315821418001979362e-09,2.818732824439423016e-05
4.394976789607311748e-09,2.855745265273812520e-05
4.475504479185451474e-09,2.893243730277259671e-05
4.557432438902218583e-09,2.931234602977017542e-05
4.640789914946271922e-09,2.969724350911801816e-05
4.725607548704852115e-09,3.008719526752454335e-05
4.811917485651203655e-09,3.048226769438658950e-05
4.899753492474703739e-09,3.088252805331998316e-05
4.989151083018586922e-09,3.128804449385670145e-05
5.080147653626050186e-09,3.169888606331170539e-05
5.172782628533606397e-09,3.211512271882291012e-05
5.267097615990833710e-09,3.253682533956759216e-05
5.363136575828547006e-09,3.296406573915877078e-05
5.460945999242664258e-09,3.339691667822522616e-05
5.560575101609186754e-09,3.383545187717902349e-05
5.662076029196563038e-09,3.427974602917426326e-05
5.765504080695756888e-09,3.472987481326128610e-05
5.870917944545482115e-09,3.518591490774046569e-05
5.978379953090643077e-09,3.564794400371985872e-05
6.087956354676288380e-09,3.611604081888142835e-05
6.199705591675163047e-09,3.659028508585247444e-05
6.313452878898597390e-09,3.707075708571120964e-05
6.429142667812422119e-09,3.755753841382456485e-05
6.546809015501074494e-09,3.805071192969549043e-05
6.666487209938966047e-09,3.855036158251656136e-05
6.788213866075771779e-09,3.905657242565292600e-05
6.912027029637801566e-09,3.956943063132950511e-05
7.037966289196639772e-09,4.008902350552615425e-05
7.166072897092157752e-09,4.061543950308442864e-05
7.296389899835230417e-09,4.114876824303009074e-05
7.428962278655904896e-09,4.168910052411510091e-05
7.563837100905812522e-09,4.223652834058347556e-05
7.701063683069099531e-09,4.279114489816504454e-05
7.840693766184640367e-09,4.335304463030177679e-05
7.982781704533471850e-09,4.392232321461103108e-05
8.127384668499851328e-09,4.449907758959061114e-05
8.274562862571997279e-09,4.508340597157027335e-05
8.424379759509810271e-09,4.567540787191510143e-05
8.576902351771595000e-09,4.627518411448554569e-05
8.732201421360703230e-09,4.688283685335994076e-05
8.890351829325749881e-09,4.749846959082478073e-05
9.051432826225430555e-09,4.812218719563884331e-05
9.215528384950694311e-09,4.875409592157704499e-05
9.382727557383821501e-09,4.939430342626025450e-05
9.553124856465912532e-09,5.004291879027777311e-05
9.726820665341513599e-09,5.070005253660905473e-05
9.903921675352410349e-09,5.136581665035171987e-05
1.008451053815604348e-08,5.204032452992730793e-05
1.026828853819603491e-08,5.272369020905903829e-05
1.045519177859935350e-08,5.341602975386329819e-05
1.064527484252725312e-08,5.411746102125424349e-05
1.083859427436675645e-08,5.482810341850374549e-05
1.103520873250352904e-08,5.554807792388949958e-05
1.123517915436099319e-08,5.627750710763783354e-05
1.143856893458186107e-08,5.701651515316677883e-05
1.164544411728543478e-08,5.776522787863473787e-05
1.185587360339487645e-08,5.852377275880104918e-05
1.206992937409270210e-08,5.929227894720416267e-05
1.228768673153137880e-08,6.007087729866382214e-05
1.250922455799820389e-08,6.085970039211392252e-05
1.273462559481050142e-08,6.165888255377235754e-05
1.296397674229888350e-08,6.246855988065523710e-05
1.319736938232256395e-08,6.328887026444222354e-05
1.343489972485272620e-08,6.411995341570089465e-05
1.367666918025690881e-08,6.496195088847758054e-05
1.392278475902063127e-08,6.581500610526267727e-05
1.417335950075179902e-08,6.667926438233892769e-05
1.442851293442917775e-08,6.755487295552124836e-05
1.468837157197909618e-08,6.844198100629703368e-05
1.495306943739464900e-08,6.934073968837619359e-05
1.522274863374954735e-08,7.025130215466099425e-05
1.549755995060494238e-08,7.117382358464525646e-05
1.577766351446221176e-08,7.210846121225394337e-05
1.606322948507882477e-08,7.305537435413365433e-05
1.635441399668862893e-08,7.401472438050872842e-05
1.665078158778423762e-08,7.498667339547057339e-05
1.695217232597186537e-08,7.597138629062941573e-05
1.725867343984775280e-08,7.696903070497861348e-05
1.757037525052180126e-08,7.797977648331265888e-05
1.788737141159451047e-08,7.900379570566582875e-05
1.820975916841839470e-08,8.004126271717559827e-05
1.853763963802283045e-08,8.109235415837988457e-05
1.887111811117107778e-08,8.215724899595523549e-05
1.921030437811414339e-08,8.323612855390645287e-05
1.955531307970706353e-08,8.432917654521551113e-05
1.990626408566105852e-08,8.543657910395984043e-05
2.026328290181916212e-08,8.655852481790982718e-05
2.062650110846363738e-08,8.769520476161523563e-05
2.099605683179245502e-08,8.884681252999167690e-05
2.137209525083788018e-08,9.001354427241776447e-05
2.175476914224476514e-08,9.119559872735415033e-05
2.214423946547959728e-08,9.239317725749678816e-05
2.254067599120313843e-08,9.360648388547597042e-05
2.294425797571239204e-08,9.483572533011467816e-05
2.335517488453936654e-08,9.608111104325861714e-05
2.377362716848814291e-08,9.734285324719267173e-05
2.419982709559625696e-08,9.862116697265739702e-05
2.463399964272392889e-08,9.991627009748087695e-05
2.507638345070461196e-08,1.012283833858414932e-04
2.552723184723434760e-08,1.025577305281778951e-04
2.598681394193545468e-08,1.039045381817629892e-04
2.645541579830406254e-08,1.052690360119596340e-04
2.693269909498071311e-08,1.066514551786184358e-04
2.741820908665279551e-08,1.080520296091478852e-04
2.791208065739482805e-08,1.094709977462543439e-04
2.841445199535973251e-08,1.109086011673051888e-04
2.892546480386916564e-08,1.123650846259074092e-04
2.944526453285818802e-08,1.138406960940756312e-04
2.997400062934217863e-08,1.153356868049937019e-04
3.051182680831429002e-08,1.168503112963803774e-04
3.105890134557611355e-08,1.183848274544700924e-04
3.161538739410448851e-08,1.199394965586206833e-04
3.218145332566314882e-08,1.215145833265587438e-04
3.275727309948185354e-08,1.231103559602761259e-04
3.334302665994419881e-08,1.247270861925881826e-04
3.393890036535438547e-08,1.263650493343691100e-04
3.454508744998663761e-08,1.280245243224749970e-04
3.516178852176593553e-08,1.297057937683711065e-04
3.578921209808016029e-08,1.314091440074750816e-04
3.642757518238586774e-08,1.331348651492332894e-04
3.707710388444103719e-08,1.348832511279436652e-04
3.773803408718060248e-08,1.366545997543423775e-04
3.841061216344310134e-08,1.384492127679697894e-04
3.909509574596181370e-08,1.402673958903335539e-04
3.979175455425103030e-08,1.421094588788862688e-04
4.050087128224779101e-08,1.439757155818360173e-04
4.122274255081441665e-08,1.458664839938094424e-04
4.195767992946531801e-08,1.477820863123868191e-04
4.270601103195625577e-08,1.497228489955302374e-04
4.344565461248526214e-08,1.516891020612246422e-04
4.362521822232108034e-08,1.536811725311041982e-04
4.348879540555121982e-08,1.556994015867445183e-04
4.360640052558655299e-08,1.577441379105184809e-04
4.394528534831323140e-08,1.598157267821201095e-04
4.445253099312065694e-08,1.619145203890766740e-04
4.511480410386938157e-08,1.640408764401316325e-04
4.591596422666389988e-08,1.661951574056327755e-04
4.683679226588133695e-08,1.683777305857830236e-04
4.785469848637827973e-08,1.705889681802050619e-04
4.894340870113993413e-08,1.728292473588640180e-04
5.007262719938052913e-08,1.750989503343951584e-04
5.120767488086103408e-08,1.773984644358854456e-04
5.230910096767427584e-08,1.797281821841614855e-04
5.333226656465237510e-08,1.820885013686373167e-04
5.428607959948967530e-08,1.844798231630624598e-04
5.525434565374459517e-08,1.869025518506538177e-04
5.623936749529876983e-08,1.893571000487438629e-04
5.724150214494051663e-08,1.918438858893609729e-04
5.826112354555578047e-08,1.943633330255175044e-04
5.929862384819677986e-08,1.969158707063843334e-04
6.035441479395935033e-08,1.995019338536514579e-04
6.142892919817862534e-08,2.021219631391039375e-04
6.252262254386425351e-08,2.047764050634425512e-04
6.363597469173231496e-08,2.074657120363812654e-04
