Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.343418879185772577e-10,9.537129176980109114e-06
9.521360865590865778e-10,9.662948707927640019e-06
9.702451999417993185e-10,9.790428169413435415e-06
9.886752559521833187e-10,9.919589462883052138e-06
1.007432528119618295e-09,1.005045477901688150e-05
1.026523554750278830e-09,1.018304660157437782e-05
1.045955159561566071e-09,1.031738771129127906e-05
1.065734473923964767e-09,1.045350118983058010e-05
1.085868960823083601e-09,1.059141042378822276e-05
1.106366440661905416e-09,1.073113910875428838e-05
1.127235119031032465e-09,1.087271125343074860e-05
1.148483616582884158e-09,1.101615118380658895e-05
1.170121001154536923e-09,1.116148354739135074e-05
1.192156822293104765e-09,1.130873331750803457e-05
1.214601148347370972e-09,1.145792579764642622e-05
1.237464606299752128e-09,1.160908662587787641e-05
1.260758424523691218e-09,1.176224177933258648e-05
1.284494478663252016e-09,1.191741757874055206e-05
1.308685340844068621e-09,1.207464069303725388e-05
1.333344332437918321e-09,1.223393814403532738e-05
1.358485580617099368e-09,1.239533731116336647e-05
1.384124078949532064e-09,1.255886593627312857e-05
1.410275752301128270e-09,1.272455212851643185e-05
1.436957526328517831e-09,1.289242436929305582e-05
1.464150951843585664e-09,1.306251145054202624e-05
1.491820463761591330e-09,1.323484251339910272e-05
1.519974388817756440e-09,1.340944716483055422e-05
1.548621568045969166e-09,1.358635540315049421e-05
1.577771177693003307e-09,1.376559762284441818e-05
1.607432755415799158e-09,1.394720461983692359e-05
1.637616228571241879e-09,1.413120759683225427e-05
1.668331944747717406e-09,1.431763816872881627e-05
1.699590704697473434e-09,1.450652836810885256e-05
1.731403797839185253e-09,1.469791065080459131e-05
1.763783040511085102e-09,1.489181790154214843e-05
1.796740817166681279e-09,1.508828343966441242e-05
1.830290124717477219e-09,1.528734102493442461e-05
1.864444620240197667e-09,1.548902486342045904e-05
1.899218672279986101e-09,1.569336961346441477e-05
1.934627415995782904e-09,1.590041039173486413e-05
1.970686812409771514e-09,1.611018277936632209e-05
2.007413712039390208e-09,1.632272282818629709e-05
2.044825923208029632e-09,1.653806706703173088e-05
2.082942285349203798e-09,1.675625250815646739e-05
2.121782747638801088e-09,1.697731665373149195e-05
2.161368453310991691e-09,1.720129750243963170e-05
2.201721830035654180e-09,1.742823355616662453e-05
2.242866686758725516e-09,1.765816382679039317e-05
2.284828317431898902e-09,1.789112784307043502e-05
2.327633612084569909e-09,1.812716565763935412e-05
2.371270942063140516e-09,1.836631777658334728e-05
2.415669320238638364e-09,1.860862512660075462e-05
2.460838709745228574e-09,1.885412933239538199e-05
2.506793012980082924e-09,1.910287257517314182e-05
