Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.327497351799900222e-10,9.535999602265560801e-06
9.497065807924070633e-10,9.656086241630799127e-06
9.669498055411979244e-10,9.777685169181173875e-06
9.844846243145556707e-10,9.900815431396185157e-06
1.002316453417284130e-09,1.002549631485086064e-05
1.020450925521962353e-09,1.015174734926157760e-05
1.038893905740450768e-09,1.027958831057185647e-05
1.057651508891174179e-09,1.040903922407884752e-05
1.076730118042253101e-09,1.054012036760102067e-05
1.096136404415525876e-09,1.067285227468781384e-05
1.115877348741705529e-09,1.080725573787180751e-05
1.135960264162467549e-09,1.094335181196416735e-05
1.156392820781105747e-09,1.108116181739398189e-05
1.177183071969602744e-09,1.122070734359228614e-05
1.198339482546489557e-09,1.136201025242139819e-05
1.219870958946830731e-09,1.150509268165042580e-05
1.241786881512970279e-09,1.164997704847758684e-05
1.264097139042455399e-09,1.179668605310026517e-05
1.286812165737719843e-09,1.194524268233346081e-05
1.309942980710817358e-09,1.209567021327762217e-05
1.333501230205614658e-09,1.224799221703656844e-05
1.357499232709580022e-09,1.240223256248649653e-05
1.381950027137514502e-09,1.255841542009688229e-05
1.406867424280423931e-09,1.271656526580429763e-05
1.432266061724137511e-09,1.287670688494000570e-05
1.458140403714259135e-09,1.303886533761104337e-05
1.484449351536829176e-09,1.320306593461393302e-05
1.511197853344908759e-09,1.336933439102327390e-05
1.538393525382378906e-09,1.353769675053514384e-05
1.566044256087029407e-09,1.370817938514896384e-05
1.594158226353135192e-09,1.388080899933365843e-05
1.622743931341145827e-09,1.405561263424882401e-05
1.651810203939915198e-09,1.423261767202157949e-05
1.681366239993507001e-09,1.441185184008005629e-05
1.711421625411578987e-09,1.459334321554444764e-05
1.741986365289696371e-09,1.477712022967648111e-05
1.773070915173732746e-09,1.496321167238823600e-05
1.804686214610805621e-09,1.515164669681139986e-05
1.836843723137865259e-09,1.534245482392774352e-05
1.869555458868384605e-09,1.553566594726210715e-05
1.902834039847289989e-09,1.573131033763860203e-05
1.936692728354711520e-09,1.592941864800147828e-05
1.971145478349992938e-09,1.613002191830141226e-05
2.006206986259048253e-09,1.633315158044861985e-05
2.041892745320346365e-09,1.653883946333375941e-05
2.078219103717791809e-09,1.674711779791799673e-05
2.115203326742416381e-09,1.695801922239331271e-05
2.152863663239327907e-09,1.717157678741445642e-05
2.191219416611604040e-09,1.738782396140376005e-05
2.230291020669045344e-09,1.760679463593024530e-05
2.270100120626763400e-09,1.782852313116434621e-05
2.310669659576679960e-09,1.805304420140974576e-05
2.352016690464859219e-09,1.828039302666722250e-05
2.394074110607166795e-09,1.851060506730619576e-05
2.436828484711953711e-09,1.874371633577124834e-05
2.480291697020364375e-09,1.897976334724557780e-05
2.524476049077077714e-09,1.921878307728258801e-05
2.569394290913444216e-09,1.946081296765480413e-05
2.615059654624518812e-09,1.970589093228032832e-05
2.661485890503694027e-09,1.995405536322819836e-05
2.708687305908822481e-09,2.020534513680382130e-05
2.756678807044574569e-09,2.045979961971588828e-05
2.805475943857197607e-09,2.071745867532599712e-05
2.855094958250044904e-09,2.097836266998250377e-05
2.905552835840984267e-09,2.124255247943982589e-05
2.956867361496494810e-09,2.151006949536486546e-05
3.009057178891552129e-09,2.178095563193187178e-05
3.062141854359669176e-09,2.205525333250737792e-05
3.116141945313533541e-09,2.233300557642672863e-05
3.171079073533722987e-09,2.261425588586393762e-05
3.226976003640973526e-09,2.289904833279636178e-05
3.283856727086563158e-09,2.318742754606616756e-05
3.341746552015448828e-09,2.347943871854010387e-05
3.400672199378186291e-09,2.377512761436966892e-05
3.460661905690091171e-09,2.407454057635334432e-05
3.521745532859995068e-09,2.437772453340306521e-05
3.583954685536044366e-09,2.468472700811671509e-05
3.647322836442681662e-09,2.499559612445901048e-05
3.711885460210959729e-09,2.531038061555259121e-05
3.777680176234188403e-09,2.562912983158190854e-05
3.844698248659972815e-09,2.595189364925340581e-05
3.912828356646407712e-09,2.627872236622389674e-05
3.982080305225412899e-09,2.660966716230150100e-05
4.052473193064815126e-09,2.694477988042671211e-05
4.124026794421524233e-09,2.728411301731466544e-05
4.196761609732667042e-09,2.762771973177619334e-05
4.270698920085516717e-09,2.797565385315029231e-05
4.345860845831142874e-09,2.832796988985013649e-05
4.422270409623144617e-09,2.868472303802422675e-05
4.499951604180403777e-09,2.904596919033496221e-05
4.578929465091307113e-09,2.941176494485633853e-05
4.659230148996478847e-09,2.978216761409316823e-05
4.740881017507819653e-09,3.015723523412356812e-05
4.823910727243707524e-09,3.053702657386735640e-05
4.908349326383290110e-09,3.092160114448215194e-05
4.994228358167601966e-09,3.131101920888998424e-05
5.081580971801053974e-09,3.170534179143638290e-05
5.170442041234532088e-09,3.210463068768472459e-05
5.260848292340374075e-09,3.250894847434827032e-05
5.352838439020261613e-09,3.291835851936257307e-05
5.446453328819712209e-09,3.333292499210093905e-05
5.541736098657180979e-09,3.375271287373585649e-05
5.638732341312248535e-09,3.417778796774910920e-05
5.737490283355863278e-09,3.460821691059396305e-05
5.838060975246194490e-09,3.504406718251206805e-05
