Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
8.867003637751793166e-10,9.529607838345450580e-06
9.027653518557266017e-10,9.650057478335189002e-06
9.191032890233517124e-10,9.772029585406528227e-06
9.357213426668947364e-10,9.895543408955277274e-06
9.526277287359756565e-10,1.002061844340639404e-05
9.698315463831714120e-10,1.014727443098933450e-05
9.873425436541354629e-10,1.027553136442798370e-05
1.005170801805448660e-09,1.040540948952325243e-05
1.023326324169667300e-09,1.053692930760343514e-05
1.041818513636858596e-09,1.067011157781408727e-05
1.060655520763728657e-09,1.080497731921552275e-05
1.079843442232952853e-09,1.094154781265185494e-05
1.099385346842396656e-09,1.107984460235092829e-05
1.119280159169481068e-09,1.121988949730878020e-05
1.139524614280753009e-09,1.136170457820311880e-05
1.160117920777040605e-09,1.150531220927497264e-05
1.181060995180614308e-09,1.165073504055476608e-05
1.202356386805294078e-09,1.179799601130828822e-05
1.224008344209403688e-09,1.194711835377695655e-05
1.246022847343776315e-09,1.209812559690139758e-05
1.268407596860202955e-09,1.225104157001322972e-05
1.291171950759614225e-09,1.240589040647775223e-05
1.314326797118420552e-09,1.256269654726757547e-05
1.337884350019691321e-09,1.272148474444415508e-05
1.361857854015608696e-09,1.288228006452114633e-05
1.386261180439513539e-09,1.304510789167958701e-05
1.411108296648058372e-09,1.320999393080095303e-05
1.436412586783238490e-09,1.337696421027954329e-05
1.462185999873014604e-09,1.354604508457051909e-05
1.488437998008610925e-09,1.371726323642433469e-05
1.515174273912035778e-09,1.389064567875200891e-05
1.542395203521713071e-09,1.406621975605879953e-05
1.570096105580281784e-09,1.424401314901516238e-05
1.598274841680031695e-09,1.442405389224602890e-05
1.626932085779092021e-09,1.460637037997727172e-05
1.656070649480811455e-09,1.479099136948124840e-05
1.685695584176104906e-09,1.497794598581259983e-05
1.715814240923364719e-09,1.516726372651889360e-05
1.746436277194027579e-09,1.535897446630558508e-05
1.777573597958121413e-09,1.555310846163160822e-05
1.809240216729626054e-09,1.574969635520819791e-05
1.841452020114732833e-09,1.594876918036959530e-05
1.874226417083875486e-09,1.615035836527963019e-05
1.907581851594881059e-09,1.635449573693327410e-05
1.941537154301455217e-09,1.656121352490647547e-05
1.976110705857303481e-09,1.677054436480133402e-05
2.011319380737082205e-09,1.698252130132675621e-05
2.047177236502900882e-09,1.719717779094675792e-05
