Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.321885003449452769e-10,9.545311164113909157e-06
9.491214725508559121e-10,9.663261380029727009e-06
9.663323999368148283e-10,9.782669120249553013e-06
9.838250789197450366e-10,9.903552395196333485e-06
1.001603367979937525e-09,1.002592943787435396e-05
1.019671191890256160e-09,1.014981870662613659e-05
1.038032546343198468e-09,1.027523888792401345e-05
1.056691503006287496e-09,1.040220889919688889e-05
1.075652215038294684e-09,1.053074789169266544e-05
1.094918923100925092e-09,1.066087525337681424e-05
1.114495961902858919e-09,1.079261061186760512e-05
1.134387767315444301e-09,1.092597383740850445e-05
1.154598884101878331e-09,1.106098504587828118e-05
1.175133974304404673e-09,1.119766460183930396e-05
1.195997826336920465e-09,1.133603312162465434e-05
1.217195364833390549e-09,1.147611147646451015e-05
1.238731661305689991e-09,1.161792079565246812e-05
1.260611945667874656e-09,1.176148246975232598e-05
1.282841618687465442e-09,1.190681815384589641e-05
1.305426265428152943e-09,1.205394977082252556e-05
1.328371669752325405e-09,1.220289951471087179e-05
1.351683829956104555e-09,1.235368985405361192e-05
1.375368975614067104e-09,1.250634353532569356e-05
1.399433585715594920e-09,1.266088358639682789e-05
1.423884408179857768e-09,1.281733332003885662e-05
1.448728480841739893e-09,1.297571633747873327e-05
1.473973154006696623e-09,1.313605653199778986e-05
1.499626114678463401e-09,1.329837809257802053e-05
1.525695412569881666e-09,1.346270550759615666e-05
1.552189488013748266e-09,1.362906356856626489e-05
1.579117201897672224e-09,1.379747737393166807e-05
1.606487867754359242e-09,1.396797233290696978e-05
1.634311286146654465e-09,1.414057416937106012e-05
1.662597781494959657e-09,1.431530892581187690e-05
1.691358241503487469e-09,1.449220296732386579e-05
1.720604159351092481e-09,1.467128298565898659e-05
1.750347678822235701e-09,1.485257600333219889e-05
1.780601642564052172e-09,1.503610937778236404e-05
1.811379643666425181e-09,1.522191080558960357e-05
1.842696080773570176e-09,1.541000832674997121e-05
1.874566216947858414e-09,1.560043032900866342e-05
1.907006242519535293e-09,1.579320555225266110e-05
1.940033342169613228e-09,1.598836309296399003e-05
1.973665766507655702e-09,1.618593240873475380e-05
2.007922908421328042e-09,1.638594332284499787e-05
2.042825384490695884e-09,1.658842602890473817e-05
2.078395121777163171e-09,1.679341109556131277e-05
2.114655450314842739e-09,1.700092947127338159e-05
2.151631201651037523e-09,1.721101248915285465e-05
2.189348813802432195e-09,1.742369187187624329e-05
2.227836443014606693e-09,1.763899973666666057e-05
2.267124082734715666e-09,1.785696860034814145e-05
2.307243690230530774e-09,1.807763138447366152e-05
2.348229321313799114e-09,1.830102142052852820e-05
2.390117273651894511e-09,1.852717245521067231e-05
2.432826480085615467e-09,1.875611843011249617e-05
2.476230436484923423e-09,1.898789362308966964e-05
2.520338058443092693e-09,1.922253299407931216e-05
2.565158757828596834e-09,1.946007193575147046e-05
2.610702088643002445e-09,1.970054627817825898e-05
2.656977756629743180e-09,1.994399229425507060e-05
2.703995629815298367e-09,2.019044670519034966e-05
2.751765750055280264e-09,2.043994668606505203e-05
2.800298345662695652e-09,2.069252987146265291e-05
2.849603845200823145e-09,2.094823436117078985e-05
2.899692892528508940e-09,2.120709872595556087e-05
2.950576363191481466e-09,2.146916201340953148e-05
3.002265382259331253e-09,2.173446375387450406e-05
3.054771343714322152e-09,2.200304396644019170e-05
3.108105931504965166e-09,2.227494316501992111e-05
3.162281142384597174e-09,2.255020236450444899e-05
3.217309310662866928e-09,2.282886308699519956e-05
3.273203135006147435e-09,2.311096736811800746e-05
3.329975707431529162e-09,2.339655776341866716e-05
3.387640544648157844e-09,2.368567735484155252e-05
3.446211621909329323e-09,2.397836975729256362e-05
3.505703409548997652e-09,2.427467912528783053e-05
3.566130912387125054e-09,2.457465015968937692e-05
3.627509712199802227e-09,2.487832811452934945e-05
3.689856013462121983e-09,2.518575880392402916e-05
3.753186692584653087e-09,2.549698860907928871e-05
3.817519350877887266e-09,2.581206448538895539e-05
3.882872371493343347e-09,2.613103396962748970e-05
3.949264980605256247e-09,2.645394518723887664e-05
4.016717313112700882e-09,2.678084685972309184e-05
4.085250483159036466e-09,2.711178831212199915e-05
4.154886659783455614e-09,2.744681948060641788e-05
4.225649148038317934e-09,2.778599092016600290e-05
4.297562475926064842e-09,2.812935381240407891e-05
4.370652487530587242e-09,2.847695997343903138e-05
4.444946442740306166e-09,2.882886186191440240e-05
4.520473123983906191e-09,2.918511258711968016e-05
4.597262950424552118e-09,2.954576591722389963e-05
4.675348100084835442e-09,2.991087628762412125e-05
4.754762640402584670e-09,3.028049880941118308e-05
4.835542667747021127e-09,3.065468927795487097e-05
4.917726456455938962e-09,3.103350418161103101e-05
5.001354617987302279e-09,3.141700071055298916e-05
5.086470270813398829e-09,3.180523676572993770e-05
5.173119221722242829e-09,3.219827096795478563e-05
5.261350159229575271e-09,3.259616266712445787e-05
5.351214859845620707e-09,3.299897195157512343e-05
5.442768407983789405e-09,3.340675965757570684e-05
5.536069430344023627e-09,3.381958737896240678e-05
5.631180345651398708e-09,3.423751747691756271e-05
5.728167630681292494e-09,3.466061308989610852e-05
5.827102103555813827e-09,3.508893814370296068e-05
5.928059225352620127e-09,3.552255736172508138e-05
6.031119421126715177e-09,3.596153627532161832e-05
6.136368421508589636e-09,3.640594123437619373e-05
6.243897626108359553e-09,3.685583941801520513e-05
6.353648649257685491e-09,3.731129852103009565e-05
6.465200177701043335e-09,3.777238632162462334e-05
6.578542057403031711e-09,3.823917230375399883e-05
6.693698045370136060e-09,3.871172688091196307e-05
6.810692250240664968e-09,3.919012133683022752e-05
