Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.325417818424654427e-10,9.547776892339455141e-06
9.496601514040198234e-10,9.667005918101696067e-06
9.670624740297232743e-10,9.787723859661770484e-06
9.847526694586909798e-10,9.909949310014499636e-06
1.002734722324273550e-09,1.003370109436730156e-05
1.021012686629624431e-09,1.015899827304681682e-05
1.039590690648560366e-09,1.028586014444253100e-05
1.058472942284625943e-09,1.041430624798785797e-05
1.077663734923492587e-09,1.054435636717926183e-05
1.097167453816129783e-09,1.067603053263388658e-05
1.116988583032681494e-09,1.080934902518629501e-05
1.137131713029589886e-09,1.094433237902483015e-05
1.157601548875295437e-09,1.108100138486818190e-05
1.178402919182790600e-09,1.121937709318270958e-05
1.199540785800432340e-09,1.135948081744115553e-05
1.221020254315727853e-09,1.150133413742329705e-05
1.242846585430321576e-09,1.164495890255917017e-05
1.265025207268137269e-09,1.179037723531551079e-05
1.287561728682558849e-09,1.193761153462600094e-05
1.310461953632720662e-09,1.208668447936603170e-05
1.333731896703390876e-09,1.223761903187260281e-05
1.357377799847617659e-09,1.239043844151007391e-05
1.381406150436271498e-09,1.254516624828243650e-05
1.405823700703847313e-09,1.270182628649284352e-05
1.430637488685474680e-09,1.286044268845114033e-05
1.455854860745932483e-09,1.302103988823008823e-05
1.481483495807714048e-09,1.318364262547112079e-05
1.507531431391762633e-09,1.334827594924038505e-05
1.534007091591453129e-09,1.351496522193584703e-05
1.560919317107795138e-09,1.368373612324635256e-05
1.588277397481596118e-09,1.385461465416345141e-05
1.616091105666589298e-09,1.402762714104684542e-05
1.644370735096247681e-09,1.420280023974440084e-05
1.673127139406220256e-09,1.438016093976759889e-05
1.702371774984082080e-09,1.455973656852341575e-05
1.732116746528395564e-09,1.474155479560354830e-05
1.762374855809975878e-09,1.492564363713205634e-05
1.793159653839770265e-09,1.511203146017235817e-05
1.824485496659937937e-09,1.530074698719477541e-05
1.856367604987569391e-09,1.549181930060553007e-05
1.888822127954106351e-09,1.568527784733854741e-05
1.921866211197839391e-09,1.588115244351099301e-05
1.955518069582095295e-09,1.607947327914392965e-05
1.989797064827703603e-09,1.628027092294921898e-05
2.024723788365306796e-09,1.648357632718396224e-05
2.060320149730946500e-09,1.668942083257382841e-05
2.096609470847258124e-09,1.689783617330661497e-05
2.133616586552559598e-09,1.710885448209740334e-05
2.171367951761192312e-09,1.732250829532683346e-05
2.209891755660722682e-09,1.753883055825396144e-05
2.249218043375093117e-09,1.775785463030522812e-05
2.289378845547638163e-09,1.797961429044122597e-05
2.330408316324048630e-09,1.820414374260288033e-05
