Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.150638907794751602e-11,9.580572213368359078e-07
3.220193407583840755e-11,9.718194756913061294e-07
3.290982725630185748e-11,9.857413344283119038e-07
3.363057492748305985e-11,9.998306055229161055e-07
3.436733401789009328e-11,1.014158055518392590e-06
3.511965732085606332e-11,1.028671126937166432e-06
3.588790659515642288e-11,1.043368832697987180e-06
3.667332482122544263e-11,1.058298372949102658e-06
3.747467716146092463e-11,1.073461061689662341e-06
3.829190497393981586e-11,1.088856463302166515e-06
3.912769699202522932e-11,1.104429587240919921e-06
3.998155010900069469e-11,1.120226837305284790e-06
4.085346362587766928e-11,1.136274102405756628e-06
4.174390138761523162e-11,1.152574363307689854e-06
4.265386941948117652e-11,1.169101823557287013e-06
4.358431213817422786e-11,1.185833931927205136e-06
4.453601092116182936e-11,1.202769739002957385e-06
4.550968538970558773e-11,1.219963663764079808e-06
4.650625156200817344e-11,1.237492300091063060e-06
4.752401430477539287e-11,1.255193275385672445e-06
4.856530747121013605e-11,1.273106192000347230e-06
4.963423730563904615e-11,1.291307753650188514e-06
5.072804816648830248e-11,1.309790451257786139e-06
5.184854983300313352e-11,1.328557867662577571e-06
5.300032069207004453e-11,1.347617074476714292e-06
5.418202718750318907e-11,1.366931073297117717e-06
5.539375897495502029e-11,1.386496128055861311e-06
5.663394587574826228e-11,1.406316313097341849e-06
5.790835416508192443e-11,1.426435607053353023e-06
5.921957387417646141e-11,1.446864011840786997e-06
6.057001506766339306e-11,1.467548077409175724e-06
6.195378388951180868e-11,1.488538025648460045e-06
6.336847669342331911e-11,1.509857812596328347e-06
6.481743138188212007e-11,1.531508370256333502e-06
6.629917241988122815e-11,1.553465058004285053e-06
6.781284148134916949e-11,1.575710517285358348e-06
6.935625209085662808e-11,1.598259116601737224e-06
7.093242009457198149e-11,1.621112023474408458e-06
7.254425822352483394e-11,1.644268796847104276e-06
7.419315440871502275e-11,1.667783164681781966e-06
7.587821935765993340e-11,1.691661158640680012e-06
7.759746232415652473e-11,1.715913699108806876e-06
7.935669963251374830e-11,1.740493262518929882e-06
8.115458013982245517e-11,1.765404368372010764e-06
8.298637857976451190e-11,1.790653817340483461e-06
8.485763710065223296e-11,1.816292120005262491e-06
8.676968850527738560e-11,1.842317516152037475e-06
8.872363067056292691e-11,1.868690592725057202e-06
9.071819571281002922e-11,1.895421230935104286e-06
9.275416520274086622e-11,1.922532360063057244e-06
9.483577217185457338e-11,1.950142034065753034e-06
9.695925180081666788e-11,1.978081773747709455e-06
9.912389790394427558e-11,2.006315797845902776e-06
1.013326820800874051e-10,2.035073876631122028e-06
1.035869353070994579e-10,2.064230844169897597e-06
1.058879810887329696e-10,2.093734426748190247e-06
1.082385130222961174e-10,2.123707072867963048e-06
1.106366606693841392e-10,2.154117211890571833e-06
1.130810120385186101e-10,2.184946044170531221e-06
1.155733226246414067e-10,2.216203930429305647e-06
1.181159022680035986e-10,2.247920916806347588e-06
1.207114745985904138e-10,2.280135430086728101e-06
1.233608042661180133e-10,2.312797950519924585e-06
1.260613393587909926e-10,2.345917921079491032e-06
1.288073444795750052e-10,2.379514523639735291e-06
1.316087850290818752e-10,2.413530690153010998e-06
1.344669686208586420e-10,2.448015541511842579e-06
1.373825249843851809e-10,2.483108792709114507e-06
1.403529057486657164e-10,2.518715034863828158e-06
1.433771645956969014e-10,2.554804253883473313e-06
1.464510374105967072e-10,2.591281267130460005e-06
1.495864566201759695e-10,2.628331725470487509e-06
1.527869926750744202e-10,2.666000390247491072e-06
1.560513886863542700e-10,2.704198160104143949e-06
1.593696838652027118e-10,2.742908499083055018e-06
1.627386137756535861e-10,2.782128499529000610e-06
1.661793924215487914e-10,2.821966084754718683e-06
1.696819714002309609e-10,2.862391802074109900e-06
1.732409084670662615e-10,2.903393599197590115e-06
1.768629149630457124e-10,2.944924161581556981e-06
1.805513036567741900e-10,2.987052766445603418e-06
1.843101777812014422e-10,3.029849181499253272e-06
1.881239094890173069e-10,3.073203510777543096e-06
1.920024675631177473e-10,3.117172264223476686e-06
1.959610761076914342e-10,3.161838446900696160e-06
1.999799373510213304e-10,3.207102850635870737e-06
2.040607490402217900e-10,3.252989016443933347e-06
2.082076446849188413e-10,3.299547485769724367e-06
2.124303697115186971e-10,3.346776280571191388e-06
2.167271177284378598e-10,3.394686545208042389e-06
2.210867689418040425e-10,3.443294197870968982e-06
2.255159587320610136e-10,3.492607841046254128e-06
2.300164505434967760e-10,3.542628895185280484e-06
2.345912266011185468e-10,3.593323058137797828e-06
2.392380856992006164e-10,3.644743402990651318e-06
2.439527912996845216e-10,3.696914703979731030e-06
2.487137711028837929e-10,3.749852382803765805e-06
2.535057347471684836e-10,3.803532702589616591e-06
2.583171065704133228e-10,3.857949235478204233e-06
2.631550911897825705e-10,3.913163170109058126e-06
2.680322300329617633e-10,3.969182656284212399e-06
2.729592391354905690e-10,4.026020346082634820e-06
2.779288627493511556e-10,4.083695922456465840e-06
2.829541748718912062e-10,4.142195594126266168e-06
2.880497020314734459e-10,4.201500999559381670e-06
2.932264635215096256e-10,4.261629752753090560e-06
2.984954864564833903e-10,4.322614765214216333e-06
3.038711945306373041e-10,4.384508011586666516e-06
3.093754611020319586e-10,4.447262302570029893e-06
3.150241733819905722e-10,4.510905007349716542e-06
3.208413323399826253e-10,4.575502472941656834e-06
3.268500358266595551e-10,4.641010877871651619e-06
3.330489803338063149e-10,4.707435790643822589e-06
3.394044843677125068e-10,4.774789881890983410e-06
3.459148924666291312e-10,4.843130342312532719e-06
3.525823962685441850e-10,4.912484186919626209e-06
3.594213608600866792e-10,4.982869498635304643e-06
3.664319747443935952e-10,5.054232584654441655e-06
3.736171099918547496e-10,5.126559627857598358e-06
3.809737839273417384e-10,5.199913199378609425e-06
3.885171406345921279e-10,5.274335980202192821e-06
3.962585952331121953e-10,5.349864992857228126e-06
4.041901857331055415e-10,5.426466883350021848e-06
4.123201065040472890e-10,5.504160946351349437e-06
4.206559258905544005e-10,5.582963370423031608e-06
4.292002796855323315e-10,5.662893513928559973e-06
4.379604425310856147e-10,5.743967957768573235e-06
4.469448291805408273e-10,5.826207165852456350e-06
4.561512741359334545e-10,5.909573322807235664e-06
4.655865408222970264e-10,5.994120359246094175e-06
4.752590441510631480e-10,6.079954572676592322e-06
4.851717569552667346e-10,6.166976591728152606e-06
4.953314091595799062e-10,6.255221984873907577e-06
5.057457475510992528e-10,6.344811791125177818e-06
5.164232044234922011e-10,6.435657505857441679e-06
5.273693684688165100e-10,6.527768521847976590e-06
5.385830294333768027e-10,6.621221335677335209e-06
5.500699664115114333e-10,6.716028360102156528e-06
5.618358340256257527e-10,6.812203774392262763e-06
5.738839571187885285e-10,6.909722921266362769e-06
5.862226077993079138e-10,7.008612486016140942e-06
5.988592640849048446e-10,7.108895582302033411e-06
6.117987600894565376e-10,7.210640360342029279e-06
6.250432154565738118e-10,7.313863888877200716e-06
6.385956153960665422e-10,7.418588464527088359e-06
6.524612828744299365e-10,7.524842911013338075e-06
6.666431237312745630e-10,7.632625554388849679e-06
6.811438068584875629e-10,7.741933929235131356e-06
6.959641049833350292e-10,7.852741034416743377e-06
7.111073734849692104e-10,7.965113059775501251e-06
7.265758939547474897e-10,8.079149769376445882e-06
7.423729186063009344e-10,8.194810752540523824e-06
7.584998465980397886e-10,8.312118473587779872e-06
7.749551033466759464e-10,8.431104355823139279e-06
7.917348879194592785e-10,8.551787326165189202e-06
8.088385865014670988e-10,8.674204645613809743e-06
8.262623559076950073e-10,8.798445866017644173e-06
8.440021360231857937e-10,8.924399516460268379e-06
8.620547711498526920e-10,9.052079241370046344e-06
8.728699055098708173e-10,9.181593711871758744e-06
9.223771436107077406e-10,9.313352680113127954e-06
1.029514057748079764e-09,9.447548734938023487e-06
1.086672270648777515e-09,9.583158966637751871e-06
1.098701447533718805e-09,9.720258005749867202e-06
1.109086784888422219e-09,9.859292428480287001e-06
1.130482371085315577e-09,1.000040139780955840e-05
1.152367910898995211e-09,1.014352953296583391e-05
1.174308730935001723e-09,1.028873864661504594e-05
1.196294497430689128e-09,1.043606228267452462e-05
1.218749424458486602e-09,1.058548584909078450e-05
1.241975900603093685e-09,1.073700195005405293e-05
1.265808129989134092e-09,1.089066569182770527e-05
1.290068568340949397e-09,1.104655088142399785e-05
1.314777601770071740e-09,1.120469865662721588e-05
1.339922237651458374e-09,1.136511316887444225e-05
1.365398134812931993e-09,1.152780235961688453e-05
1.391246419836080415e-09,1.169280722167782957e-05
1.417830523594565355e-09,1.186017289644031854e-05
1.445453102384584651e-09,1.202993461812471693e-05
1.473691336811951081e-09,1.220212649432726325e-05
1.501898736699124728e-09,1.237678651940542781e-05
1.530096856034812118e-09,1.255394855912786794e-05
1.558930203604169211e-09,1.273365534713438820e-05
1.588822736402903264e-09,1.291595440637823798e-05
1.619512371733068634e-09,1.310087236868248148e-05
1.650733774524247184e-09,1.328842012141075946e-05
1.682523336263566326e-09,1.347863214834143321e-05
1.714860056068864742e-09,1.367155925895524894e-05
1.747593601106678190e-09,1.386724491058534005e-05
1.780802995195711652e-09,1.406572698094506081e-05
1.815011928847156970e-09,1.426706693813036799e-05
1.850623199768514076e-09,1.447132206752073844e-05
1.887000145026323702e-09,1.467850663675549164e-05
1.923231191352223076e-09,1.488862548341440352e-05
1.959402590332516095e-09,1.510172547770079669e-05
1.996437398978830834e-09,1.531787592413018031e-05
2.034891773313475447e-09,1.553713010245507184e-05
2.074379311581506934e-09,1.575952857463371802e-05
2.114522138203021126e-09,1.598512639333366913e-05
2.155378614453237532e-09,1.621397518088863186e-05
2.196927657201849510e-09,1.644610052683457264e-05
2.238977225203344570e-09,1.668153003070043628e-05
2.281656883935308782e-09,1.692031968745267512e-05
2.325658206222061104e-09,1.716252904883661267e-05
2.371468418643819884e-09,1.740821007553000022e-05
2.418215183355123957e-09,1.765740702358721521e-05
2.464723076351007100e-09,1.791016656797283048e-05
2.511177030548706342e-09,1.816654082261578502e-05
2.558794195709335277e-09,1.842657674519020350e-05
2.608241840329955324e-09,1.869031629062372968e-05
2.659000826159283572e-09,1.895782598390204172e-05
2.710580082767350426e-09,1.922918898984540180e-05
2.763069160548033247e-09,1.950446352544464224e-05
2.816444643805555081e-09,1.978368215127779986e-05
2.870470519064217764e-09,2.006688586794189277e-05
2.925342999616224464e-09,2.035413888084312397e-05
2.981925210161841840e-09,2.064549812428130083e-05
3.040768079173766265e-09,2.094101897858322616e-05
3.100747909152079969e-09,2.124076824002012548e-05
3.160435418612284338e-09,2.154481542814962034e-05
3.220148088153378283e-09,2.185321960291782288e-05
3.281403079743504869e-09,2.216604043889514313e-05
3.344949785472088816e-09,2.248334137728835714e-05
3.410134827567800622e-09,2.280518574892223101e-05
3.476365673119330770e-09,2.313163591662079977e-05
3.543772154036374953e-09,2.346275859693990694e-05
3.612318693187872963e-09,2.379861869943015684e-05
3.681716050860380708e-09,2.413927916003945570e-05
3.752248339532701055e-09,2.448481282947996405e-05
3.824963946091899594e-09,2.483530438737636975e-05
3.900455291610072217e-09,2.519083089421056298e-05
3.977336453141673681e-09,2.555144938079048316e-05
4.053945141735221757e-09,2.591721857476360068e-05
4.130763454354874910e-09,2.628821677034401798e-05
4.209589849000880893e-09,2.666451969648081372e-05
4.291215248096136421e-09,2.704619811297053909e-05
4.374864400052359792e-09,2.743333766516454307e-05
4.459867022670879538e-09,2.782603379221249159e-05
4.546396703113529042e-09,2.822436625981554283e-05
4.634404614393789961e-09,2.862839858651832820e-05
4.723557046395779749e-09,2.903819823849712939e-05
4.814234566204958339e-09,2.945385818832597948e-05
4.907637764041574044e-09,2.987548154066298713e-05
5.004356590448336217e-09,3.030316184029960603e-05
5.102787510131538455e-09,3.073696039535750489e-05
5.201114514465164449e-09,3.117693578350672848e-05
5.299993308060254512e-09,3.162318665437684916e-05
5.401439461543528108e-09,3.207583878583485006e-05
5.506233627074708188e-09,3.253499693428544702e-05
5.613511212944022859e-09,3.300073852886062766e-05
5.722560307829360273e-09,3.347314641696426271e-05
5.833595889939113603e-09,3.395232037022773852e-05
5.946561721071729114e-09,3.443834712179869658e-05
6.061103950095736752e-09,3.493131676623505638e-05
6.177688269428756867e-09,3.543133393011346679e-05
6.297589098866287849e-09,3.593850442759988310e-05
6.421336825029787081e-09,3.645292508024540739e-05
6.547233037513834057e-09,3.697471610450065089e-05
6.673463484246040117e-09,3.750400440782735974e-05
6.800822043728097729e-09,3.804088833029615840e-05
6.931382150841469711e-09,3.858544721270296330e-05
7.065838541281337700e-09,3.913778272539939618e-05
7.203322754766440041e-09,3.969801718194497920e-05
7.343162914750176940e-09,4.026626967840261223e-05
7.485600138438388141e-09,4.084265207733676082e-05
7.630569767632223265e-09,4.142729000623882616e-05
7.777732418183950411e-09,4.202030939899509965e-05
7.927603292324547277e-09,4.262182325808530322e-05
8.081407668378816446e-09,4.323194193874751388e-05
8.239557977694000495e-09,4.385078691460236335e-05
8.400478730846974069e-09,4.447849387080512882e-05
8.562592961740970605e-09,4.511520182652937029e-05
8.726728211313308250e-09,4.576103304848199891e-05
8.894741775086016426e-09,4.641609654840669094e-05
9.067159259219614192e-09,4.708051791669486547e-05
9.243252258928091842e-09,4.775444205061903411e-05
9.422505601237575321e-09,4.843801195479082149e-05
9.605151951541995633e-09,4.913136224239095088e-05
9.791135313668436577e-09,4.983464737261913876e-05
9.980202327062415465e-09,5.054802221441518067e-05
1.017282361880519802e-08,5.127161762046466328e-05
1.036996555768041267e-08,5.200555779528632009e-05
1.057187306738917484e-08,5.274998981631465167e-05
1.077745434388667162e-08,5.350508023129733095e-05
1.098570305603355006e-08,5.427099556018898248e-05
1.119727117295927523e-08,5.504788265754986365e-05
1.141340400548679399e-08,5.583588254541253370e-05
1.163439373924577433e-08,5.663515199667682360e-05
1.185985246008099912e-08,5.744585636781464306e-05
1.208955722595388578e-08,5.826815815690316751e-05
1.232368078072236478e-08,5.910222248680703115e-05
1.256223156013449489e-08,5.994823549518326603e-05
1.280516816038472751e-08,6.080637852758779427e-05
1.305271943510925862e-08,6.167681440763327473e-05
1.330522900214837092e-08,6.255970760238659209e-05
1.356275367457506332e-08,6.345524002958485301e-05
1.382528463043172272e-08,6.436358481731484823e-05
1.409288688038038053e-08,6.528491695477398580e-05
1.436563488906082639e-08,6.621942723596280515e-05
1.464348507969928042e-08,6.716731232915958095e-05
1.492642991156436928e-08,6.812875785927527677e-05
1.521478220372463645e-08,6.910397349968373001e-05
1.550884816101171337e-08,7.009318134977663437e-05
1.580864325828073215e-08,7.109657456781425043e-05
1.611429874797226897e-08,7.211431461916857546e-05
1.642613130545167095e-08,7.314658592225061233e-05
1.674383400644690435e-08,7.419362261577893336e-05
1.706664704006624977e-08,7.525566491259447644e-05
1.739449113995274036e-08,7.633292336383923338e-05
1.772926381581852973e-08,7.742560826464934035e-05
1.807266415768265873e-08,7.853393844884951568e-05
1.842362040530792022e-08,7.965813905386205488e-05
1.878007022128834270e-08,8.079843530875068316e-05
