Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.129066276926142305e-11,9.565455313288526676e-07
3.197206457739887628e-11,9.698617835856099789e-07
3.266798734605108349e-11,9.833634179904499649e-07
3.337870406746320308e-11,9.970530152113716484e-07
3.410449227447673709e-11,1.010933191687374590e-06
3.484568809330468061e-11,1.025006600371944177e-06
3.560259975360046683e-11,1.039275931218666197e-06
3.637554123262842300e-11,1.053743911697528996e-06
3.716484317204553624e-11,1.068413307791182879e-06
3.797089176732485706e-11,1.083286924926516686e-06
3.879402236451916492e-11,1.098367604869465713e-06
3.963456613848807310e-11,1.113658229750264954e-06
4.049284988372651494e-11,1.129161723526300412e-06
4.136924470145646010e-11,1.144881049519731594e-06
4.226420005627711583e-11,1.160819212033667219e-06
4.317803233938104595e-11,1.176979258127534843e-06
4.411107984551480519e-11,1.193364276983320429e-06
4.506383998583916951e-11,1.209977400067016642e-06
4.603668608669184653e-11,1.226821803170499102e-06
4.703001478936325885e-11,1.243900706561566414e-06
4.804425849628422294e-11,1.261217374861230930e-06
4.907982199612718634e-11,1.278775118195274015e-06
5.013714511673930901e-11,1.296577292100512745e-06
5.121666512476560913e-11,1.314627299890505334e-06
5.231887893208570496e-11,1.332928592824918756e-06
5.344424720025720248e-11,1.351484669142750964e-06
5.459321421465102602e-11,1.370299075944671879e-06
5.576626859844040551e-11,1.389375407655906136e-06
5.696387640511926385e-11,1.408717311628082306e-06
5.818653616777481927e-11,1.428328487313204458e-06
5.943481201432808088e-11,1.448212682085956914e-06
6.070921392398119845e-11,1.468373696436057087e-06
6.201025369834327554e-11,1.488815385840928859e-06
6.333845446522498531e-11,1.509541657100815058e-06
6.469439461335025119e-11,1.530556470258624009e-06
6.607864411973512909e-11,1.551863844379062115e-06
6.749174231015528857e-11,1.573467853159608338e-06
6.893432935221829927e-11,1.595372623821318837e-06
7.040697244044223280e-11,1.617582344590226840e-06
7.191029760632100817e-11,1.640101263463581983e-06
7.344490035884356928e-11,1.662933683490597772e-06
7.501135804057981682e-11,1.686083968733820974e-06
7.661043910592065423e-11,1.709556544756465035e-06
7.824274720740184678e-11,1.733355898444450576e-06
7.990891336588209369e-11,1.757486579178245618e-06
8.160967861624970956e-11,1.781953199640549822e-06
8.334571068839915127e-11,1.806760436713098463e-06
8.511778101467358085e-11,1.831913035317443539e-06
8.692656030795105281e-11,1.857415802013000616e-06
8.877275022853162934e-11,1.883273607997162030e-06
9.065717207011987704e-11,1.909491400265535754e-06
9.258056229288561017e-11,1.936074191885875397e-06
9.454374478600672203e-11,1.963027061316008831e-06
9.654747243440522710e-11,1.990355161536953150e-06
9.859254527686136527e-11,2.018063718092324150e-06
1.006798772827918760e-10,2.046158026798133721e-06
1.028102847266243763e-10,2.074643457826161203e-06
1.049846118831902541e-10,2.103525456545819003e-06
1.072037050072633067e-10,2.132809543984651801e-06
1.094684816687340820e-10,2.162501317804069379e-06
1.117799126149725333e-10,2.192606455540923495e-06
1.141388834249798993e-10,2.223130712675324934e-06
1.165464071816889560e-10,2.254079920929934337e-06
1.190033970765420391e-10,2.285459997761586402e-06
1.215108385451740183e-10,2.317276944321926347e-06
1.240697537680130011e-10,2.349536841450069510e-06
1.266810946967714729e-10,2.382245855619468056e-06
1.293460641250606619e-10,2.415410241046168353e-06
1.320656509091077070e-10,2.449036336595943439e-06
1.348409017637043682e-10,2.483130568309955954e-06
1.376730103286516210e-10,2.517699455866944026e-06
1.405630469685908778e-10,2.552749608118331872e-06
1.435122458113818515e-10,2.588287725497535405e-06
1.465217111930338799e-10,2.624320600660703688e-06
1.495926147645833261e-10,2.660855119475352079e-06
1.527262921240113608e-10,2.697898269283393513e-06
1.559239284243777581e-10,2.735457132360096824e-06
1.591867922526417206e-10,2.773538888594560624e-06
1.625161338208163966e-10,2.812150816927844378e-06
1.659133224400912510e-10,2.851300296642364307e-06
1.693797107893746472e-10,2.890994813130098825e-06
1.729165638042164201e-10,2.931241954800718803e-06
1.765254385260218325e-10,2.972049415550067732e-06
1.802077065769307904e-10,3.013424996251028654e-06
1.839648951479905140e-10,3.055376606061722500e-06
