Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.130331256277942881e-11,9.567809409021584772e-07
3.199131160281591530e-11,9.702180624945769522e-07
3.269393764150014627e-11,9.838433599885830146e-07
3.341142732620813607e-11,9.976595572799566006e-07
3.414416101090066604e-11,1.011669502814293958e-06
3.489253759668635294e-11,1.025876108904089446e-06
3.565697592751232954e-11,1.040282354773283017e-06
3.643791629333766902e-11,1.054891289805826815e-06
3.723581996537988336e-11,1.069706036400440525e-06
3.805079364334589880e-11,1.084729598929612277e-06
3.888298976857499452e-11,1.099964760425793000e-06
3.973282743601604341e-11,1.115414339119794993e-06
4.060074410977937558e-11,1.131081169948523210e-06
4.148719694812044150e-11,1.146968102705905509e-06
4.239266423036081300e-11,1.163078000010535774e-06
4.331764367647037462e-11,1.179413737132009503e-06
4.426224411936894191e-11,1.195978524927969578e-06
4.522667435864611472e-11,1.212775758821103577e-06
4.621143549336079583e-11,1.229808754827161824e-06
4.721705287910111490e-11,1.247080883226867287e-06
4.824407795843447291e-11,1.264595570030449516e-06
4.929309023280114164e-11,1.282356298515847162e-06
5.036465069310821616e-11,1.300366594354801796e-06
5.145876213805211959e-11,1.318629834570814421e-06
5.257580668959765493e-11,1.337149553964315616e-06
5.371636487849708610e-11,1.355929399419463881e-06
5.488104541286427862e-11,1.374973074912494317e-06
5.607048730404943056e-11,1.394284342829958764e-06
5.728536215663195590e-11,1.413867025343872138e-06
5.852608311663265810e-11,1.433725087232688825e-06
5.979271567031500333e-11,1.453862504948672561e-06
6.108587772949335830e-11,1.474283017975290176e-06
6.240623362812278818e-11,1.494990384828953173e-06
6.375447914448200283e-11,1.515988387558484910e-06
6.513134384673418515e-11,1.537280829487666833e-06
6.653748518749604656e-11,1.558871537248686966e-06
6.797290804802715070e-11,1.580764596392227577e-06
6.943820636140281555e-11,1.602964484124629531e-06
7.093415358717084338e-11,1.625475799175527172e-06
7.246156288797846312e-11,1.648303245427186219e-06
7.402129019405077006e-11,1.671451637025305967e-06
7.561418213986319568e-11,1.694925879566929982e-06
7.724030858395772390e-11,1.718730476630332662e-06
7.890021601198132559e-11,1.742869850586482410e-06
8.059475203947153979e-11,1.767348538704459406e-06
8.232480540600509360e-11,1.792171118491094052e-06
8.409130909145764135e-11,1.817342206141519037e-06
8.589517604076630649e-11,1.842866482320043492e-06
8.773650777707977445e-11,1.868749078031837155e-06
8.961595991200456901e-11,1.894995105238394240e-06
9.153449174939140456e-11,1.921609654562586606e-06
9.349310975325943282e-11,1.948597886828533774e-06
9.549287114564074147e-11,1.975965033948111837e-06
9.753469574258751455e-11,2.003716352452031838e-06
9.961863598652234745e-11,2.031857033814024359e-06
1.017455966642241205e-10,2.060392690295608734e-06
1.039166899957598111e-10,2.089329086676356128e-06
1.061330859072856781e-10,2.118672097912181681e-06
1.083960165144468447e-10,2.148427713267043750e-06
1.107061772950887169e-10,2.178601947615363674e-06
1.130638152749935260e-10,2.209200565070764303e-06
1.154701075351041917e-10,2.240229330504015568e-06
1.179263035409140742e-10,2.271694062327211421e-06
1.204337165488081680e-10,2.303600630025415875e-06
1.229936194169863045e-10,2.335954990576060065e-06
1.256061819679224522e-10,2.368763637812801594e-06
1.282723782532652322e-10,2.402033022786622743e-06
1.309935694892506980e-10,2.435769583863341642e-06
1.337711859398624897e-10,2.469979846003432617e-06
1.366067322598219357e-10,2.504670421655385482e-06
1.395008407772969719e-10,2.539847948535597240e-06
1.424540631158042092e-10,2.575519260200827421e-06
1.454679224983647567e-10,2.611691416973009309e-06
1.485440226125584892e-10,2.648371595900810969e-06
1.516840539245495872e-10,2.685567093972179652e-06
1.548891899139050824e-10,2.723285190703841708e-06
1.581597061754388021e-10,2.761533037911135591e-06
1.614971836506339233e-10,2.800318167436779785e-06
1.649033429720369959e-10,2.839648243270570777e-06
1.683799939513285643e-10,2.879531051689003497e-06
1.719285778122483937e-10,2.919974594529835152e-06
1.755493806954821190e-10,2.960986965947675439e-06
1.792440779326147991e-10,3.002575768693913145e-06
1.830145615402314636e-10,3.044748617207157057e-06
1.868628216808194638e-10,3.087513169011167175e-06
1.907904207181689656e-10,3.130877219103497697e-06
1.947976829432409623e-10,3.174849322226005814e-06
1.988865032245449774e-10,3.219438411980436125e-06
2.030590147285873598e-10,3.264653595896462579e-06
2.073174659116569931e-10,3.310504169313442940e-06
2.116634071576891413e-10,3.356999339601177440e-06
2.160973499756584954e-10,3.404147802703901445e-06
2.206214272808122433e-10,3.451958655466362570e-06
2.252379385150351173e-10,3.500441128542415427e-06
2.299493015634324928e-10,3.549604571995858362e-06
2.347565331161722511e-10,3.599458620994961576e-06
2.396607505292964429e-10,3.650013029351163695e-06
2.446645386037734310e-10,3.701277526166802425e-06
2.497706291240433085e-10,3.753261962603165389e-06
2.549817111544915861e-10,3.805976305138076516e-06
2.602983529439819278e-10,3.859430682438675792e-06
2.657225143931153420e-10,3.913635660247574466e-06
2.712568864128609667e-10,3.968602030251962185e-06
2.769042961097383230e-10,4.024340768642478119e-06
2.826667263463977030e-10,4.080863031325963277e-06
2.885450336116020131e-10,4.138179774051793671e-06
2.945420873393693232e-10,4.196301781736366780e-06
3.006609761138884692e-10,4.255239934955272486e-06
3.069211864276507333e-10,4.315005227906944211e-06
3.134880894121065478e-10,4.375609213783742164e-06
3.202307280729583081e-10,4.437063965905790655e-06
3.268999005812005152e-10,4.499381752690036604e-06
3.332103105320155995e-10,4.562575058124125157e-06
3.387566477412578581e-10,4.626656251757149105e-06
3.434882933836911760e-10,4.691637571957001672e-06
3.477201265134753095e-10,4.757531703541844537e-06
3.518187937784091140e-10,4.824351515530925665e-06
3.562070528466817910e-10,4.892110063212690721e-06
3.613690898804897139e-10,4.960820591224848126e-06
3.677581557345366228e-10,5.030496608911582712e-06
3.751162792566116630e-10,5.101151927577924826e-06
3.831027980232992740e-10,5.172799898592481863e-06
3.913718698229364792e-10,5.245453922341217418e-06
3.995576947368579580e-10,5.319127516134806035e-06
4.077977377885934728e-10,5.393834701219966322e-06
4.162026552038750076e-10,5.469590551971860441e-06
4.247767488259649308e-10,5.546410544458393989e-06
4.335244684429158624e-10,5.624310460372878220e-06
4.424474036126193591e-10,5.703305702243747099e-06
4.515484982832682653e-10,5.783411165728219769e-06
4.608323451654050545e-10,5.864641925828561778e-06
4.703037351479833465e-10,5.947013208788320471e-06
4.799645983459716977e-10,6.030541080901346448e-06
4.898179602504991180e-10,6.115241986262073651e-06
