Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.244332043852779066e-08,9.511439504284535738e-05
2.278144038070444594e-08,9.616887473328227269e-05
2.312475707779246432e-08,9.723504566974173775e-05
2.347210972474554170e-08,9.831308471115053464e-05
2.382411021648181608e-08,9.940309556606726350e-05
2.418173715864737508e-08,1.005051502852694187e-04
2.454481934794574020e-08,1.016194014695002127e-04
2.491305400010687850e-08,1.027460309597865145e-04
2.528658171590616773e-08,1.038851666784323127e-04
2.566589489909635903e-08,1.050369040951463112e-04
2.605103861826955623e-08,1.062013853808420338e-04
2.644170962942784981e-08,1.073788060210453186e-04
2.683793824226081168e-08,1.085693130746985411e-04
2.724025015643363270e-08,1.097730191121404938e-04
2.764881991068452202e-08,1.109900698961590573e-04
2.806330551213333437e-08,1.122205951035938783e-04
2.848360783694396688e-08,1.134647297761930449e-04
2.891027654238185196e-08,1.147226728039393688e-04
2.934363488640855797e-08,1.159946046038245533e-04
2.978335748925762960e-08,1.172806325334115285e-04
3.022922450028764643e-08,1.185808789691678424e-04
3.068173882559139238e-08,1.198955474928426233e-04
3.114152976930755688e-08,1.212248394162606930e-04
3.160786856025135967e-08,1.225688760785409665e-04
3.207940160742602509e-08,1.239277740474709164e-04
3.255782766748125945e-08,1.253017361179348352e-04
3.304627967922827231e-08,1.266909932649562813e-04
3.354294871668224758e-08,1.280956677026782217e-04
3.404406043799457908e-08,1.295158224165421986e-04
3.455109654872038434e-08,1.309516730799748126e-04
3.506736614691753695e-08,1.324035048357256449e-04
3.559236797557210931e-08,1.338714765526526789e-04
3.612469428839848193e-08,1.353557437709430628e-04
3.666456716708309407e-08,1.368564884428775941e-04
3.721282926341890748e-08,1.383738480430902443e-04
3.776964785912015707e-08,1.399080056979095949e-04
3.833353050572767838e-08,1.414591582047659943e-04
3.890410689846788762e-08,1.430274902803361841e-04
3.948413143952368584e-08,1.446132217654050637e-04
4.007450268002213748e-08,1.462165504351208066e-04
4.067358955144757416e-08,1.478376777065309230e-04
4.128089753014177623e-08,1.494768196130985311e-04
4.189733391410438247e-08,1.511341133978922658e-04
4.252364728609692615e-08,1.528097135627990246e-04
4.315863782169556100e-08,1.545038852851414804e-04
4.380085340944837379e-08,1.562168692507529303e-04
4.445251799317454858e-08,1.579488652815081329e-04
4.511629697082270986e-08,1.597000989850976850e-04
4.579026410242585097e-08,1.614707608790364639e-04
4.647173691555685659e-08,1.632610293914859027e-04
4.716258353500843562e-08,1.650711376459377579e-04
4.786589089930338809e-08,1.669013188813420472e-04
4.858075313284252704e-08,1.687517947175011415e-04
4.930567197702694405e-08,1.706228036755169446e-04
5.004092222484111018e-08,1.725145664047202673e-04
5.078555208740417019e-08,1.744272728157262025e-04
5.153989707422527932e-08,1.763611603112159225e-04
5.230738863597658087e-08,1.783165064301588543e-04
5.308824271716743374e-08,1.802935481034051001e-04
5.387887863088120653e-08,1.822925397932625741e-04
5.467881097207064906e-08,1.843137326911295786e-04
5.549208189435846560e-08,1.863573113967299669e-04
5.632002904649769171e-08,1.884235063915277585e-04
5.715904016411182158e-08,1.905126175071177269e-04
5.800749491017073338e-08,1.926249174273614740e-04
5.886933097748017216e-08,1.947606280899599643e-04
5.974706732948435881e-08,1.969199906375216833e-04
6.063733214134228577e-08,1.991032901108710437e-04
6.153782685539626834e-08,2.013107934190598992e-04
6.245079468744267724e-08,2.035427936770224568e-04
6.337745028871856862e-08,2.057996094294798619e-04
6.431817161834157441e-08,2.080814625235675845e-04
6.527473243755584731e-08,2.103885580382836517e-04
6.624572262632516592e-08,2.127212144788370328e-04
6.722766620097335435e-08,2.150797584531821140e-04
6.822287306808872103e-08,2.174644661826118585e-04
6.923714688735061713e-08,2.198756294741825679e-04
7.026893074257458397e-08,2.223135372571284044e-04
7.131289291715315700e-08,2.247784564121043131e-04
7.236993827230493831e-08,2.272706913348875686e-04
7.344268081009629732e-08,2.297905752993297749e-04
7.453118101871298500e-08,2.323384139060787198e-04
7.563832753627716604e-08,2.349144914808540285e-04
7.676506143763032796e-08,2.375191176692849067e-04
7.790454880136954331e-08,2.401526382277319627e-04
7.905494663217743337e-08,2.428153805214994948e-04
8.022335767153321413e-08,2.455076458332122735e-04
8.141154275011515381e-08,2.482297552081192240e-04
8.261940516675989628e-08,2.509820473772633709e-04
8.384864628634389331e-08,2.537648574093816852e-04
8.509527623906098460e-08,2.565785281198968630e-04
8.635611807012556692e-08,2.594234087347726983e-04
8.763475029517006763e-08,2.622998327967044447e-04
8.893374566154158157e-08,2.652081326246959062e-04
9.025196021580838466e-08,2.681486841780057620e-04
9.158911807298863550e-08,2.711218774969500838e-04
9.294498821800677135e-08,2.741280501817068820e-04
9.431713210154352650e-08,2.771675295440027614e-04
9.570858410054953417e-08,2.802407044667740458e-04
9.712825979176556394e-08,2.833479904650160306e-04
9.857312662766725518e-08,2.864897467483162462e-04
1.000332336117245257e-07,2.896662879242252616e-04
1.015104578396810492e-07,2.928780136340430559e-04
1.030099001116736726e-07,2.961253828315473348e-04
1.045315358927935250e-07,2.994087872824886354e-04
1.060776446290081731e-07,3.027286447275152372e-04
1.076488070087921636e-07,3.060853680959665707e-04
1.092424154858125073e-07,3.094792502361250436e-04
1.108583007165538104e-07,3.129106751932231203e-04
1.124979367111652216e-07,3.163801690436889892e-04
1.141616599169250311e-07,3.198881778053955672e-04
1.158504850188728147e-07,3.234351092563411256e-04
1.175659526544687615e-07,3.270214051620020236e-04
1.193046235780410160e-07,3.306474588511972121e-04
1.210630932858220004e-07,3.343136684449078602e-04
1.228474842686143674e-07,3.380205448442987121e-04
1.246636145978942066e-07,3.417686073206168632e-04
1.265067041272560536e-07,3.455582347396438884e-04
1.283712417434187214e-07,3.493897928760915221e-04
1.302623957143549064e-07,3.532638209614568921e-04
1.321874894557225636e-07,3.571808965614648454e-04
1.341436188470035168e-07,3.611414385054239110e-04
1.361269991773217765e-07,3.651458253104162958e-04
1.381383691084974075e-07,3.691945817439279756e-04
1.401755013910723990e-07,3.732882928135700974e-04
1.422394083277744917e-07,3.774274357348189981e-04
1.443336803544758813e-07,3.816124342506117925e-04
1.464585503653838450e-07,3.858438041788254990e-04
1.486195880174418686e-07,3.901221310925312696e-04
1.508177118854660132e-07,3.944479369340934331e-04
1.530453649857755165e-07,3.988217313372919366e-04
1.553018162208225920e-07,4.032440529381332915e-04
1.575911681089769284e-07,4.077153778041811235e-04
1.599138522981282584e-07,4.122362233854519158e-04
1.622730271337410284e-07,4.168072131720701608e-04
1.646719189726394903e-07,4.214289273274924685e-04
1.671035580320961662e-07,4.261019094316244272e-04
1.695634634187459110e-07,4.308267311083234432e-04
1.720576421818046533e-07,4.356039477363085502e-04
1.745895066022731008e-07,4.404341191886876924e-04
1.771584540362754397e-07,4.453178525758648117e-04
1.797650527753469859e-07,4.502557619287369454e-04
1.824098204551587781e-07,4.552484304419978029e-04
1.850923029455275374e-07,4.602964400296060809e-04
1.878152616473497062e-07,4.654004213873898623e-04
1.905864614212068942e-07,4.705610266271109264e-04
1.934022529949818243e-07,4.757788711478147439e-04
1.962509779536963892e-07,4.810545625903209742e-04
1.991358116444855252e-07,4.863887512068407974e-04
2.020639690365051832e-07,4.917821246602999477e-04
2.050352879433240677e-07,4.972353338218383958e-04
2.080501647054832063e-07,5.027489936023786694e-04
2.111091117413357758e-07,5.083237731770326841e-04
2.142128643853456719e-07,5.139604232664682533e-04
2.173618286486458626e-07,5.196596441269082847e-04
2.205582511135195071e-07,5.254220332531914315e-04
2.238034445845232275e-07,5.312482670212328225e-04
2.270952719276749175e-07,5.371391107104133388e-04
2.304331660851910297e-07,5.430952906913118997e-04
2.338196417667745969e-07,5.491175388190850607e-04
2.372559062050274949e-07,5.552066010696597937e-04
2.407425142800183831e-07,5.613631943931790156e-04
2.442815688982782664e-07,5.675880472411243705e-04
2.478697354158161503e-07,5.738819400695271489e-04
2.515009713073690633e-07,5.802456663121000708e-04
2.551839614305517255e-07,5.866799687032271150e-04
2.589288908542387624e-07,5.931855816463254844e-04
2.627345873799865378e-07,5.997633310285474658e-04
2.666075075670888618e-07,6.064140799342752344e-04
2.705413476448583077e-07,6.131386055771555297e-04
2.745117195450750485e-07,6.199376528989089660e-04
2.785269663351494427e-07,6.268120710033465688e-04
2.826124673420552138e-07,6.337627638391229827e-04
2.867652912929798397e-07,6.407905690536463495e-04
2.909697339266204294e-07,6.478963308545866934e-04
2.952267950196011875e-07,6.550809148542557697e-04
2.995540220546696610e-07,6.623451608800477296e-04
3.039539754942298928e-07,6.696899464106117767e-04
3.084150550834367292e-07,6.771162189265011273e-04
3.129357818823279004e-07,6.846249001213158044e-04
3.175223570983604046e-07,6.922168254348475902e-04
3.221772654449302826e-07,6.998928825270034348e-04
3.268973709445977336e-07,7.076540883730524176e-04
3.316792475328908050e-07,7.155014274218625576e-04
3.365345926072897390e-07,7.234358054629110241e-04
3.414745966564931462e-07,7.314581687832194317e-04
3.464861421152530819e-07,7.395694932739391983e-04
3.515556590300253943e-07,7.477707476459590635e-04
3.566978852726412332e-07,7.560629564888402248e-04
3.619284635374762818e-07,7.644471630924630588e-04
3.672416354856242645e-07,7.729243732813724206e-04
3.726354823809075956e-07,7.814956142112740702e-04
3.781079412075141627e-07,7.901619231346476615e-04
3.836453260543089037e-07,7.989243283153343476e-04
3.892533439388211680e-07,8.077839047730334728e-04
3.949456077218825840e-07,8.167417581238868617e-04
4.007213683736370760e-07,8.257989727615701716e-04
4.065813740733957619e-07,8.349566308904768841e-04
4.125266253783716705e-07,8.442158471452991617e-04
4.185579548752185510e-07,8.535777599125109584e-04
4.246757453461055356e-07,8.630435070840357555e-04
4.308931011123742084e-07,8.726142549024569614e-04
4.372156075537648286e-07,8.822911739073672393e-04
4.436224141917765905e-07,8.920754070300552629e-04
4.501073939896854895e-07,9.019681310201220058e-04
4.566852415802243883e-07,9.119705788788681376e-04
4.633608705140167765e-07,9.220839709778445425e-04
4.701338534558527926e-07,9.323095562776529364e-04
4.770055084862466933e-07,9.426486299992691475e-04
4.839772853784538127e-07,9.531023244035378289e-04
4.910504799492137977e-07,9.636717133683929317e-04
4.982267663388023296e-07,9.743583777312261104e-04
5.055092502746938013e-07,9.851640557178868631e-04
5.128960845890628983e-07,9.960896770330757849e-04
5.203821523225638869e-07,1.007135957632034366e-03
5.279724537585611897e-07,1.018304579734885789e-03
5.356753985669882098e-07,1.029597554712158953e-03
5.434901072745043953e-07,1.041015977069814765e-03
5.514137963342878968e-07,1.052560436242558047e-03
5.594492118157219444e-07,1.064232525590898520e-03
5.676056101702236539e-07,1.076034457270811946e-03
5.758840609179386605e-07,1.087967614261821543e-03
5.842903912788403231e-07,1.100033418534514598e-03
5.928267670465137228e-07,1.112233386476093547e-03
6.014877278425662594e-07,1.124568193018739065e-03
6.102756632386441477e-07,1.137039133992351347e-03
6.191786467389724823e-07,1.149648833618412006e-03
6.281896188250754243e-07,1.162399215090475536e-03
6.373410649084608452e-07,1.175290746718164357e-03
6.466478976524249883e-07,1.188324558040601943e-03
6.560942529258226412e-07,1.201502836054006099e-03
6.656790668198667106e-07,1.214827340434453118e-03
6.753947769941041532e-07,1.228299811284776525e-03
6.852256309982219016e-07,1.241922177592795409e-03
6.951988160403170457e-07,1.255695710522554452e-03
7.053477665146098864e-07,1.269621709896520548e-03
7.156487337528699248e-07,1.283702021658539175e-03
7.260701277040409480e-07,1.297938362815640595e-03
7.366322575732693384e-07,1.312332546176958950e-03
7.473677997571349165e-07,1.326886556158082906e-03
7.582642543989563706e-07,1.341602124045812366e-03
7.692841477021737685e-07,1.356481104221733550e-03
7.804431318495571530e-07,1.371525276581486404e-03
7.918091010869703410e-07,1.386736292230946648e-03
8.033761325195672926e-07,1.402116008799158143e-03
8.150862920642800309e-07,1.417666057588440895e-03
8.269416551929251872e-07,1.433388309760505941e-03
8.389706332688269966e-07,1.449285308181256582e-03
8.511765270746439088e-07,1.465359105339462693e-03
8.635596771165454117e-07,1.481610902789529940e-03
8.761221296342259578e-07,1.498042490720315721e-03
8.888671969741319193e-07,1.514656283571742985e-03
9.017983217619532913e-07,1.531454330834791655e-03
9.149133602001466762e-07,1.548438922207446763e-03
9.282095604277949596e-07,1.565612375486194517e-03
9.417001716753005179e-07,1.582976369082981886e-03
9.553956848459597625e-07,1.600532748609670560e-03
9.692925598063454925e-07,1.618283819316795923e-03
9.833897947663577314e-07,1.636231838967932162e-03
9.976914568192387487e-07,1.654378900072336943e-03
1.012206339406188552e-06,1.672727050589917176e-03
1.026924033810893127e-06,1.691278692274716770e-03
1.041809250576572590e-06,1.710036454027603122e-03
1.056889663026822441e-06,1.729002438244480301e-03
1.072236085695938586e-06,1.748178574612641945e-03
1.087834592678973460e-06,1.767567280555169210e-03
1.103653122783827675e-06,1.787171013936787213e-03
1.119698729140758025e-06,1.806992175291864461e-03
1.135981212107181684e-06,1.827033647939676998e-03
1.152503373642960089e-06,1.847297872190930721e-03
1.169226664149424146e-06,1.867786345098431137e-03
1.186144528373102257e-06,1.888501424523743311e-03
1.203342041109661669e-06,1.909446683971304263e-03
1.220844067639961239e-06,1.930624910111607313e-03
1.238579436150668139e-06,1.952037977902416812e-03
1.256528461548959054e-06,1.973688341949845094e-03
1.274725416489377231e-06,1.995578673699923561e-03
1.293170801330004485e-06,2.017711452326818086e-03
1.311904617948543712e-06,2.040089943621347865e-03
1.330973856663616934e-06,2.062717419839568429e-03
1.350320078586568624e-06,2.085595925504744440e-03
1.369893031035864463e-06,2.108727619260834796e-03
1.389728301039490657e-06,2.132115765182349739e-03
1.409839232073425101e-06,2.155763518190590474e-03
1.430246883352253694e-06,2.179673749383942080e-03
1.451015712799369122e-06,2.203849706207007281e-03
1.472112487937771921e-06,2.228294026214315462e-03
1.493460799618992587e-06,2.253008772485096643e-03
1.515084439829776868e-06,2.277997308733092398e-03
1.537015957651368793e-06,2.303263848645628869e-03
1.559256666715288173e-06,2.328811233037600577e-03
1.581830941514606552e-06,2.354641424996806610e-03
1.604741543793183351e-06,2.380757623621669768e-03
1.627984089270006052e-06,2.407163598103465550e-03
1.651563062503958177e-06,2.433862550050795021e-03
1.675472921047038296e-06,2.460858019686817510e-03
1.699713236111944672e-06,2.488153440442602421e-03
1.724313077178320610e-06,2.515751337343222899e-03
1.749293177182409868e-06,2.543654727481619009e-03
1.774596418215579254e-06,2.571867898677683735e-03
1.800179524755515892e-06,2.600394739888517871e-03
1.826151642574774010e-06,2.629237982395076292e-03
1.852587155133198205e-06,2.658400660607905617e-03
1.879420080688770297e-06,2.687886886442721751e-03
1.906609363769958524e-06,2.717700689387892669e-03
1.934190272723361814e-06,2.747845330478986686e-03
1.962200765542768710e-06,2.778324122042339327e-03
1.990605213471948343e-06,2.809141022706246413e-03
2.019324881681375567e-06,2.840300123059443741e-03
2.048425185139019213e-06,2.871805016894384607e-03
2.078050374526618842e-06,2.903659188844386150e-03
2.108150769983057146e-06,2.935866606042187438e-03
2.138585154087122300e-06,2.968431284498216326e-03
2.169394327469183618e-06,3.001357185481738979e-03
2.200742842024048256e-06,3.034648473659499676e-03
2.232621633057788860e-06,3.068309186819225855e-03
2.264879277108987954e-06,3.102343357459853845e-03
2.297514777735428893e-06,3.136755131837032796e-03
2.330637641448447865e-06,3.171548569087460911e-03
2.364264807061996767e-06,3.206727834788335174e-03
2.398362148672383754e-06,3.242297695145652300e-03
2.432913599411217050e-06,3.278262678494467744e-03
2.468019981647578159e-06,3.314626570886857089e-03
2.503752413639120797e-06,3.351393518092700939e-03
2.539968528425342260e-06,3.388568492525841948e-03
2.576599134801099686e-06,3.426156400024633723e-03
2.613694898531844768e-06,3.464161153152316673e-03
2.651221455088529902e-06,3.502586700451797500e-03
2.689320444054520830e-06,3.541438536024353427e-03
2.728218273850461832e-06,3.580722269708029072e-03
2.767715770796316445e-06,3.620442068520945619e-03
2.807509326936601561e-06,3.660602110983640460e-03
2.847798723388893363e-06,3.701207560355478359e-03
2.888937157756431329e-06,3.742263604920857776e-03
2.930780959194641846e-06,3.783775200713114604e-03
2.972981729275980125e-06,3.825747491180757093e-03
3.015634245742530686e-06,3.868185544923470609e-03
3.059014213952381879e-06,3.911094297066419583e-03
3.103102422761695739e-06,3.954479006659238592e-03
3.147845070574095609e-06,3.998345399947509510e-03
3.193255361364688078e-06,4.042698832090504957e-03
3.239215386156321580e-06,4.087543959905608031e-03
3.285701711026220864e-06,4.132886112399118336e-03
3.332925843385293406e-06,4.178731543872321944e-03
3.380940813106147022e-06,4.225085971848405522e-03
3.429675335112404616e-06,4.271954847386121891e-03
3.479147753249764788e-06,4.319343909030241499e-03
3.529262007839917619e-06,4.367258669233186827e-03
3.579942674123459948e-06,4.415704726415494927e-03
3.631315794711290601e-06,4.464688380783750528e-03
3.683453376573617312e-06,4.514215900655085476e-03
3.736339260363289705e-06,4.564293031029414797e-03
3.789956832074270211e-06,4.614925673765865773e-03
3.844383392994045561e-06,4.666120060229647822e-03
3.899773996720303719e-06,4.717882423492871478e-03
3.956011158730829275e-06,4.770219060116802183e-03
4.012868332295025014e-06,4.823136296078187578e-03
4.070442479732901674e-06,4.876640653830900674e-03
4.128870746709294325e-06,4.930738953381131467e-03
4.188139592537689973e-06,4.985437698585963064e-03
4.248270957794470365e-06,5.040743345492909762e-03
4.309265126213877826e-06,5.096662653359086519e-03
4.371004820910958807e-06,5.153202495014864125e-03
4.433498962009102462e-06,5.210369749658461461e-03
4.497003306081249329e-06,5.268171543818494888e-03
4.561545398798738526e-06,5.326614975185442295e-03
4.627095785173831051e-06,5.385706486203363681e-03
4.693698691248262040e-06,5.445453058681233756e-03
4.761147731750286183e-06,5.505862693947196837e-03
4.829349782952317481e-06,5.566942929764208403e-03
4.898546170031033769e-06,5.628701049629016018e-03
4.968871516423014597e-06,5.691144565783139500e-03
5.040147471883002382e-06,5.754281050600375431e-03
5.112227509781212236e-06,5.818118164024890619e-03
5.185348477794387012e-06,5.882663691318473602e-03
5.259752504585356196e-06,5.947925546831961396e-03
5.335240538749273124e-06,6.013911528366045617e-03
5.411581570267324286e-06,6.080629406041401612e-03
5.488944174164490856e-06,6.148087507623164853e-03
5.567537616633394858e-06,6.216294334196067334e-03
5.647307769531024261e-06,6.285258127294803335e-03
5.728215603733811339e-06,6.354987344456777647e-03
5.810271703329491195e-06,6.425490437990531711e-03
