Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.246017961757690472e-08,9.512742598575582413e-05
2.279991697773422924e-08,9.619008536720873004e-05
2.314469312737239535e-08,9.726461884233609503e-05
2.349492806285560169e-08,9.835119859645153370e-05
2.385049146551492430e-08,9.944993590077707299e-05
2.421100657478620449e-08,1.005609294874180494e-04
2.457687467068829622e-08,1.016843248944053626e-04
2.494942105478622914e-08,1.028202644562729558e-04
2.532816345336985792e-08,1.039688853881253963e-04
2.571059828796408574e-08,1.051303123834388640e-04
2.609731302041944894e-08,1.063046941493787825e-04
2.649180165395962464e-08,1.074922263792548263e-04
2.689392333296079774e-08,1.086930536118031320e-04
2.730026402348065432e-08,1.099073233403184447e-04
2.771069384994796865e-08,1.111351899270389930e-04
2.812886140389738928e-08,1.123767245195763964e-04
2.855540611224108061e-08,1.136320641861980087e-04
2.898760315125967659e-08,1.149014503132888177e-04
2.942492139379034376e-08,1.161850603560697241e-04
2.986886987493869478e-08,1.174829960224237291e-04
3.031996488242196853e-08,1.187953949316537762e-04
3.077742627300572186e-08,1.201224722313309158e-04
3.124070547591691974e-08,1.214644159635079834e-04
3.171137675093034859e-08,1.228213636125598295e-04
3.219084573122769500e-08,1.241934774622898471e-04
3.267709770081630989e-08,1.255809139072924547e-04
3.316806714818360436e-08,1.269838284624252628e-04
3.366653608720726041e-08,1.284024039223827457e-04
3.417571008728871851e-08,1.298368143380032342e-04
3.469286375567713289e-08,1.312872496948683568e-04
3.521451640421402138e-08,1.327539096839511538e-04
3.574299257541552264e-08,1.342369716079494036e-04
3.628114055894481026e-08,1.357366307800294083e-04
3.682832713431880446e-08,1.372530565416039679e-04
3.738489908824065435e-08,1.387863926346769776e-04
3.795029427178633692e-08,1.403368382598145817e-04
3.852132873429693498e-08,1.419045894010140675e-04
3.909891522080243867e-08,1.434898423543567124e-04
3.968592250486985604e-08,1.450928258779356867e-04
4.028224245798447503e-08,1.467137338956352383e-04
4.088893870661164310e-08,1.483527481927538242e-04
4.150614196174678127e-08,1.500100718426332239e-04
4.213054424321491835e-08,1.516859199091943194e-04
4.276188539920596871e-08,1.533805008427633926e-04
4.340398307448369725e-08,1.550940043084833282e-04
4.405761785053657680e-08,1.568266352939423906e-04
4.472031900450699468e-08,1.585786467203489166e-04
4.539136412603756569e-08,1.603502700765993712e-04
4.607346579371310767e-08,1.621416796406845563e-04
4.676817707449309255e-08,1.639530855060627546e-04
4.747215782185334799e-08,1.657847087904151784e-04
4.818329003126079170e-08,1.676367568124979303e-04
4.890531201859904395e-08,1.695095109139158084e-04
4.964092991070015373e-08,1.714032493041476235e-04
5.038733224314688871e-08,1.733181476224751941e-04
5.114202614775606730e-08,1.752543940843630287e-04
5.190784675329206365e-08,1.772122667724987280e-04
5.268797451997777020e-08,1.791920392058530837e-04
5.348014580890425182e-08,1.811939402700948421e-04
5.428140751764304514e-08,1.832182085250065270e-04
5.509360734329167436e-08,1.852650944426489010e-04
5.591909755409343873e-08,1.873348431610108650e-04
5.675745331483843949e-08,1.894277160014934337e-04
5.760859018293036205e-08,1.915439904385072699e-04
5.847272511221983358e-08,1.936839183047850193e-04
5.935018460453680907e-08,1.958477286433195331e-04
6.024097009393455122e-08,1.980356950171179107e-04
6.114381478864950239e-08,2.002481092117630709e-04
6.205898157044812637e-08,2.024852432541308922e-04
6.298729829463763387e-08,2.047473952198447490e-04
6.392883973017649481e-08,2.070348459149316724e-04
6.488652777352231484e-08,2.093478169179656195e-04
6.586109763133778510e-08,2.116865831026701176e-04
6.684833690203515610e-08,2.140515159426240066e-04
6.784748526566638918e-08,2.164429266854541877e-04
6.886127409554175460e-08,2.188610472113680519e-04
6.988996935344064963e-08,2.213061582934067011e-04
7.093562694590440388e-08,2.237785948789967276e-04
7.200018524280669827e-08,2.262786767362919818e-04
7.307964315375653602e-08,2.288066848056274243e-04
7.417117621485459165e-08,2.313629176046052942e-04
7.527950337485852717e-08,2.339477003228069088e-04
7.640847640845809184e-08,2.365613430836406399e-04
7.755411779900224348e-08,2.392042028539516493e-04
7.871301888285718395e-08,2.418766563888196264e-04
7.988789163511130793e-08,2.445789794948625127e-04
8.108070520678166530e-08,2.473114435575139648e-04
8.229137406612594207e-08,2.500744183628177283e-04
8.352084651852026583e-08,2.528682669374031225e-04
8.476883207534963789e-08,2.556933386350032644e-04
8.603451745387542885e-08,2.585500226865436934e-04
8.731850933582488130e-08,2.614386468404534462e-04
8.862160898723400464e-08,2.643594914972264708e-04
8.994406835227681699e-08,2.673129391938406643e-04
9.128696877416462699e-08,2.702994223543998212e-04
9.265037175308348880e-08,2.733192989333404327e-04
9.403324842283369095e-08,2.763728965939265332e-04
9.543591404651996345e-08,2.794605951274336999e-04
9.685944429646775514e-08,2.825828172030259784e-04
9.830406224562218185e-08,2.857399506653593912e-04
9.977079265565018101e-08,2.889323465922609586e-04
1.012601113207885168e-07,2.921603943728387151e-04
1.027709865339973133e-07,2.954245084482206153e-04
1.043033379989685913e-07,2.987250911351400267e-04
1.058583553938819387e-07,3.020625661493204811e-04
1.074363656943209244e-07,3.054373611277730674e-04
1.090383123632672387e-07,3.088498384529909393e-04
1.106650928753554210e-07,3.123003822486079308e-04
1.123157886332937882e-07,3.157894879374856310e-04
1.139905157693463335e-07,3.193176216544709616e-04
1.156883212720327802e-07,3.228852010034451939e-04
1.174064355055278867e-07,3.264926761143820957e-04
1.191509231262479096e-07,3.301404592292930817e-04
1.209296706093925126e-07,3.338289532159264823e-04
1.227363133780039295e-07,3.375586527998453309e-04
1.245631025460766101e-07,3.413300670221681835e-04
1.264148575991534617e-07,3.451436288416140472e-04
1.282968770993376197e-07,3.489997581782602562e-04
1.302080841414803473e-07,3.528989592601428169e-04
1.321489405847270880e-07,3.568417707512408737e-04
1.341187560242697701e-07,3.608286586030222658e-04
1.361121627502338634e-07,3.648600660575920134e-04
