Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.155143508427011537e-08,9.512614443518228999e-05
2.187495190745421276e-08,9.618031755035938424e-05
2.220352636693875500e-08,9.724617558031539342e-05
2.253577786411666459e-08,9.832388839840367075e-05
2.287252775145490473e-08,9.941356510565488910e-05
2.321545087519449743e-08,1.005152928133966128e-04
2.356405123302272250e-08,1.016292173700346905e-04
2.391671391219110183e-08,1.027555010276743063e-04
2.427383093776395831e-08,1.038942723722899563e-04
2.463727227074545066e-08,1.050456053693677068e-04
2.500701923513200805e-08,1.062096419513095734e-04
2.538138032272783080e-08,1.073866330090200163e-04
2.576027901953777444e-08,1.085767283749900679e-04
2.614497817628538682e-08,1.097800358430059680e-04
2.653572278536487325e-08,1.109967090909958062e-04
2.693208654911834741e-08,1.122268263521332518e-04
2.733384304133448126e-08,1.134705035249852664e-04
2.774216346655178928e-08,1.147279717635151165e-04
2.815794330745285749e-08,1.159994213748691727e-04
2.857958746027782516e-08,1.172849549347402751e-04
2.900605234842560177e-08,1.185846940472263221e-04
2.943847358368386644e-08,1.198988416069878048e-04
2.987747779226587474e-08,1.212275936422722720e-04
3.032305414573107587e-08,1.225710870830002373e-04
3.077553350824237731e-08,1.239294677273748962e-04
3.123476929603501464e-08,1.253029074385879360e-04
3.170036278345948056e-08,1.266915829711638935e-04
3.217277745047950899e-08,1.280956471810093848e-04
3.265316232368546824e-08,1.295152163707539918e-04
3.314108587091694312e-08,1.309504882071230419e-04
3.363467170122860739e-08,1.324017231023794691e-04
3.413451320725288300e-08,1.338690818225012503e-04
3.464380237446461580e-08,1.353526894788686257e-04
3.516241463394021707e-08,1.368527299216744505e-04
3.568635062145481713e-08,1.383693985899807398e-04
3.621533401095449608e-08,1.399028808670025117e-04
3.675421227373761702e-08,1.414533409779544651e-04
3.730414906785690020e-08,1.430209602721380611e-04
3.786055964070262898e-08,1.446059622642986134e-04
3.842197338150844325e-08,1.462085493744657530e-04
3.899202376568975289e-08,1.478288978236301336e-04
3.957205127583736946e-08,1.494671975963294869e-04
4.016106454012155567e-08,1.511236570945956369e-04
4.075899390114177818e-08,1.527984850858898284e-04
4.136571397356963667e-08,1.544918714914784920e-04
4.198088229426361930e-08,1.562040039945928346e-04
4.260510584654573165e-08,1.579351159822233624e-04
4.323906779518956030e-08,1.596854473781742065e-04
4.388247667907790261e-08,1.614551952593155980e-04
4.453513195778192955e-08,1.632445679072262615e-04
4.519697783473768196e-08,1.650537735649614294e-04
4.586699141125886478e-08,1.668829925174128534e-04
4.654605549319732109e-08,1.687324620894613638e-04
4.723719372339066787e-08,1.706024452995649396e-04
4.793994078553331134e-08,1.724931625438170732e-04
4.865242163673420415e-08,1.744048309453353183e-04
4.937493558310413097e-08,1.763376839857590250e-04
5.010862820969165123e-08,1.782919714125443618e-04
5.085372783530828638e-08,1.802679316733513831e-04
5.160824387281528947e-08,1.822657921768745305e-04
5.237177408436478079e-08,1.842857951842912043e-04
5.314695498720183006e-08,1.863281815784076465e-04
5.393422686185048932e-08,1.883931954554189095e-04
5.473452515582520120e-08,1.904811025447605193e-04
5.554930666262977339e-08,1.925921629285436512e-04
5.637496913501903730e-08,1.947266255127973395e-04
5.720911896561161494e-08,1.968847540257297201e-04
5.805464390589555779e-08,1.990667884266376919e-04
5.891273164032713274e-08,2.012729589107221820e-04
5.978420586033199022e-08,2.035035847732673318e-04
6.067144612376068969e-08,2.057590044680366107e-04
6.157227310432150560e-08,2.080394360506081155e-04
6.248330536893324601e-08,2.103450773320386874e-04
