Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.190241311342337532e-08,9.513838197776266223e-05
2.223134584474311922e-08,9.619269338070378177e-05
2.256521943095842327e-08,9.725869032209897289e-05
2.290381483618056402e-08,9.833654715268756654e-05
2.324735120724363958e-08,9.942636822776805376e-05
2.359623867630002805e-08,1.005282254482329552e-04
2.395042625760946981e-08,1.016422710178648751e-04
2.430965427696358370e-08,1.027686869426104501e-04
2.467405358990740424e-08,1.039076009242540893e-04
2.504408036378489618e-08,1.050591056794800306e-04
2.541978220882252184e-08,1.062233428675875686e-04
2.580094029469132660e-08,1.074005063978160634e-04
2.618763751081940121e-08,1.085907416360422671e-04
2.657941823837250522e-08,1.097941880571006801e-04
2.697597005148173264e-08,1.110109991076312184e-04
2.737963170547177764e-08,1.122412750596199222e-04
2.779161760051571618e-08,1.134851439731859684e-04
2.820887061910022548e-08,1.147428086138121598e-04
2.862963201498262393e-08,1.160144496237898914e-04
2.905716806508084411e-08,1.173001747169689929e-04
2.949389554327060933e-08,1.186001112345704602e-04
2.993693058571200973e-08,1.199144437893258488e-04
3.038372838511664718e-08,1.212433403823723847e-04
3.083666717071794519e-08,1.225869745113500559e-04
3.129805669391376713e-08,1.239455370673970180e-04
3.176682939972887440e-08,1.253191752425131386e-04
3.224201151140403518e-08,1.267080425353076672e-04
3.272410419795312424e-08,1.281122981343966690e-04
3.321369199261347888e-08,1.295320587628140787e-04
3.371069452701378664e-08,1.309675219763561894e-04
3.421475474601739276e-08,1.324189483150179617e-04
3.472606713669698373e-08,1.338864984176696025e-04
3.524536883996048068e-08,1.353702975226448401e-04
3.577269150950678483e-08,1.368705293502112976e-04
3.630662743770623989e-08,1.383873876439847437e-04
3.684710616543457374e-08,1.399210562434800788e-04
3.739596622007722059e-08,1.414717266171112075e-04
3.795339999604406917e-08,1.430395875154456332e-04
3.852017727129894579e-08,1.446248336895020257e-04
3.909714494859354978e-08,1.462276660788946168e-04
3.968160013216025032e-08,1.478482409789560396e-04
4.027195447069038225e-08,1.494867273642157583e-04
4.087137855583212946e-08,1.511433822034758041e-04
4.148201478516465987e-08,1.528184457807794906e-04
4.210150506328242683e-08,1.545120777162002428e-04
4.272780254469879097e-08,1.562244494843065734e-04
4.336324500761733877e-08,1.579558007258924260e-04
4.401038703903012277e-08,1.597063714030707519e-04
4.466768355059979286e-08,1.614763585298143139e-04
4.533328002540295776e-08,1.632659704727947123e-04
4.600809167531375602e-08,1.650754153700870273e-04
4.669294097368003704e-08,1.669048697695932619e-04
4.738799867032529106e-08,1.687545770916737008e-04
4.809461804658958368e-08,1.706248321591453552e-04
4.881249714274091053e-08,1.725158454593320309e-04
4.953897348302630106e-08,1.744277768095039852e-04
5.027443064332507252e-08,1.763608638586442573e-04
5.102270159621261512e-08,1.783153842922817153e-04
5.178412854185638318e-08,1.802915738827322821e-04
5.255524264582489042e-08,1.822897149677602641e-04
5.333560989429358701e-08,1.843100693268060982e-04
5.412735453391095186e-08,1.863527658154516152e-04
5.493064421291023108e-08,1.884180111093283934e-04
5.574710095979269456e-08,1.905061608762477433e-04
5.657823556779795913e-08,1.926175072792385152e-04
5.742097025189608300e-08,1.947522623310926344e-04
5.827343600303657517e-08,1.969106718700861609e-04
5.913785078307679983e-08,1.990930005758358872e-04
6.001500286445791619e-08,2.012995059475044038e-04
6.090586435521418445e-08,2.035304688427482596e-04
6.181279378128299663e-08,2.057861790929263728e-04
6.273363453595707346e-08,2.080668931675857592e-04
6.366502718725287220e-08,2.103728576379118175e-04
6.460874850822072667e-08,2.127043758568891523e-04
6.556681899836461690e-08,2.150617819908057747e-04
6.653909276789930510e-08,2.174453401578246804e-04
6.752628749193713568e-08,2.198552832812094454e-04
6.852839842073265128e-08,2.222919157814302925e-04
6.954471703171545215e-08,2.247555628574748876e-04
7.057550727957445519e-08,2.272465211842203598e-04
7.162137929454149474e-08,2.297650906532735908e-04
7.268242799597250993e-08,2.323115772010189066e-04
7.376154092641436834e-08,2.348862964146379659e-04
7.485988972261340690e-08,2.374895645832709383e-04
7.597087881865708540e-08,2.401216701283822154e-04
7.709230267466921693e-08,2.427829214553541655e-04
7.823107550286105572e-08,2.454736766688452097e-04
7.938921529798361939e-08,2.481942724176897271e-04
8.056649515545159316e-08,2.509450373226583954e-04
8.176463129726006137e-08,2.537263181539986057e-04
8.297993481144478324e-08,2.565384172747200422e-04
8.420963941852796414e-08,2.593816414922057523e-04
8.545538426412904967e-08,2.622563699695422976e-04
8.671625010978546299e-08,2.651629713223091988e-04
8.799597905211432995e-08,2.681018062474551105e-04
8.930245529025003775e-08,2.710732741053549890e-04
9.063047375415618840e-08,2.740776945704560667e-04
9.197007161976863593e-08,2.771153335662212267e-04
9.332548666145137657e-08,2.801866085402455694e-04
9.470475384605093566e-08,2.832920226696020735e-04
9.610655006463696219e-08,2.864319137207482291e-04
9.752849630122863048e-08,2.896065063553839784e-04
9.897114911455259465e-08,2.928162052488737744e-04
1.004357879179585977e-07,2.960615314823007932e-04
1.019227080257982993e-07,2.993428779283617037e-04
1.034310438314174502e-07,3.026606263009407483e-04
1.049611331890725789e-07,3.060151886641263985e-04
1.065113357977922792e-07,3.094068896308878628e-04
1.080806254639142572e-07,3.128361137297937418e-04
1.096747070322457538e-07,3.163033561417591334e-04
1.112958820457975378e-07,3.198090598846755608e-04
1.129420101116136933e-07,3.233536352850410094e-04
1.146136192077064853e-07,3.269375175236083494e-04
1.163080635743648245e-07,3.305611223885945881e-04
1.180217191637130286e-07,3.342248644868627818e-04
1.197602402275802618e-07,3.379292267107156266e-04
1.215297699518894979e-07,3.416747078857271767e-04
1.233259063675049693e-07,3.454617127131855928e-04
1.251429010643967213e-07,3.492906323506049689e-04
1.269853642571223490e-07,3.531619703648600814e-04
1.288608406589044219e-07,3.570762479891054957e-04
1.307668749437434255e-07,3.610339242018359624e-04
1.326994911346056819e-07,3.650354613171288018e-04
1.346594281866696296e-07,3.690813491046712226e-04
1.366445266533728050e-07,3.731720822357063199e-04
1.386554976449907303e-07,3.773081579429572968e-04
1.406962260390819453e-07,3.814900883739161036e-04
1.427668850884518691e-07,3.857183814786696802e-04
1.448696746910900870e-07,3.899935624056846770e-04
1.470052934129385832e-07,3.943161553216458144e-04
1.491722050629500425e-07,3.986866441892605666e-04
1.513701143858050595e-07,4.031055467707157910e-04
1.536026559304306151e-07,4.075734462718119807e-04
1.558726120686135376e-07,4.120909047966719863e-04
1.581732024397102757e-07,4.166584312835935628e-04
1.605005719983540015e-07,4.212765555569924960e-04
1.628605625809388349e-07,4.259458817964207147e-04
1.652561815291001917e-07,4.306670141404528350e-04
1.676868717078435368e-07,4.354404797402309851e-04
1.701531133276949331e-07,4.402668176724570080e-04
1.726554474441650591e-07,4.451466388640512844e-04
1.751944820775888815e-07,4.500805480240325129e-04
1.777706758690995284e-07,4.550691508951690842e-04
1.803836374168277878e-07,4.601130818979520744e-04
1.830356397908567025e-07,4.652129413132824248e-04
1.857344275256005944e-07,4.703693256604425102e-04
1.884774048015084044e-07,4.755828664445493556e-04
1.912527250554603627e-07,4.808542007918341289e-04
1.940626343010089912e-07,4.861839693239740638e-04
1.969145591680892697e-07,4.915728277877352923e-04
1.998086333757897982e-07,4.970214308600753167e-04
2.027451237257594313e-07,5.025304252110421050e-04
2.057245316209763346e-07,5.081004784429770131e-04
2.087476097737555135e-07,5.137322789687621873e-04
2.118148911163520152e-07,5.194265102026568394e-04
2.149272260748757293e-07,5.251838806201861772e-04
2.180861769469347805e-07,5.310051059606489760e-04
2.212875027331970754e-07,5.368908374537371530e-04
2.245271152484468366e-07,5.428417512594078346e-04
2.278157373556708605e-07,5.488586383069350271e-04
2.311594264884533238e-07,5.549422663648314507e-04
2.345577648189163429e-07,5.610933591298226985e-04
2.380171778394598506e-07,5.673126752055046183e-04
2.415261944931289539e-07,5.736009410820438461e-04
2.450657334878417337e-07,5.799588791196230112e-04
2.486499251144987232e-07,5.863872769052061841e-04
2.522978000536891465e-07,5.928869119024946389e-04
2.560037314373232671e-07,5.994585901014182292e-04
