Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.182889911522872501e-08,9.515926698767025488e-05
2.216040589995391935e-08,9.622558460644281206e-05
2.249684728147289683e-08,9.730385479041959887e-05
2.283812983563274787e-08,9.839425693807234705e-05
2.318446955207425561e-08,9.949689365508256262e-05
2.353637643037476758e-08,1.006118364586635261e-04
2.389357167490164900e-08,1.017392551379660211e-04
2.425503039047369927e-08,1.028793623722179686e-04
2.462130753741429197e-08,1.040322704811168025e-04
2.499427855497536628e-08,1.051980273790229631e-04
2.537358369201591781e-08,1.063767988699245570e-04
2.575743487199881953e-08,1.075688109000886515e-04
2.614613810073658516e-08,1.087742065292250361e-04
2.654171553037048280e-08,1.099931638016202461e-04
2.694420951553901649e-08,1.112258356239133328e-04
2.735247012436703518e-08,1.124722619503808505e-04
2.776651314805662442e-08,1.137325877106689509e-04
2.818702369749249014e-08,1.150070603593048263e-04
2.861425295370395040e-08,1.162958518822039626e-04
2.904709131828122718e-08,1.175990644981947863e-04
2.948521761412438908e-08,1.189168425404399609e-04
2.992978670204656445e-08,1.202494052364253148e-04
3.038094996341626632e-08,1.215969370591685878e-04
3.083958435610333484e-08,1.229595763181759211e-04
3.130659698235575208e-08,1.243374835774889778e-04
3.178022293394654334e-08,1.257308365005660304e-04
3.225914441964593420e-08,1.271398196687997567e-04
3.274545702597086048e-08,1.285645720521218021e-04
3.324091636163135251e-08,1.300052254241204370e-04
3.374374971625872022e-08,1.314620234430269481e-04
3.425217656892233599e-08,1.329352058457322107e-04
3.476807382144443677e-08,1.344249244670469266e-04
3.529368483043565109e-08,1.359313569247853242e-04
3.582749742187897041e-08,1.374546742133956863e-04
3.636746035431403906e-08,1.389950262424139696e-04
3.691473952214068489e-08,1.405526169644157595e-04
3.747084769357499495e-08,1.421276335741933296e-04
3.803543222052260072e-08,1.437202945403382858e-04
3.860790771190835287e-08,1.453308950329674110e-04
3.918880138556125862e-08,1.469595951433298004e-04
3.978010505647813851e-08,1.486064616699116301e-04
4.038140025182245635e-08,1.502717271881769145e-04
4.099000881411443551e-08,1.519557000863191619e-04
4.160631733889523581e-08,1.536585789333881115e-04
4.223188131220051116e-08,1.553805209224578860e-04
4.286675479769889990e-08,1.571217410098411091e-04
4.351270568093812017e-08,1.588824977448240368e-04
4.417019525217143976e-08,1.606630128514890141e-04
4.483496373602694579e-08,1.624634894912607903e-04
4.550602455776146649e-08,1.642841541518507364e-04
4.618932096653704753e-08,1.661251954163039197e-04
4.688668555943084143e-08,1.679868237075656846e-04
4.759361089412597136e-08,1.698693375974579737e-04
4.830899554592771084e-08,1.717730011791008811e-04
4.903387196257940103e-08,1.736979831722572311e-04
4.976755114397376860e-08,1.756444898794257625e-04
5.051365195505507504e-08,1.776128086812651333e-04
5.127533528460748260e-08,1.796031998105942530e-04
5.204849283133501329e-08,1.816159134266506303e-04
5.283025341702566859e-08,1.836512157022629705e-04
5.362313384696355261e-08,1.857093341913568728e-04
5.442879724288914146e-08,1.877904992272697829e-04
5.524651786886610808e-08,1.898949858888048881e-04
5.607613322484156533e-08,1.920230736231525381e-04
5.691745850383448668e-08,1.941750074523661610e-04
5.776892311824500330e-08,1.963510189080409495e-04
5.863278372093912284e-08,1.985514036210062636e-04
5.951472675246548987e-08,2.007764799365083176e-04
6.041193379264205705e-08,2.030265118974737678e-04
6.131698218564738077e-08,2.053017772400042009e-04
6.223271894585487326e-08,2.076025491790328247e-04
6.316750651154802047e-08,2.099290515847334487e-04
6.411962461494961920e-08,2.122815895537254823e-04
6.508100976968230064e-08,2.146605370515188244e-04
6.605271446271040607e-08,2.170661819292345879e-04
6.704110477784918009e-08,2.194987889024207302e-04
6.804622533485672265e-08,2.219586615711132045e-04
6.906683160014503942e-08,2.244461069638728436e-04
7.010326590069507609e-08,2.269614342261234259e-04
7.115292758120121417e-08,2.295049575641314524e-04
7.221514394123851339e-08,2.320769981817632707e-04
7.329462448760294153e-08,2.346778248625223918e-04
7.439261001778014595e-08,2.373077331533958185e-04
7.550762319681857326e-08,2.399671599641257686e-04
7.664011096595238144e-08,2.426564861489690923e-04
7.778781666904812663e-08,2.453759368544278447e-04
7.894923231226108713e-08,2.481257990337795987e-04
8.012723020008584549e-08,2.509064820962796853e-04
8.132235430585353102e-08,2.537183637527574607e-04
8.253721432386584183e-08,2.565617658997942549e-04
8.377568488314929432e-08,2.594370337242335326e-04
8.503294542198261954e-08,2.623445181218464462e-04
8.630462295776998110e-08,2.652845565916407949e-04
8.759338239167527919e-08,2.682575522706994310e-04
8.889993954400690943e-08,2.712639329210257992e-04
9.022605570724755432e-08,2.743040272459327318e-04
9.157645680123809642e-08,2.773781515951443148e-04
9.294827872604736235e-08,2.804867162977028850e-04
9.433602066949895581e-08,2.836301458270288852e-04
9.574199040329212082e-08,2.868088130113791352e-04
9.716947935187629829e-08,2.900230741139852783e-04
9.861818375608484139e-08,2.932733420875613308e-04
1.000880016601720061e-07,2.965600619867553214e-04
1.015796474994154204e-07,2.998836356274533696e-04
1.030975375669005193e-07,3.032444670494446773e-04
1.046413718425667009e-07,3.066429730495909712e-04
1.062041234902009808e-07,3.100795417043368204e-04
1.077861330594452512e-07,3.135545994890567715e-04
1.093918889586867874e-07,3.170686268315578448e-04
1.110217626691515384e-07,3.206220628012105829e-04
1.126756350564933872e-07,3.242153407321681597e-04
1.143533843789882775e-07,3.278489103083288749e-04
1.160593744493210418e-07,3.315231958582128577e-04
1.177959672744430333e-07,3.352386445039482214e-04
1.195558076200895041e-07,3.389957440463363999e-04
1.213362615008080605e-07,3.427949718894313449e-04
1.231424322703872738e-07,3.466367766451347522e-04
1.249760574828913278e-07,3.505216215594712781e-04
1.268368623748268114e-07,3.544500154842983287e-04
1.287250196315773048e-07,3.584224689583847710e-04
1.306416202859736862e-07,3.624394365156391636e-04
