Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.163585862318631981e-08,9.518526881414300081e-05
2.196519231434035240e-08,9.625399574830869243e-05
2.229935190415073743e-08,9.733472674023282566e-05
2.263733556496052065e-08,9.842763560128873492e-05
2.298022319491972434e-08,9.953283032110041783e-05
2.333036813123267664e-08,1.006503968963392740e-04
2.368656322995326415e-08,1.017804975826354727e-04
2.404600616696333381e-08,1.029233170459388090e-04
2.440976224621835790e-08,1.040789798543475647e-04
2.478023637494145021e-08,1.052475787302146744e-04
2.515702213286525585e-08,1.064292734954946641e-04
2.553913282360695770e-08,1.076242635248367025e-04
2.592677909148892217e-08,1.088326926802329192e-04
2.632057499705820636e-08,1.100547110883475882e-04
2.672054348371716794e-08,1.112904707755964169e-04
2.712554303751671455e-08,1.125400714517218618e-04
2.753556089435615977e-08,1.138036661968672923e-04
2.795247163463251621e-08,1.150814706896503874e-04
2.837652360463953721e-08,1.163736518180252599e-04
2.880716965332548092e-08,1.176803141269122514e-04
2.924457237962530488e-08,1.190016030537698928e-04
2.968774689861014923e-08,1.203377675701634587e-04
3.013617773288337219e-08,1.216890054017999044e-04
3.059199131258160814e-08,1.230554007297745655e-04
3.105626298579353504e-08,1.244370942857053297e-04
3.152699799370493819e-08,1.258342978939227066e-04
3.200305667596525680e-08,1.272471959380042756e-04
3.248661650035737860e-08,1.286759639689142101e-04
3.297905314725853810e-08,1.301207831493485473e-04
3.347913433921852511e-08,1.315818327085970353e-04
3.398640330770214527e-08,1.330592997697652320e-04
3.450080030771293634e-08,1.345533547519800542e-04
3.502155278572355473e-08,1.360641626641065805e-04
3.555008579251120462e-08,1.375919367355892475e-04
3.608850800346724509e-08,1.391369032483869646e-04
3.663532771707934444e-08,1.406992235502728459e-04
3.718851591799387085e-08,1.422790469684702755e-04
3.774917869018595049e-08,1.438765937429482562e-04
3.831833800613312862e-08,1.454920901379838508e-04
3.889623195206144328e-08,1.471257341960685637e-04
3.948453046642769371e-08,1.487777424585015010e-04
4.008254942699283001e-08,1.504483148747637344e-04
4.068755976536692920e-08,1.521376424520290730e-04
4.130045290138872344e-08,1.538459361037054578e-04
4.192445777723558166e-08,1.555733889548846266e-04
4.255919350794265237e-08,1.573202206475547433e-04
4.320176225657197956e-08,1.590866893948256102e-04
4.385242007140109499e-08,1.608730134829270851e-04
4.451293587795277864e-08,1.626793974403016358e-04
4.518340681014791691e-08,1.645060670169868494e-04
4.586422252994539341e-08,1.663532376409789144e-04
4.655558962381016727e-08,1.682211353230595894e-04
4.725703466257781346e-08,1.701100336312620371e-04
4.796854959441287766e-08,1.720201824272422268e-04
4.869063101775766908e-08,1.739517520372324978e-04
4.942320719685790990e-08,1.759049610510923605e-04
5.016800413222769049e-08,1.778801003354015247e-04
5.092635011075920735e-08,1.798774206103010635e-04
5.169526620863108987e-08,1.818972012513331543e-04
5.247323916874617790e-08,1.839397302397960019e-04
5.326238723299278208e-08,1.860051829199152907e-04
5.406355006364429118e-08,1.880937584772326434e-04
5.487687751768636688e-08,1.902057869846779587e-04
5.570294211189637489e-08,1.923415795899880440e-04
5.654134271278878625e-08,1.945013651736745295e-04
5.739167273520306175e-08,1.966853917766116862e-04
5.825450165480231813e-08,1.988939362496072282e-04
5.913022794894289274e-08,2.011272606328905416e-04
6.001914172873416682e-08,2.033856665108741259e-04
6.092194838798611939e-08,2.056694881194212241e-04
6.183841212926387156e-08,2.079789681482655699e-04
6.276793844827583899e-08,2.103143090754659239e-04
6.371100611085996575e-08,2.126758418039464071e-04
6.466826966704887853e-08,2.150639339976251015e-04
6.563982121835672604e-08,2.174788693443574137e-04
6.662583117139300039e-08,2.199209516317172702e-04
6.762655268417617585e-08,2.223904782950120390e-04
6.864279549180969495e-08,2.248876962643697850e-04
6.967463371180086723e-08,2.274129263559807447e-04
7.072150467736372826e-08,2.299665461473555711e-04
7.178359009942023850e-08,2.325488706451984435e-04
7.285940153074057737e-08,2.351601653479795759e-04
7.394885061640130210e-08,2.378007535592263101e-04
7.505803396116555149e-08,2.404709964556726745e-04
7.618817136694523943e-08,2.431712280970618886e-04
7.733295615068935258e-08,2.459017885521910221e-04
7.849120898039991071e-08,2.486630189630030844e-04
7.966747924026143657e-08,2.514552667623065640e-04
8.086330091559322723e-08,2.542788806271936513e-04
8.207548166177329896e-08,2.571342183207597537e-04
8.330240105425410059e-08,2.600216468340836736e-04
8.454861122608434659e-08,2.629414863826713775e-04
8.581640992847656171e-08,2.658940701741525393e-04
8.710407622193144137e-08,2.688798242237787719e-04
8.841193135343112694e-08,2.718991712518072025e-04
8.973799178045909546e-08,2.749524074014221878e-04
9.107980589577626522e-08,2.780398334593153428e-04
9.244031908701341002e-08,2.811619309256025421e-04
9.382125400941347260e-08,2.843191868405942654e-04
9.522359871815286469e-08,2.875119175689061154e-04
9.664986616393954650e-08,2.907404454860282729e-04
9.809900462836174214e-08,2.940052130320707858e-04
9.957061010613674890e-08,2.973066530222751459e-04
1.010638486284330024e-07,3.006451849499046673e-04
1.025749988154069833e-07,3.040212816070818054e-04
1.041060987305729223e-07,3.074353219198028807e-04
