Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.133149061984330366e-08,9.516424119680808990e-05
2.165302702515383855e-08,9.622340657346439277e-05
2.197931163876482137e-08,9.729436242285775045e-05
2.231083857194914265e-08,9.837728128820419241e-05
2.264729179271676862e-08,9.947227054385701021e-05
2.298769802602044529e-08,1.005794130062628839e-04
2.333263574824147034e-08,1.016988610558920480e-04
2.368378905198295900e-08,1.028307873369317655e-04
2.404088125175015474e-08,1.039753206048313453e-04
2.440297258658131868e-08,1.051325584821718811e-04
2.477023539694852250e-08,1.063026478598411183e-04
2.514325307667437212e-08,1.074857824794320162e-04
2.552210702751575233e-08,1.086821064929274734e-04
2.590580742280301564e-08,1.098917923997689108e-04
2.629425432615759873e-08,1.111150009209095304e-04
2.668842606703927688e-08,1.123517745382040904e-04
2.708838156159048035e-08,1.136022361104226368e-04
2.749501791923983371e-08,1.148666259949107280e-04
2.790900741102093859e-08,1.161451226865128249e-04
2.832867246309594735e-08,1.174378521211284266e-04
2.875301748031975533e-08,1.187449657105739268e-04
2.918399706377787269e-08,1.200666250054551040e-04
2.962303359721009260e-08,1.214029836004127484e-04
3.006847389137272343e-08,1.227542279554920586e-04
3.051904723633685847e-08,1.241205535980227268e-04
3.097585950861917445e-08,1.255020900025497030e-04
3.143949180746901320e-08,1.268989630619408407e-04
3.191031633714296295e-08,1.283113723176524149e-04
3.238964919229212082e-08,1.297395228424296420e-04
3.287657468750259029e-08,1.311835717783798997e-04
3.336918515677648975e-08,1.326436633455135795e-04
3.386827164926618558e-08,1.341199980168866974e-04
3.437484908885156904e-08,1.356128199408781489e-04
3.488902667358848288e-08,1.371222948936157583e-04
3.541227252219231176e-08,1.386485643421529561e-04
3.594438518257188467e-08,1.401918166632099168e-04
3.648290022890828270e-08,1.417521872302973543e-04
3.702801222539232691e-08,1.433298682305957723e-04
3.758261948887680560e-08,1.449251764656485299e-04
3.814707743395981295e-08,1.465383185563354294e-04
3.871878146859559073e-08,1.481693816245753623e-04
3.929735235925574086e-08,1.498185457342363330e-04
3.988443068658828378e-08,1.514860861732559151e-04
4.048032932394739813e-08,1.531722286564950273e-04
4.108527444172272052e-08,1.548771297455695548e-04
4.169958692768320576e-08,1.566009763168785371e-04
4.232290521294626738e-08,1.583440182779940141e-04
4.295504748243374444e-08,1.601064889448001495e-04
4.359647129876873349e-08,1.618885853072263032e-04
4.424713670128778918e-08,1.636905197547097301e-04
4.490807699215227506e-08,1.655125091063784843e-04
4.558102981906709800e-08,1.673547668166703120e-04
4.626424095509760948e-08,1.692175265043714487e-04
4.695554440032972817e-08,1.711010259704054870e-04
4.765583382435774596e-08,1.730054894750391963e-04
4.836481833887945743e-08,1.749311399007590507e-04
4.908384035516847846e-08,1.768782193031614286e-04
4.981752715758544520e-08,1.788469770244968985e-04
5.056436294996689067e-08,1.808376550518565515e-04
5.131999081784741699e-08,1.828505151895756515e-04
5.208516071908253012e-08,1.848857987140211940e-04
5.286012344615328457e-08,1.869437194752310901e-04
5.364509571264832015e-08,1.890245323454515321e-04
5.444529729937949473e-08,1.911285089881126339e-04
5.526120229364914312e-08,1.932559063170546953e-04
5.608595339353627020e-08,1.954070071937106417e-04
5.691859779401239276e-08,1.975820836618619636e-04
5.776475789628174574e-08,1.997813390503730944e-04
5.862577696364022736e-08,2.020050198670355626e-04
5.949908123327883430e-08,2.042534761714584891e-04
6.038367999519659245e-08,2.065270151553956523e-04
6.128256624936702331e-08,2.088258556476175315e-04
6.219805261053687716e-08,2.111502530493495505e-04
6.312604572711920434e-08,2.135005191099113462e-04
6.406325515532006878e-08,2.158769466846697203e-04
6.501399081034133864e-08,2.182798403650221600e-04
6.598152395090858622e-08,2.207095226687642029e-04
6.696434463392692924e-08,2.231662540316687855e-04
6.796213026018383016e-08,2.256502848556876857e-04
6.897455382213647875e-08,2.281619569713506598e-04
7.000014498126842360e-08,2.307016311977344461e-04
7.103993750040157745e-08,2.332695893959080887e-04
7.209553530689978972e-08,2.358660932487250067e-04
7.316661347278028872e-08,2.384914837348583126e-04
7.425209206589466176e-08,2.411461408270366080e-04
7.535281492008428480e-08,2.438303746293044678e-04
7.647276151362901920e-08,2.465444613021778968e-04
7.761167143173097740e-08,2.492887399860710244e-04
7.876678078551592464e-08,2.520635838965791607e-04
7.993840114284342080e-08,2.548693324251930198e-04
8.112535981828654041e-08,2.577063055426575969e-04
8.232752797755173713e-08,2.605748488079746069e-04
8.354732559493877781e-08,2.634753248815604500e-04
8.478493451336947720e-08,2.664080862972752488e-04
8.604256657220337877e-08,2.693735245512664071e-04
8.732136534721461291e-08,2.723720282601737154e-04
8.861987193420727931e-08,2.754038763483242225e-04
8.993852201084286417e-08,2.784693830096669439e-04
9.127502656863507168e-08,2.815690362191673821e-04
9.262731798970198683e-08,2.847032957708155827e-04
9.399850958358308140e-08,2.878724382380857378e-04
9.539053039878329625e-08,2.910767641914243091e-04
9.680304252314290416e-08,2.943167497801644746e-04
9.823636337313647617e-08,2.975928645733926479e-04
9.969077950954671973e-08,3.009054694085411372e-04
1.011660132081303831e-07,3.042549411999145598e-04
1.026636984461480177e-07,3.076416978002342525e-04
1.041882022809967459e-07,3.110661526547204951e-04
1.057372158464719615e-07,3.145287232583701947e-04
1.073042215324807641e-07,3.180298189160046698e-04
1.088912650615554068e-07,3.215698792691496334e-04
1.105023834954301454e-07,3.251493933276963680e-04
1.121373773607386247e-07,3.287687890967148441e-04
1.137964050747596395e-07,3.324284479204433129e-04
1.154797576162331362e-07,3.361288221094178592e-04
1.171879689608168881e-07,3.398704228423570319e-04
1.189213408826610844e-07,3.436537129159858732e-04
1.206801724695163527e-07,3.474791008882074407e-04
1.224646647942245761e-07,3.513470468031895883e-04
1.242761549435902001e-07,3.552580573243024832e-04
1.261154357612864299e-07,3.592126199559823050e-04
1.279813006970139785e-07,3.632111984218573436e-04
1.298734007262732164e-07,3.672542708979047122e-04
1.317931830315436357e-07,3.713423616679011226e-04
1.337413562769606897e-07,3.754759882399951593e-04
1.357182084131497812e-07,3.796556386195013119e-04
1.377241463187099602e-07,3.838818197212865964e-04
1.397595820793303211e-07,3.881550423444843096e-04
1.418256977035417030e-07,3.924758108963039200e-04
1.439208555076779706e-07,3.968446811355865020e-04
1.460412480655978084e-07,4.012622269504900253e-04
1.481914207982266390e-07,4.057289635782939806e-04
1.503789524276627370e-07,4.102454030481126799e-04
1.526013890459190980e-07,4.148121125028175261e-04
1.548562409833093691e-07,4.194296643678856553e-04
1.571437308467238008e-07,4.240986257008489118e-04
1.594589084830949538e-07,4.288195935092954094e-04
1.618044948124028286e-07,4.335931366290115651e-04
1.641967143246123201e-07,4.384197763574931091e-04
1.666341683636448058e-07,4.433001115186505840e-04
1.690960165795949726e-07,4.482348242031258248e-04
1.715822862105215813e-07,4.532245206009609504e-04
1.741101380682352136e-07,4.582697521771345690e-04
1.766818859203169407e-07,4.633711329136968866e-04
1.792873123127424605e-07,4.685292979429077310e-04
1.819239077129262062e-07,4.737448787588195731e-04
1.846025924426982273e-07,4.790185164193258680e-04
1.873282416139676453e-07,4.843508467589108550e-04
1.900914206143449163e-07,4.897425764828638745e-04
1.928873665394316647e-07,4.951944103892134052e-04
1.957244267647518455e-07,5.007069288535709491e-04
1.986073204845989533e-07,5.062807399294543074e-04
2.015334491103876329e-07,5.119166109748313383e-04
2.045025397588630480e-07,5.176153079663787680e-04
2.075141350436070573e-07,5.233774551949155066e-04
2.105663841978938669e-07,5.292036844310395215e-04
2.136617555626402942e-07,5.350947534185315118e-04
2.168020924801322097e-07,5.410514203136512551e-04
2.199895466240557796e-07,5.470744103607809872e-04
2.232318111081969176e-07,5.531644769644529372e-04
2.265253371343780747e-07,5.593223634312619822e-04
2.298589459268972547e-07,5.655488266652199201e-04
2.332359975814872189e-07,5.718446260747389901e-04
2.366636468928192806e-07,5.782105056529387999e-04
2.401417508523134833e-07,5.846472487687619799e-04
2.436707921157196545e-07,5.911556514026609791e-04
2.472513754872539083e-07,5.977365105072349801e-04
2.508844462590131081e-07,6.043906388233892665e-04
2.545706287736434030e-07,6.111188527754356746e-04
2.583108187884730507e-07,6.179219610478935100e-04
2.621056596603827639e-07,6.248007902310940024e-04
2.659561040463867893e-07,6.317562222870070797e-04
2.698628375185873228e-07,6.387891248318198611e-04
2.738268076928495736e-07,6.459003212890490012e-04
