Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.213653739330918392e-08,9.512981369979911289e-05
2.246618653928298830e-08,9.617527499976542490e-05
2.280027570475030227e-08,9.723222470455465281e-05
2.313969396252461128e-08,9.830084145542164801e-05
2.348423288555823070e-08,9.938122716683800981e-05
2.383360610200850905e-08,1.004734455664045984e-04
2.418796687029825929e-08,1.015776410615096015e-04
2.454778146293281651e-08,1.026939844425555780e-04
2.491308154666904442e-08,1.038226060252321229e-04
2.528356519634512264e-08,1.049636311766918899e-04
2.565925696288043962e-08,1.061171963971819246e-04
2.604066014589528305e-08,1.072834336565510265e-04
2.642794883608073856e-08,1.084624741932588976e-04
2.682082951817302836e-08,1.096545088234594990e-04
2.721920256054257701e-08,1.108597151538570630e-04
2.762352075468846797e-08,1.120781424635113721e-04
2.803408875678095776e-08,1.133098760518940276e-04
2.845067100116317688e-08,1.145551383065202520e-04
2.887306697886680396e-08,1.158141313469133256e-04
2.930166397214598860e-08,1.170869608928995877e-04
2.973704171780109412e-08,1.183737305172649385e-04
3.017869060813259403e-08,1.196746388071486916e-04
3.062531527163871065e-08,1.209899179287866411e-04
3.107805028797083173e-08,1.223196861610609861e-04
3.153999354244547556e-08,1.236640233101959235e-04
3.201017883989380675e-08,1.250231128064515295e-04
3.248497292536249811e-08,1.263971817442081057e-04
3.296488407731925900e-08,1.277863847524334580e-04
3.345189201621198498e-08,1.291908053586921445e-04
3.394595800447768570e-08,1.306106075607733365e-04
3.444916036313132708e-08,1.320460497694545378e-04
3.496232840270178806e-08,1.334973181363211870e-04
3.548156363168918293e-08,1.349645309188855736e-04
3.600546021525421793e-08,1.364478510599808334e-04
3.653749409478885334e-08,1.379474703465395473e-04
3.707942042867465834e-08,1.394635694553271476e-04
3.762899003078062386e-08,1.409963327577483069e-04
3.818444869262588544e-08,1.425459456991810727e-04
3.874827324568603725e-08,1.441125947805509068e-04
3.932314455614344367e-08,1.456964730346732627e-04
3.990704611997921535e-08,1.472977614555046977e-04
4.049736454511631061e-08,1.489166379455213825e-04
4.109559443744236610e-08,1.505533020254493483e-04
4.170406051945519058e-08,1.522079554168926697e-04
4.232202067962091507e-08,1.538807962089101475e-04
4.294737671535932784e-08,1.555720351913127890e-04
4.358059874785222745e-08,1.572818718687694559e-04
4.422316657712267424e-08,1.590104922517085353e-04
4.487510023331956829e-08,1.607581033127396784e-04
4.553804821959940207e-08,1.625249275364492219e-04
4.621254592007175342e-08,1.643111778082648764e-04
4.689570010518115880e-08,1.661170542384614551e-04
4.758657501389816431e-08,1.679427644870034317e-04
