Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.220303344927406822e-08,9.513974175109899041e-05
2.253519069838558419e-08,9.619007525945140686e-05
2.287232392128676212e-08,9.725200712354032024e-05
2.321411299844165284e-08,9.832570063351977964e-05
2.356094315259502697e-08,9.941126665473758455e-05
2.391402023949490111e-08,1.005087946037957737e-04
2.427291449103855280e-08,1.016184252505967822e-04
2.463531057742044584e-08,1.027403023996863824e-04
2.500163139993233938e-08,1.038745602090665156e-04
2.537512143497571380e-08,1.050213417135384972e-04
2.575590438298845675e-08,1.061807849999820265e-04
2.614081182951568214e-08,1.073530219815708471e-04
2.652933058016016733e-08,1.085381880999884084e-04
2.692486386372283537e-08,1.097364794937035935e-04
2.732860421358861436e-08,1.109480689716044107e-04
2.773737163224676746e-08,1.121730009220413314e-04
2.814957209028523506e-08,1.134113681962793083e-04
2.856847595040798546e-08,1.146634224338311436e-04
2.899636642849544372e-08,1.159293838852638354e-04
2.943035765306445454e-08,1.172093130318803736e-04
2.986800127847445288e-08,1.185032814362457684e-04
3.031165682411908136e-08,1.198115281832319557e-04
3.076357238014557359e-08,1.211343018175030741e-04
3.122269583744283339e-08,1.224717035707876493e-04
3.168806549034525208e-08,1.238238208529787525e-04
3.216017258069059047e-08,1.251908512645960982e-04
3.263961000264682695e-08,1.265730188555573836e-04
3.312629930081207241e-08,1.279704712341548159e-04
3.361997874607041725e-08,1.293833285959914586e-04
3.412072410816459492e-08,1.308117667846184847e-04
3.462790085383492490e-08,1.322559573599327710e-04
3.514157206170415372e-08,1.337160730568952554e-04
3.566398567601669687e-08,1.351923532009800355e-04
3.619549537195522544e-08,1.366849867769822638e-04
3.673465677989270922e-08,1.381940754293385686e-04
3.728126703343283763e-08,1.397197833408154533e-04
3.783614105610155709e-08,1.412623348475623198e-04
3.839981673704853212e-08,1.428219194556313491e-04
3.897108672307484991e-08,1.443987455824617184e-04
3.954886705889752238e-08,1.459930319602476771e-04
4.013541228700004849e-08,1.476049142256006782e-04
4.073257957515639447e-08,1.492345401480864298e-04
4.133901820912380179e-08,1.508821428743545420e-04
4.195394946489720282e-08,1.525479438418546362e-04
4.257747787097569790e-08,1.542321398929324668e-04
4.320868085598428943e-08,1.559349448419040311e-04
4.384868483372602288e-08,1.576565560974840026e-04
4.450028078409776204e-08,1.593971602575213159e-04
4.516250284371712980e-08,1.611569789811665321e-04
4.583239187865874077e-08,1.629362689422623946e-04
4.651075364046451710e-08,1.647352329438057385e-04
4.720105077926656235e-08,1.665540156886279055e-04
4.790321049642548603e-08,1.683928405161615096e-04
4.861411157963717931e-08,1.702519999704604737e-04
4.933363895166275228e-08,1.721317232986232073e-04
5.006368853478533941e-08,1.740321950182314526e-04
5.080435110085277748e-08,1.759536408833040685e-04
5.155722049051423239e-08,1.778962840446139801e-04
5.232352194930176844e-08,1.798603419072937666e-04
5.310031122942397141e-08,1.818461130441476851e-04
5.388570813928029084e-08,1.838538830255933903e-04
5.468309857101515031e-08,1.858838147375428348e-04
5.549520152783119117e-08,1.879360917917764751e-04
