Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.185354740510891859e-08,9.515216640189341703e-05
2.218446363349101855e-08,9.621509396498692751e-05
2.252022137655326470e-08,9.728989868038013600e-05
2.285980047367722874e-08,9.837675957961176845e-05
2.320421554638764494e-08,9.947577757471597905e-05
2.355573875365806521e-08,1.005870158591444058e-04
2.391351822775505635e-08,1.017106451807977169e-04
2.427575792549197176e-08,1.028468910202948026e-04
2.464280310689708767e-08,1.039958646702647874e-04
2.501442781659726872e-08,1.051576037849879727e-04
2.539084956385800797e-08,1.063322689895659706e-04
2.577394748795423313e-08,1.075200887340647065e-04
2.616369046052641260e-08,1.087212053322003983e-04
2.655899872183161019e-08,1.099357625879677591e-04
2.695992141329316563e-08,1.111639136581193417e-04
2.736708107155561837e-08,1.124057577662852315e-04
2.778069402411230904e-08,1.136614380420314618e-04
2.819968686319757535e-08,1.149311656139894426e-04
2.862364271155349864e-08,1.162151132647530160e-04
2.905459522513395350e-08,1.175133866250150549e-04
2.949348468219367879e-08,1.188261231294595943e-04
2.993842062202110785e-08,1.201535381005216195e-04
3.038836465367592957e-08,1.214958194518728414e-04
3.084538935860000505e-08,1.228531046253386637e-04
3.131097661874844968e-08,1.242255500047171962e-04
3.178334077274183478e-08,1.256133315553684246e-04
3.226117055410944728e-08,1.270166323524824479e-04
3.274566331858455244e-08,1.284355950216320224e-04
3.323738747101370326e-08,1.298703453920703335e-04
3.373680511082393164e-08,1.313211147819616845e-04
3.424532666364488584e-08,1.327881553801760683e-04
3.476184796194007176e-08,1.342716086123856836e-04
3.528417998298002896e-08,1.357716140485816471e-04
3.581366431081504519e-08,1.372883704696341680e-04
3.635292665671927939e-08,1.388220765230118109e-04
3.690107675402766268e-08,1.403729147522106012e-04
3.745558546021085221e-08,1.419410495738371162e-04
3.801726525386363978e-08,1.435266858243389372e-04
3.858908802827484378e-08,1.451300827616342306e-04
3.917075343034321293e-08,1.467514305058109365e-04
3.975946301468544453e-08,1.483908833962763304e-04
4.035538465509696525e-08,1.500486455031634374e-04
4.096170141543137914e-08,1.517249040892865890e-04
4.157881521799373789e-08,1.534198619240402408e-04
4.220385943397751248e-08,1.551337671329492394e-04
4.283640101095662198e-08,1.568668347697381958e-04
4.347856613450005966e-08,1.586192834321333478e-04
4.413090306412184871e-08,1.603913348702921840e-04
4.479273494992388965e-08,1.621831924251597521e-04
4.546365000711472961e-08,1.639950802178812516e-04
4.614549881724931722e-08,1.658271913885935684e-04
4.683981840076080390e-08,1.676797278987648683e-04
4.754404463486330346e-08,1.695529553522237413e-04
4.825643869940106632e-08,1.714471259030387273e-04
