Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.164130495244692478e-08,9.514486613459936771e-05
2.196536469511061871e-08,9.619967322047840645e-05
2.229380465898225741e-08,9.726617616982552678e-05
2.262841427577920594e-08,9.834455308170263481e-05
2.296841994822581170e-08,9.943490522205712678e-05
2.331228985426160588e-08,1.005372931814846674e-04
2.366065747418579835e-08,1.016518769025015056e-04
2.401533004588703016e-08,1.027788729833148797e-04
2.437602553393848522e-08,1.039184007273750467e-04
2.474110061359219076e-08,1.050704979328699124e-04
2.511069892601957229e-08,1.062353092976458873e-04
2.548579327016054400e-08,1.074130588955373556e-04
2.586640685078722411e-08,1.086038907647104908e-04
2.625348276520041099e-08,1.098079703176552319e-04
2.664745145027177131e-08,1.110254621406017218e-04
2.704659243346647328e-08,1.122564104804464310e-04
2.745023392761620999e-08,1.135009215039202700e-04
2.786037007057644431e-08,1.147592552831734966e-04
2.827811060431409664e-08,1.160316225672380924e-04
2.870172986992895009e-08,1.173180776493476220e-04
2.913016458001116360e-08,1.186187108228169975e-04
2.956469851130825237e-08,1.199337560231036095e-04
3.000620292570921447e-08,1.212634252653066333e-04
3.045426146267162684e-08,1.226078491435970443e-04
3.090842215546406657e-08,1.239671688829627097e-04
3.136945400090063456e-08,1.253415688317340536e-04
3.183885497316165008e-08,1.267312526727982288e-04
3.231573935066307968e-08,1.281363580847603783e-04
3.279815271114843025e-08,1.295569801771415369e-04
3.328681096658795973e-08,1.309933176660453623e-04
3.378290106508336174e-08,1.324456000297009981e-04
3.428637228516343508e-08,1.339139964371122550e-04
3.479758000438887816e-08,1.353986902600392650e-04
3.531658678645862175e-08,1.368998616942952414e-04
3.584291171480907941e-08,1.384176749212418867e-04
3.637657480551575171e-08,1.399523153014984157e-04
3.691930855024145022e-08,1.415039484584200825e-04
3.747166326511834266e-08,1.430727535904893289e-04
3.803129167128635755e-08,1.446589808731635991e-04
3.859773658467388975e-08,1.462628430510556183e-04
3.917161635927925348e-08,1.478844882210759082e-04
3.975238047916618050e-08,1.495241036215621503e-04
4.034294259109130210e-08,1.511818807848107425e-04
4.094598702095219441e-08,1.528580043269732068e-04
4.155751324672400923e-08,1.545527087886951288e-04
4.217385364886965586e-08,1.562662193444367222e-04
4.279920188219718208e-08,1.579987419550187868e-04
4.343789464398656429e-08,1.597504970265311588e-04
4.408700757026550272e-08,1.615216880805457752e-04
4.474349259906778124e-08,1.633125244428739050e-04
4.540844222205309574e-08,1.651232135450704183e-04
4.608167328361984399e-08,1.669539324364623372e-04
4.676422697661415879e-08,1.688049268902566777e-04
4.746068966001576932e-08,1.706764916782616123e-04
4.816979569123424456e-08,1.725688350735284798e-04
4.888562917047744026e-08,1.744821149746669136e-04
4.960902615074492441e-08,1.764165730718171728e-04
5.034512230076315297e-08,1.783725193600710010e-04
5.109404516440526876e-08,1.803501923951870956e-04
5.185370134659071115e-08,1.823497878488037184e-04
5.262418200620803719e-08,1.843715466590769333e-04
5.340473788838262046e-08,1.864157121217724898e-04
5.419457275191512348e-08,1.884825248801190662e-04
5.499835689323251462e-08,1.905722767409464744e-04
5.581889941381324400e-08,1.926852463462219614e-04
5.665011811472871245e-08,1.948216325576517904e-04
5.748875734630608342e-08,1.969816652755374757e-04
5.833870232298861303e-08,1.991656349883119128e-04
5.920123356086090728e-08,2.013738084913977160e-04
6.007762580202589786e-08,2.036064789489140051e-04
6.097089534256585260e-08,2.058639649452195439e-04
6.187813956085584615e-08,2.081464882209095103e-04
6.279565021886759896e-08,2.104542491922227661e-04
6.372515480820066818e-08,2.127875768688735323e-04
6.466747367464913083e-08,2.151468253605331906e-04
6.562333437109272968e-08,2.175322579837867215e-04
6.659629591665224713e-08,2.199441368579354596e-04
6.758531115983205582e-08,2.223827604082649731e-04
6.858582970549762416e-08,2.248484254837899510e-04
6.959878252870691790e-08,2.273414319403838958e-04
7.062879463177708362e-08,2.298620841193723047e-04
7.167594388826237300e-08,2.324106885708023516e-04
7.273902797032381295e-08,2.349875306016980278e-04
7.381843665622413777e-08,2.375929173339862361e-04
7.491165357400209532e-08,2.402272217232281047e-04
7.601800902006256337e-08,2.428907795956141661e-04
7.714040823645465922e-08,2.455838631896146854e-04
7.827964374687468824e-08,2.483067863051667610e-04
7.943558135587001322e-08,2.510598920774034662e-04
8.060787172826993972e-08,2.538435097249035232e-04
8.179889779836756961e-08,2.566580029853970804e-04
8.301149505215360224e-08,2.595037408938384799e-04
8.424173168051598208e-08,2.623810331045343665e-04
8.548586028716199355e-08,2.652901891118007120e-04
8.674686198137159300e-08,2.682316060064971678e-04
8.802651902519563052e-08,2.712057041057685928e-04
8.932568387525301802e-08,2.742127917889869383e-04
9.064847008575881995e-08,2.772531375074185748e-04
9.199195709706810665e-08,2.803271665273281968e-04
9.334773284037184419e-08,2.834353772346626826e-04
9.471898898779003575e-08,2.865781039946698155e-04
9.611415919843225522e-08,2.897556054081854905e-04
9.753225674271349939e-08,2.929682884014144081e-04
9.897081670771541741e-08,2.962166152011176125e-04
1.004302611344675793e-07,2.995009769492577270e-04
1.019109328524112458e-07,3.028217884571033107e-04
1.034128857125081083e-07,3.061794589065306251e-04
1.049402224549415779e-07,3.095743358017969738e-04
1.064949611097480134e-07,3.130068183289147271e-04
1.080677346534672839e-07,3.164773745678722285e-04
1.096548367282588628e-07,3.199864424574935177e-04
1.112661607215254383e-07,3.235344141749359886e-04
1.129057396879746502e-07,3.271217044941550573e-04
1.145701111881367695e-07,3.307487768147324516e-04
1.162589848131297294e-07,3.344160859069487957e-04
1.179711257896544803e-07,3.381240692623578158e-04
1.197028064307268756e-07,3.418731799286915999e-04
1.214610408537094903e-07,3.456638622103287012e-04
1.232557677848783087e-07,3.494965511033146515e-04
1.250799148673864456e-07,3.533717421465032166e-04
1.269245485584097344e-07,3.572899673719395525e-04
1.287926857168909699e-07,3.612516581304519789e-04
1.306845421743660086e-07,3.652571901726969425e-04
1.326017403353757554e-07,3.693070938973332475e-04
1.345520983019798032e-07,3.734019802688173838e-04
1.365341638995107205e-07,3.775423230444743339e-04
1.385404534231364178e-07,3.817285464099426980e-04
1.405720539958287668e-07,3.859611660527574682e-04
1.426384390287069929e-07,3.902407403288712094e-04
1.447403792891370352e-07,3.945677906677152926e-04
1.468723238269938950e-07,3.989428272409571621e-04
1.490344437751374279e-07,4.033663821859831649e-04
1.512248606891883849e-07,4.078389842272877718e-04
1.534419054100226346e-07,4.123611720304053607e-04
1.556938280661748750e-07,4.169335118290503619e-04
1.579852655774992846e-07,4.215565662891227047e-04
1.603086314151365860e-07,4.262308887467599326e-04
1.626598197058501910e-07,4.309570447007782224e-04
1.650439408241311081e-07,4.357356091362290617e-04
1.674632762899666325e-07,4.405671632256800410e-04
1.699188118308588038e-07,4.454522915782709578e-04
1.724119262391805763e-07,4.503915788075303519e-04
1.749444157265072044e-07,4.553856407425280911e-04
1.775221677000879146e-07,4.604351118732040926e-04
1.801398133043062547e-07,4.655405912333226265e-04
