Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.235982757505401713e-08,9.514006869332312499e-05
2.269840359928713784e-08,9.620653605173717189e-05
2.304152198355067836e-08,9.728496101525812060e-05
2.339113042630941180e-08,9.837551949225194258e-05
2.374646916847164073e-08,9.947831775714194075e-05
2.410671473748027034e-08,1.005934369047449306e-04
2.447224715423861994e-08,1.017210414128622047e-04
2.484365849979250934e-08,1.028613296716138366e-04
2.522073013651936856e-08,1.040144183695193233e-04
2.560226449468808086e-08,1.051803668593343123e-04
2.598878444166260202e-08,1.063593400329207955e-04
2.638311740131957453e-08,1.075515632242046482e-04
2.678494757531888049e-08,1.087571796656123190e-04
2.719090808310775817e-08,1.099763699212196383e-04
2.760114970991027211e-08,1.112092864085990928e-04
2.801863090110548794e-08,1.124559383242844759e-04
2.844360955396209280e-08,1.137164670591359891e-04
2.887399568248949431e-08,1.149911789751337015e-04
2.930938495259939925e-08,1.162802548848638167e-04
2.975276873553628050e-08,1.175837640511311495e-04
3.020511745404001963e-08,1.189018508851397778e-04
3.066386910611493478e-08,1.202347130179928753e-04
3.112849971416736854e-08,1.215825216017899608e-04
3.159924644831239330e-08,1.229454441793675044e-04
3.207564040280136958e-08,1.243236514139537253e-04
3.255959231544662100e-08,1.257173159309805575e-04
3.305261022482649902e-08,1.271266167491595580e-04
3.355276308377277938e-08,1.285517127886178391e-04
3.405848522308496526e-08,1.299927636005131140e-04
3.457185630468893517e-08,1.314499716128853706e-04
3.509490429403269113e-08,1.329235403845422498e-04
3.562590237410228479e-08,1.344136345067529408e-04
3.616283128793149950e-08,1.359204221471511248e-04
3.670748131145473952e-08,1.374440996328590858e-04
3.726232713649814325e-08,1.389848716689537150e-04
3.782598665785325993e-08,1.405429087730018756e-04
3.839624898232434655e-08,1.421183448720730348e-04
3.897410127764512265e-08,1.437114199934898359e-04
3.956070111543654849e-08,1.453224523879889966e-04
4.015621551221763624e-08,1.469516005972075837e-04
4.076234993890114154e-08,1.485989638789808110e-04
4.137866885002883284e-08,1.502647666368737446e-04
4.200233043412930062e-08,1.519492580896073485e-04
4.263389497221315638e-08,1.536526424012559411e-04
4.327671229880325191e-08,1.553751111182565187e-04
4.393077696297526657e-08,1.571168787726615502e-04
4.459297218350583536e-08,1.588781730234289100e-04
4.526318469763463141e-08,1.606592122504788651e-04
4.594495828912211544e-08,1.624602292711969031e-04
4.663901839172741054e-08,1.642814505812307277e-04
4.734211491872105593e-08,1.661230891814731686e-04
4.805338405740881295e-08,1.679853706749090869e-04
4.877645516620552846e-08,1.698685384389598890e-04
4.951285211678648131e-08,1.717728356878215094e-04
5.025935609042530131e-08,1.736984641492710633e-04
5.101458132998258843e-08,1.756456415574531482e-04
5.178095039087711402e-08,1.776146510533482879e-04
5.255962768310855260e-08,1.796057522086575028e-04
5.334983649565057889e-08,1.816191960426051337e-04
5.415086880534793855e-08,1.836552546188990876e-04
5.496454872462084853e-08,1.857141364432638234e-04
5.579334429124073728e-08,1.877960500858190124e-04
5.663437886181494686e-08,1.899012936197353200e-04
5.748383888813339633e-08,1.920301664650187336e-04
5.834511437398331759e-08,1.941829063195591343e-04
5.922253085329990850e-08,1.963597453733432693e-04
6.011398923553640176e-08,1.985609813923908790e-04
6.101679105401565427e-08,2.007869362844129542e-04
6.193214947173973963e-08,2.030378652326793006e-04
6.286139234529068016e-08,2.053140142795264881e-04
6.380455529114594486e-08,2.076156730230054330e-04
6.476237737480342244e-08,2.099431225891996750e-04
6.573483692747456776e-08,2.122966595584166189e-04
6.672116181681580859e-08,2.146766300337418819e-04
6.772169675742607116e-08,2.170833211837814160e-04
6.873779194609854525e-08,2.195169730436369066e-04
6.976957093912350481e-08,2.219778906646340791e-04
7.081633718588451217e-08,2.244663807659237164e-04
7.187829736360962724e-08,2.269827496119348651e-04
7.295412496059995422e-08,2.295273683119022304e-04
7.404326457791088785e-08,2.321005656987073910e-04
7.515254846365610722e-08,2.347025778484743011e-04
7.628447696257573508e-08,2.373337073845828752e-04
7.742996815678643602e-08,2.399943443330703505e-04
7.858547883167557695e-08,2.426848360510987224e-04
7.976095261738646639e-08,2.454054900617608378e-04
8.096151615548991608e-08,2.481566366502707785e-04
8.217795638612246604e-08,2.509386255171486323e-04
8.340527144594246675e-08,2.537517973570940647e-04
8.465001795612455964e-08,2.565965272394057201e-04
8.591501317717281573e-08,2.594732023429305247e-04
8.720058998130310702e-08,2.623821236682143099e-04
8.850963274860903394e-08,2.653235898854967119e-04
8.983787111872001422e-08,2.682980363114957330e-04
9.117968934831654115e-08,2.713059142052216214e-04
9.253958313579547794e-08,2.743475292651096926e-04
9.392160210488673765e-08,2.774231691093305462e-04
9.532566452345115601e-08,2.805332754751984443e-04
9.675504395485123408e-08,2.836783284728518813e-04
9.820713618803421133e-08,2.868586700343837945e-04
