Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
1.692095159585396662e-12,9.634343412152314900e-06
1.728975582901104044e-12,9.758887859686159335e-06
1.766596668913518684e-12,9.885042310167450546e-06
1.804967197778137472e-12,1.001282757632472973e-05
1.844062495191761011e-12,1.014226473993209662e-05
1.883906136069012264e-12,1.027337515529556828e-05
1.924597863435353134e-12,1.040618045277892835e-05
1.966220076675315107e-12,1.054070254236270019e-05
2.008758928837617009e-12,1.067696361724894474e-05
2.052213478146136005e-12,1.081498615753446792e-05
2.096607227628896211e-12,1.095479293393114185e-05
2.141966653091860669e-12,1.109640701151446610e-05
2.188312320808748257e-12,1.123985175351662356e-05
2.235658218437128394e-12,1.138515082517939955e-05
2.284025682004335448e-12,1.153232819767904112e-05
2.333442295456596098e-12,1.168140815207983922e-05
2.383934307245715616e-12,1.183241528332788397e-05
2.435519465287575439e-12,1.198537450429703614e-05
2.488216649404404270e-12,1.214031104991452305e-05
2.542053355215040520e-12,1.229725048133705667e-05
2.597059723431822761e-12,1.245621869015771424e-05
2.653259936050608223e-12,1.261724190266269215e-05
2.710671721071463187e-12,1.278034668415754876e-05
2.769321257070631301e-12,1.294555994337451164e-05
2.829241895314435476e-12,1.311290893690946824e-05
2.890465003445427216e-12,1.328242127370402887e-05
2.953011238529210251e-12,1.345412491958697005e-05
3.016903233814464115e-12,1.362804820190778262e-05
3.082175896236917251e-12,1.380421981422439427e-05
3.148867542652053534e-12,1.398266882102426691e-05
3.217007123699056738e-12,1.416342466250150162e-05
3.286615008187373852e-12,1.434651715941467925e-05
3.357723610793600330e-12,1.453197651803621796e-05
3.430374492604003080e-12,1.471983333513170725e-05
3.504606016480517173e-12,1.491011860298973016e-05
3.580442900054681260e-12,1.510286371451919916e-05
3.657913442431297479e-12,1.529810046845408390e-05
3.737059146254293689e-12,1.549586107461517142e-05
3.817924734451466102e-12,1.569617815920815393e-05
3.900544593421331703e-12,1.589908477018448163e-05
3.984944422240703910e-12,1.610461438269653617e-05
4.071163926665054025e-12,1.631280090465554570e-05
4.159252986025803177e-12,1.652367868231944433e-05
4.249257192471638616e-12,1.673728250593727604e-05
4.341205767025389430e-12,1.695364761547084805e-05
4.435133266786750605e-12,1.717280970644101659e-05
4.531091662498694588e-12,1.739480493583367830e-05
4.629136621737595094e-12,1.761966992804511829e-05
4.729309079119893039e-12,1.784744178089800055e-05
4.831639599113316475e-12,1.807815807176761517e-05
4.936177177527288460e-12,1.831185686382326761e-05
5.042982957820716499e-12,1.854857671229882981e-05
5.152111954995512407e-12,1.878835667082656114e-05
5.263599499178403687e-12,1.903123629785951213e-05
5.377488669204494326e-12,1.927725566323904526e-05
5.493841433116978311e-12,1.952645535482364021e-05
5.612723169675446226e-12,1.977887648516048796e-05
5.734182645111385221e-12,2.003456069823637720e-05
5.858258166129070226e-12,2.029355017635821074e-05
5.985009684111690882e-12,2.055588764716162381e-05
6.114510747826248507e-12,2.082161639064749676e-05
6.246826840643242042e-12,2.109078024628930015e-05
6.381999780317957022e-12,2.136342362024249030e-05
6.520082380008528101e-12,2.163959149272228822e-05
6.661151948453692938e-12,2.191932942544350883e-05
6.805289343621896259e-12,2.220268356910692949e-05
6.952552354940184383e-12,2.248970067097478680e-05
7.102986840064691262e-12,2.278042808259890867e-05
7.256666825155079604e-12,2.307491376769102599e-05
7.413682569560036042e-12,2.337320631001842754e-05
7.574113028834419614e-12,2.367535492137892082e-05
7.738008690278047427e-12,2.398140944969373388e-05
7.905435067876385867e-12,2.429142038729638657e-05
8.076484756598978184e-12,2.460543887928228732e-05
8.251253366745557735e-12,2.492351673190913838e-05
8.429810026527088116e-12,2.524570642109740610e-05
8.612212490295089674e-12,2.557206110111152095e-05
8.798550741315553467e-12,2.590263461339728393e-05
8.988932190241514646e-12,2.623748149544136033e-05
9.183450259202787156e-12,2.657665698971966773e-05
9.382165278683756260e-12,2.692021705278279376e-05
9.585157850841708673e-12,2.726821836456824242e-05
9.792543296104055733e-12,2.762071833777069878e-05
1.000443941023383470e-11,2.797777512726775401e-05
1.022092758550375223e-11,2.833944763965876357e-05
1.044207665967835724e-11,2.870579554301696789e-05
1.066799848001045038e-11,2.907687927681306271e-05
1.089882649697364696e-11,2.945276006185574739e-05
1.113467390474363008e-11,2.983349991033150815e-05
1.137561347399137181e-11,3.021916163600453124e-05
1.162174491910029678e-11,3.060980886467993151e-05
1.187320546386968372e-11,3.100550604471901935e-05
1.213013367653876741e-11,3.140631845761486952e-05
1.239262752261375605e-11,3.181231222869581238e-05
1.266077429357620345e-11,3.222355433808225903e-05
1.293470920530857564e-11,3.264011263182895221e-05
1.321459004823804448e-11,3.306205583307812013e-05
1.350055039672200248e-11,3.348945355332405923e-05
1.379267748783084146e-11,3.392237630386516194e-05
1.409109421332908165e-11,3.436089550756002924e-05
1.439597204431312811e-11,3.480508351062693099e-05
1.470748193078185975e-11,3.525501359450938229e-05
1.502573859062982823e-11,3.571075998788684027e-05
1.535084641883147882e-11,3.617239787898567067e-05
1.568297370400187586e-11,3.664000342809003454e-05
1.602231651347229339e-11,3.711365378005487559e-05
1.636903629984659695e-11,3.759342707694334683e-05
1.672323898306244012e-11,3.807940247088557027e-05
1.708507609910692313e-11,3.857166013728888151e-05
1.745475083346632947e-11,3.907028128807764583e-05
1.783246382302186332e-11,3.957534818500517383e-05
1.821835388435337066e-11,4.008694415313059832e-05
1.861255312129357864e-11,4.060515359465393108e-05
1.901526461302825230e-11,4.113006200296180030e-05
1.942672031689684545e-11,4.166175597666593749e-05
1.984711092623014032e-11,4.220032323378103862e-05
2.027656317797020606e-11,4.274585262616452093e-05
2.071526421603006913e-11,4.329843415435991483e-05
2.116346873366483259e-11,4.385815898245204637e-05
2.162142439305115000e-11,4.442511945300133263e-05
2.208929316284716391e-11,4.499940910216647079e-05
2.256723437547091443e-11,4.558112267525327968e-05
2.305549997715422070e-11,4.617035614248386467e-05
2.355437627182281130e-11,4.676720671474529124e-05
2.406409266501867028e-11,4.737177285949409897e-05
2.458480470592678009e-11,4.798415431697259829e-05
2.511674228843106446e-11,4.860445211688953091e-05
2.566020629908323958e-11,4.923276859508629691e-05
2.621548711342373916e-11,4.986920741029010092e-05
2.678278138635660567e-11,5.051387356108325428e-05
2.736228929102150994e-11,5.116687340338074453e-05
2.795431564362417210e-11,5.182831466813224138e-05
2.855920135560754673e-11,5.249830647898902206e-05
2.917721809208747749e-11,5.317695937014527027e-05
2.980855178524080624e-11,5.386438530455227281e-05
3.045348675398637105e-11,5.456069769266202546e-05
3.111239906235109583e-11,5.526601141112459761e-05
3.178564537668155330e-11,5.598044282158094731e-05
3.247345492752153281e-11,5.670410978970528580e-05
3.317607085443491644e-11,5.743713170485231166e-05
3.389387071914172885e-11,5.817962949992884768e-05
3.462727383688295995e-11,5.893172567121086788e-05
3.537660592276280231e-11,5.969354429835553854e-05
3.614209560929414193e-11,6.046521106486149556e-05
3.692409126233922925e-11,6.124685327913342902e-05
3.772303911922003900e-11,6.203859989545587930e-05
3.853935950953234415e-11,6.284058153507211960e-05
3.937333194019898383e-11,6.365293050755252706e-05
4.022526134924004010e-11,6.447578083288533764e-05
4.109560204720954970e-11,6.530926826378003998e-05
4.198485057558750453e-11,6.615353030789609501e-05
4.289339241137497442e-11,6.700870625028997301e-05
4.382150300395352139e-11,6.787493717640238108e-05
4.476961363271187915e-11,6.875236599572813120e-05
4.573828032208996270e-11,6.964113746534233811e-05
4.672801677274730891e-11,7.054139821354337206e-05
4.773914648263970502e-11,7.145329676383295795e-05
4.877203929558071109e-11,7.237698355975603307e-05
4.982726392520334478e-11,7.331261098993382334e-05
5.090543858133079089e-11,7.426033341299453016e-05
5.200702578471261538e-11,7.522030718274888431e-05
5.313236654385027337e-11,7.619269067401993457e-05
5.428198548998496692e-11,7.717764430924449015e-05
5.545653360031595456e-11,7.817533058485959285e-05
5.665661152932724283e-11,7.918591409781711491e-05
5.788262032057054898e-11,8.020956157249581179e-05
5.913502445364368287e-11,8.124644188863789176e-05
6.041450344732539053e-11,8.229672610944007078e-05
6.172178430504025101e-11,8.336058750951498390e-05
6.305741276969129376e-11,8.443820160312856679e-05
6.442179341528433663e-11,8.552974617322882346e-05
6.581558239576601901e-11,8.663540130133623668e-05
6.723961087210696266e-11,8.775534939713737796e-05
6.869462316634207641e-11,8.888977522821938249e-05
7.018108218147796048e-11,9.003886595027510344e-05
7.169955714233675955e-11,9.120281113852539152e-05
7.325087943681606690e-11,9.238180281924333024e-05
7.483592887903506451e-11,9.357603550110888844e-05
7.645535778427750892e-11,9.478570620687355969e-05
7.810967290335164939e-11,9.601101450599370927e-05
7.979967304170555176e-11,9.725216254821857477e-05
8.152634163515068779e-11,9.850935509677591915e-05
8.329055577400081677e-11,9.978279956171567922e-05
8.509288011979837941e-11,1.010727060338142416e-04
8.693401992902556203e-11,1.023792873199214255e-04
8.881498881898288943e-11,1.037027589783316576e-04
9.073684751554813352e-11,1.050433393539423166e-04
9.270037153791000897e-11,1.064012496137621414e-04
9.470618097089919235e-11,1.077767137836039792e-04
9.675525628512662265e-11,1.091699587858238851e-04
9.884879058116706812e-11,1.105812144765325124e-04
1.009878332702437589e-10,1.120107136829827810e-04
1.031730472260112167e-10,1.134586922416312558e-04
1.054052975594456617e-10,1.149253890379039306e-04
1.076858552288175413e-10,1.164110460458778385e-04
1.100160376855676714e-10,1.179159083677025342e-04
1.123967670662046368e-10,1.194402242734182994e-04
1.148288053358440085e-10,1.209842452422199972e-04
1.173133450688884984e-10,1.225482260048651247e-04
