Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
1.690162894751065846e-12,9.627970288678968673e-06
1.725777226361820559e-12,9.749203082304122665e-06
1.762142860905302447e-12,9.871962406609059772e-06
1.799274521947535370e-12,9.996267483259146559e-06
1.837184606845686855e-12,1.012213777595076267e-05
1.875888250492194877e-12,1.024959299346491053e-05
1.915407491530098643e-12,1.037865309275814016e-05
1.955764788748174827e-12,1.050933828207973213e-05
1.996974888484055048e-12,1.064166902412615834e-05
2.039049313824738927e-12,1.077566603925018829e-05
2.082007954950231638e-12,1.091135030872032782e-05
2.125875421713995542e-12,1.104874307800151658e-05
2.170673530998974411e-12,1.118786586007160594e-05
2.216415833737795551e-12,1.132874043878197065e-05
2.263118799420965360e-12,1.147138887228412307e-05
2.310806302616702877e-12,1.161583349649127931e-05
2.359504050534759855e-12,1.176209692856684576e-05
2.409232256313266911e-12,1.191020207045383433e-05
2.460005991721493882e-12,1.206017211246093734e-05
2.511846969164598142e-12,1.221203053691423056e-05
2.564782282566945657e-12,1.236580112183219334e-05
2.618838118184320847e-12,1.252150794463730199e-05
2.674033127705532748e-12,1.267917538591410488e-05
2.730385697445880316e-12,1.283882813324018137e-05
2.787923243319242216e-12,1.300049118506687577e-05
2.846676952927871209e-12,1.316418985462474941e-05
2.906673119647041585e-12,1.332994977387312080e-05
2.967928840586140579e-12,1.349779689750751402e-05
3.030468221936800645e-12,1.366775750704788356e-05
3.094325655132470026e-12,1.383985821495743742e-05
3.159536197072416277e-12,1.401412596879658152e-05
3.226123919285188714e-12,1.419058805542664933e-05
3.294108025342619641e-12,1.436927210529056251e-05
3.363520413720517541e-12,1.455020609676347159e-05
3.434400337090644329e-12,1.473341836052633944e-05
3.506782751053706628e-12,1.491893758398559998e-05
3.580689805205600721e-12,1.510679281575235311e-05
3.656148153770307477e-12,1.529701347021598004e-05
3.733195920792705310e-12,1.548962933216228727e-05
3.811874095175568776e-12,1.568467056142295847e-05
3.892215135531822454e-12,1.588216769757874562e-05
3.974242875028422500e-12,1.608215166474149513e-05
4.057992489167008022e-12,1.628465377642913416e-05
4.143508911836667145e-12,1.648970574046594259e-05
4.230835360319724695e-12,1.669733966392875446e-05
4.320001016763895074e-12,1.690758805815509110e-05
4.411034271579231817e-12,1.712048384385521165e-05
4.503980914215878018e-12,1.733606035629152640e-05
4.598894023337320427e-12,1.755435135048402081e-05
4.695817056111697053e-12,1.777539100647284416e-05
4.794776792938735606e-12,1.799921393466045140e-05
4.895812129712008441e-12,1.822585518127017154e-05
4.998978122491316600e-12,1.845535023383969059e-05
5.104330920488417645e-12,1.868773502675664228e-05
5.211909935077281001e-12,1.892304594685985738e-05
5.321747784355838380e-12,1.916131983914968375e-05
5.433894819388625173e-12,1.940259401259650118e-05
5.548411344629606770e-12,1.964690624597082892e-05
5.665352088925626279e-12,1.989429479373237974e-05
5.784753874067887184e-12,2.014479839199932143e-05
5.906659806527238272e-12,2.039845626465423234e-05
6.031131888432606003e-12,2.065530812950588322e-05
6.158236950474731067e-12,2.091539420448536115e-05
6.288027274459095226e-12,2.117875521391234474e-05
6.420539394233931634e-12,2.144543239487174438e-05
6.555830676003583272e-12,2.171546750372383480e-05
6.693977246846090526e-12,2.198890282263797922e-05
6.835051770643548954e-12,2.226578116618314885e-05
6.979100529727652966e-12,2.254614588800072975e-05
7.126169060117784036e-12,2.283004088762731232e-05
7.276330915989447759e-12,2.311751061740865531e-05
7.429671071228799982e-12,2.340860008943695340e-05
7.586259676059261161e-12,2.370335488256210160e-05
7.746142208653999119e-12,2.400182114951244377e-05
7.909381756672526899e-12,2.430404562418490735e-05
8.076063313904731723e-12,2.461007562897236689e-05
8.246273554977528428e-12,2.491995908213930883e-05
8.420076596892052076e-12,2.523374450528383936e-05
8.597525939070134304e-12,2.555148103095599026e-05
8.778703105403641682e-12,2.587321841041419950e-05
8.963706356684106746e-12,2.619900702139660810e-05
9.152624543849225553e-12,2.652889787596683500e-05
9.345515109507681356e-12,2.686294262846820589e-05
9.542446168267760576e-12,2.720119358367700446e-05
9.743521865786285511e-12,2.754370370502508871e-05
9.948855528874248549e-12,2.789052662285597194e-05
1.015853239759685746e-11,2.824171664277213255e-05
1.037260997929637827e-11,2.859732875413792036e-05
1.059118077256927944e-11,2.895741863877610155e-05
1.081436675064064960e-11,2.932204267967939256e-05
