Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
-9.071966556107659715e-15,9.651894865513581677e-07
-9.731278854094233893e-15,9.790782591211899674e-07
-1.128663557067097189e-14,9.931668876377083708e-07
-1.356623561113527510e-14,1.007458247784155723e-06
-1.633832971682621441e-14,1.021955256567478852e-06
-1.932618346997885751e-14,1.036660872928516147e-06
-2.222947773297572028e-14,1.051578098367082036e-06
-2.475344516403935282e-14,1.066709977583343938e-06
-2.664723847551503601e-14,1.082059599137091506e-06
-2.775324868831887009e-14,1.097630096126709558e-06
-2.806934279244524532e-14,1.113424646889921024e-06
-2.782592354806298054e-14,1.129446475728302079e-06
-2.738686851208732074e-14,1.145698853468403784e-06
-2.684090556443788548e-14,1.162185097728179939e-06
-2.620575749680552011e-14,1.178908573793799598e-06
-2.548501578952776270e-14,1.195872695362278966e-06
-2.466746989504183101e-14,1.213080925237626439e-06
-2.372681397847116189e-14,1.230536776037394927e-06
-2.262183887781060432e-14,1.248243810909898531e-06
-2.129723560151125923e-14,1.266205644262367167e-06
-1.968515780759410220e-14,1.284425942500336450e-06
-1.770771472027035436e-14,1.302908424778597674e-06
-1.528059318745265562e-14,1.321656863764062358e-06
-1.231803845484118530e-14,1.340675086410931020e-06
-8.739458162282384984e-15,1.359966974748585857e-06
-4.477953536731464762e-15,1.379536466682681049e-06
5.088737025066611884e-16,1.399387556809945465e-06
6.225443111785398788e-15,1.419524297247255341e-06
1.273934332362688843e-14,1.439950798356920423e-06
2.046040816862631492e-14,1.460671229304264797e-06
2.977048447632314152e-14,1.481689819281574881e-06
4.091209155988972500e-14,1.503010858483630454e-06
5.398139186554718094e-14,1.524638698990566241e-06
6.892508256777360391e-14,1.546577755659391252e-06
8.554233508231878095e-14,1.568832507023209750e-06
1.034931040679974678e-13,1.591407496197004409e-06
1.223143490921960336e-13,1.614307331788606693e-06
1.414459640508983282e-13,1.637536688813244685e-06
1.602684953422259677e-13,1.661100309609760835e-06
1.781550537869061670e-13,1.685003004756283166e-06
1.945401919211278316e-13,1.709249653982742549e-06
2.090089326143166077e-13,1.733845207077250049e-06
2.214096026033322012e-13,1.758794684782844141e-06
2.319946517207756013e-13,1.784103179680618487e-06
2.412869220180826217e-13,1.809775857363108628e-06
2.487933603876599248e-13,1.835817958780453605e-06
2.537930637636120118e-13,1.862234800520739936e-06
2.558060971229059045e-13,1.889031775424884010e-06
2.546066596938083053e-13,1.916214353674192743e-06
2.502293187729769767e-13,1.943788083900688247e-06
2.429666037184410321e-13,1.971758594322137910e-06
2.333556770202789929e-13,2.000131593904300698e-06
2.221514152987804711e-13,2.028912873553290147e-06
2.102827964109988440e-13,2.058108307341387733e-06
1.987889931660354321e-13,2.087723853770163394e-06
1.887310123434729807e-13,2.117765557075284044e-06
1.810740818689684513e-13,2.148239548578075343e-06
1.765352703371992416e-13,2.179152048089580874e-06
1.753900118233447312e-13,2.210509365373723045e-06
1.772302942529665162e-13,2.242317901677034851e-06
1.809606296811131331e-13,2.274584151038551857e-06
1.866817602182670127e-13,2.307314699728274671e-06
1.951055909921206109e-13,2.340516228180672417e-06
2.067238233467557145e-13,2.374195513192291931e-06
2.217908100709550472e-13,2.408359429322450826e-06
2.403168883883442680e-13,2.443014950303302560e-06
2.620696072764786215e-13,2.478169150462109785e-06
2.865849564135919400e-13,2.513829206153914181e-06
3.131910597057814258e-13,2.550002397202396673e-06
3.410472008080456440e-13,2.586696108346338655e-06
3.692015072572499086e-13,2.623917830688622615e-06
3.966711403892581371e-13,2.661675163144209555e-06
4.225494274604720805e-13,2.699975813882905447e-06
4.461450384979088283e-13,2.738827601762100531e-06
4.671590624274907982e-13,2.778238457743883805e-06
4.859066850426603672e-13,2.818216426290093589e-06
5.034290271739251103e-13,2.858769666890823625e-06
5.199282316548436950e-13,2.899906457303481731e-06
5.348614717949050933e-13,2.941635195152845198e-06
5.478382147073269150e-13,2.983964398745035740e-06
5.586452686329243000e-13,3.026902708781255607e-06
5.672523640807447576e-13,3.070458890116028933e-06
5.738119540633634735e-13,3.114641833546515215e-06
5.786516746795367009e-13,3.159460557634835053e-06
5.822576433552465692e-13,3.204924210565558347e-06
5.852464718320804518e-13,3.251042072040825743e-06
5.883235300713201136e-13,3.297823555215933690e-06
5.922246107078834275e-13,3.345278208678577695e-06
5.976377060748125517e-13,3.393415718475385846e-06
6.051011150520995286e-13,3.442245910189893077e-06
6.148735383259512585e-13,3.491778751076641519e-06
6.267711905846089532e-13,3.542024352256720400e-06
6.400290491825137251e-13,3.592992970918515608e-06
6.542477544877525736e-13,3.644695011472294375e-06
6.696703471701735364e-13,3.697141027402383422e-06
6.864917335306951005e-13,3.750341724107560119e-06
7.048284518524140834e-13,3.804307961116464190e-06
7.247159262560854086e-13,3.859050754307102712e-06
7.461082217211027259e-13,3.914581278155744611e-06
7.688809819359452910e-13,3.970910868014914978e-06
7.928383474613466916e-13,4.028051022420176645e-06
8.177247834555507914e-13,4.086013405425230612e-06
8.432428958677715978e-13,4.144809848964695822e-06
8.690784847161115354e-13,4.204452355243805945e-06
8.949342752347088117e-13,4.264953099154044849e-06
9.205739849748299022e-13,4.326324430713541700e-06
9.458786303453786637e-13,4.388578877530795032e-06
9.709172528769479985e-13,4.451729147290020735e-06
9.960203245805919813e-13,4.515788130270246668e-06
1.021419045988513465e-12,4.580768902333574595e-06
1.047005057764376832e-12,4.646684727840271179e-06
1.072686847316076132e-12,4.713549062007593806e-06
1.098416195596545920e-12,4.781375553630546803e-06
1.124189833119086066e-12,4.850178047866513270e-06
1.150049760828635726e-12,4.919970589061119616e-06
1.176081867965317045e-12,4.990767423616257786e-06
1.202412416340936739e-12,5.062583002901204507e-06
1.229201889083849462e-12,5.135431986207880287e-06
1.256635620837367335e-12,5.209329243751339957e-06
1.284910534447308662e-12,5.284289859716720439e-06
1.314217205039495926e-12,5.360329135353915428e-06
1.344716354616383788e-12,5.437462592121381375e-06
1.376508747280987698e-12,5.515705974880639240e-06
1.409597305135174833e-12,5.595075255143110171e-06
1.443842854342787744e-12,5.675586634368532105e-06
1.479097482540856532e-12,5.757256547145415174e-06
1.515394881259889472e-12,5.840101664378313182e-06
1.552782739354801606e-12,5.924138896856088808e-06
1.591302641346579683e-12,6.009385398723550984e-06
1.630989804960660684e-12,6.095858570983649839e-06
1.671873033732906763e-12,6.183576065049610157e-06
1.713974944324261701e-12,6.272555786347614917e-06
1.757312538382824424e-12,6.362815897970603038e-06
1.801898200398387426e-12,6.454374824383791191e-06
1.847741216181452795e-12,6.547251255182440600e-06
1.894849921557957791e-12,6.641464148902454134e-06
1.943234607815110562e-12,6.737032736884275498e-06
1.992911329599762963e-12,6.833976527190597873e-06
2.043906782621371228e-12,6.932315308578337731e-06
2.096264442938933795e-12,7.032069154525276998e-06
2.150052198795565827e-12,7.133258427311821656e-06
2.205369097168293997e-12,7.235903782179847114e-06
2.262323223990693281e-12,7.340026171607394822e-06
2.321006298632603307e-12,7.445646849599676803e-06
2.381490609604000421e-12,7.552787376027810501e-06
2.443828114556015795e-12,7.661469621030941328e-06
2.508050140771734067e-12,7.771715769480890657e-06
2.574167855344124846e-12,7.883548325510070383e-06
2.642173703287664034e-12,7.996990117103273100e-06
2.712044044899651739e-12,8.112064300754034978e-06
2.783743261268338040e-12,8.228794366186105834e-06
2.857229639464864679e-12,8.347204141140667589e-06
2.932463397262726624e-12,8.467317796229728027e-06
3.009417261878719858e-12,8.589159849856199756e-06
3.088090078974134388e-12,8.712755173201033694e-06
3.168523997828878084e-12,8.838128995277732327e-06
3.250825825642872621e-12,8.965306908054474828e-06
3.335142883349743571e-12,9.094314871696204073e-06
3.421540464830138951e-12,9.225179220002620509e-06
3.510063906143465885e-12,9.357926665744433823e-06
3.600759255876733408e-12,9.492584306098729313e-06
3.693673268744339811e-12,9.629179628181024775e-06
3.788853396795416176e-12,9.767740514656438562e-06
