Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
-9.259478022448525542e-15,9.651894856407460804e-07
-9.924482013076473446e-15,9.790782582742010659e-07
-1.148565828812273436e-14,9.931668868707994464e-07
-1.377119092220016883e-14,1.007458247110638110e-06
-1.654931879487267460e-14,1.021955255996450108e-06
-1.954330041638978141e-14,1.036660872464061300e-06
-2.245281659990625738e-14,1.051578098007852187e-06
-2.498310968887032738e-14,1.066709977322656419e-06
-2.688335508137683362e-14,1.082059598963709579e-06
-2.799598339079972783e-14,1.097630096026499419e-06
-2.831892274964899098e-14,1.113424646848615462e-06
-2.808266199481266120e-14,1.129446475735627644e-06
-2.765104632558460056e-14,1.145698853519515234e-06
-2.711274951406301500e-14,1.162185097817018025e-06
-2.648549652830131187e-14,1.178908573912365152e-06
-2.577288179994946763e-14,1.195872695501294860e-06
-2.496369857925951995e-14,1.213080925387228127e-06
-2.403164573499298299e-14,1.230536776187834967e-06
-2.293551975706170774e-14,1.248243811052235641e-06
-2.162001827420867246e-14,1.266205644389112095e-06
-2.001730252437944259e-14,1.284425942606012916e-06
-1.804949022616052377e-14,1.302908424860172452e-06
-1.563227754578777042e-14,1.321656863821183930e-06
-1.267991972507286433e-14,1.340675086445911363e-06
-9.111834863957976577e-15,1.359966974766037701e-06
-4.861134818169904317e-15,1.379536466688713829e-06
1.145682883307998755e-16,1.399387556810801604e-06
5.819684339967625090e-15,1.419524297247254918e-06
1.232179211876340591e-14,1.439950798357185545e-06
2.003071189836131077e-14,1.460671229306232878e-06
2.932827780853406192e-14,1.481689819287692365e-06
4.045699863680907926e-14,1.503010858496921036e-06
5.351302841228717878e-14,1.524638699014176438e-06
6.844305781816439473e-14,1.546577755696126224e-06
8.504625337692549074e-14,1.568832507075075271e-06
1.029825659465663729e-13,1.591407496264773397e-06
1.217889516649806599e-13,1.614307331871436562e-06
1.409053003896418174e-13,1.637536688908370084e-06
1.597121525812527577e-13,1.661100309712308149e-06
1.775826095669395299e-13,1.685003004859234515e-06
1.939512087421363645e-13,1.709249654077118113e-06
2.084029495878177153e-13,1.733845207152556148e-06
2.207861240079431375e-13,1.758794684827868389e-06
2.313531316660617091e-13,1.784103179684654176e-06
2.406268206382900499e-13,1.809775857316347962e-06
2.481141884783087258e-13,1.835817958669226744e-06
2.530942974936878726e-13,1.862234800326950444e-06
2.550871802763734972e-13,1.889031775127494554e-06
2.538670067408073905e-13,1.916214353250792313e-06
2.494683180554603888e-13,1.943788083329094321e-06
2.421836206148360828e-13,1.971758593581987815e-06
2.325500569166355648e-13,2.000131592978560602e-06
2.213224861504023565e-13,2.028912872429595910e-06
2.094298706278610920e-13,2.058108306013124452e-06
1.979113684963766189e-13,2.087723852237145144e-06
1.878279713617238871e-13,2.117765555343895760e-06
1.801448895953858892e-13,2.148239546660693023e-06
1.755791694258385388e-13,2.179152046003053698e-06
1.744062146507707897e-13,2.210509363136667527e-06
1.762179711206403073e-13,2.242317899305646260e-06
1.799189258595266765e-13,2.274584148542333480e-06
1.856098402596650475e-13,2.307314697117194391e-06
1.940025884244265741e-13,2.340516225468964199e-06
2.055888399442968197e-13,2.374195510397198402e-06
2.206229170642622215e-13,2.408359426462863784e-06
2.391151276679498038e-13,2.443014947398359445e-06
2.608329925053992529e-13,2.478169147529805812e-06
2.853124739414099444e-13,2.513829203209776311e-06
3.118816691518302293e-13,2.550002394258297343e-06
3.396998351516547020e-13,2.586696105409534819e-06
3.678150722387668859e-13,2.623917827761136142e-06
3.952445129859981649e-13,2.661675160222665865e-06
4.210814531561671899e-13,2.699975810959000653e-06
4.446345270118343462e-13,2.738827598823873680e-06
4.656047815093930042e-13,2.778238454778017422e-06
4.843073518708673375e-13,2.818216423285502130e-06
5.017833140207853919e-13,2.858769663843069909e-06
5.182348062367287108e-13,2.899906454211868648e-06
5.331189617402193210e-13,2.941635192016732816e-06
5.460452037612794424e-13,2.983964395563778619e-06
5.568002961246025692e-13,3.026902705554204073e-06
5.653539244190751081e-13,3.070458886842524418e-06
5.718584962467947853e-13,3.114641830225892798e-06
5.766416017992529048e-13,3.159460554266422191e-06
5.801893120657908453e-13,3.204924207148674024e-06
5.831181917562741059e-13,3.251042068574778357e-06
5.861335630982003020e-13,3.297823551700021475e-06
5.899711701328480016e-13,3.345278205112088719e-06
5.953189555200879667e-13,3.393415714857595473e-06
6.027151670928364568e-13,3.442245906520066505e-06
6.124184527324469054e-13,3.491778747354030395e-06
6.242449720741217364e-13,3.542024348480565782e-06
6.374296448788085468e-13,3.592992967088047120e-06
6.515730559189236525e-13,3.644695007586731476e-06
6.669181907841548361e-13,3.697141023460934137e-06
6.836598963577550147e-13,3.750341720109422730e-06
7.019146468877706524e-13,3.804307957060825970e-06
7.217177978031516973e-13,3.859050750193144155e-06
7.430233408112928560e-13,3.914581273982633509e-06
7.657068419699839323e-13,3.970910863781809379e-06
7.895723602508222919e-13,4.028051018126225281e-06
8.143642758826798873e-13,4.086013401069569510e-06
8.397851074267282385e-13,4.144809844546448303e-06
8.655205662516370293e-13,4.204452350762080929e-06
8.912732892539517487e-13,4.264953094607936859e-06
9.168069079775217147e-13,4.326324426102122387e-06
9.420023576966227427e-13,4.388578872853112332e-06
9.669286068374000208e-13,4.451729142545093784e-06
9.919160587213947625e-13,4.515788125457065801e-06
1.017195790449821727e-12,4.580768897451147091e-06
1.042659333309364423e-12,4.646684722887590763e-06
1.068215072663646384e-12,4.713549056983632179e-06
1.093814686156631666e-12,4.781375548534257880e-06
1.119454799674659914e-12,4.850178042696832329e-06
1.145177308106962752e-12,4.919970583816968386e-06
1.171067993026656838e-12,4.990767418296540205e-06
1.197253006696183051e-12,5.062582997504818587e-06
1.223892720433191481e-12,5.135431980733707943e-06
1.251172354299560174e-12,5.209329238198257177e-06
1.279288713123183210e-12,5.284289854083593892e-06
1.308432249723437732e-12,5.360329129639600773e-06
1.338763558435175177e-12,5.437462586324725800e-06
1.370383269000047381e-12,5.515705969000476381e-06
1.403294160827227090e-12,5.595075249178255875e-06
1.437356907179373444e-12,5.675586628317820009e-06
1.472423438256901023e-12,5.757256541009866799e-06
1.508527291684674492e-12,5.840101658163733245e-06
1.545715998771305105e-12,5.924138890571774342e-06
1.584030981887823731e-12,6.009385392380540523e-06
1.623507291872629457e-12,6.095858564592907378e-06
1.664173560501655639e-12,6.183576058620189630e-06
1.706052227665148123e-12,6.272555779884856867e-06
1.749160113090129809e-12,6.362815891474465961e-06
1.793509414054018080e-12,6.454374817847404803e-06
1.839109223721936668e-12,6.547251248591013163e-06
1.885967679699541995e-12,6.641464142232676997e-06
1.934094869337484911e-12,6.737032730104409489e-06
1.983506637489765634e-12,6.833976520261461789e-06
2.034229464079021954e-12,6.932315301455445401e-06
2.086306603249263471e-12,7.032069147162427010e-06
2.139805715083055939e-12,7.133258419666435358e-06
2.194825613975188311e-12,7.235903774208721592e-06
2.251474149950476469e-12,7.340026163248776290e-06
2.309842798074399650e-12,7.445646840775828813e-06
2.370003593193332139e-12,7.552787366651051590e-06
2.432008229643416778e-12,7.661469611009960498e-06
2.495887761509228772e-12,7.771715758727160259e-06
2.561653072647614512e-12,7.883548313944123480e-06
2.629296314744426563e-12,7.996990104660570863e-06
2.698793544744864300e-12,8.112064287390043804e-06
2.770108830583252571e-12,8.228794351880185223e-06
2.843200136782494248e-12,8.347204125898204671e-06
2.918027349805370947e-12,8.467317780081922414e-06
2.994562857695899541e-12,8.589159832856699126e-06
3.072805160300352414e-12,8.712755155418573077e-06
3.152796056038938082e-12,8.838128976783670861e-06
3.234641998208316273e-12,8.965306888904027202e-06
3.318489940118348437e-12,9.094314851923102527e-06
3.404404780212448584e-12,9.225179199659684325e-06
3.492431450123142800e-12,9.357926644906206981e-06
3.582615586522490028e-12,9.492584284853518387e-06
3.675003524581718844e-12,9.629179606622565818e-06
3.769642288916621306e-12,9.767740492875418311e-06
3.866579581620526660e-12,9.908295227506702958e-06
3.965863766929344554e-12,1.005087250141651222e-05
4.067543851998431256e-12,1.019550141836589357e-05
4.171669463197818761e-12,1.034221150091600224e-05
4.278290817249739339e-12,1.049103269645193192e-05
4.387458686439381604e-12,1.064199538329239896e-05
4.499224357024990866e-12,1.079513037688627287e-05
4.613639579855494333e-12,1.095046893609704074e-05
4.730756512071413344e-12,1.110804276957626258e-05
4.850627648615904852e-12,1.126788404222703582e-05
4.973306521224782372e-12,1.143002538176081463e-05
5.098849825476106792e-12,1.159449988537813840e-05
5.227314355080050523e-12,1.176134112655795823e-05
5.358755923238202785e-12,1.193058316191627786e-05
5.493229250216937790e-12,1.210226053815923706e-05
5.630787882076798395e-12,1.227640829913557401e-05
5.771484150432712732e-12,1.245306199298974743e-05
5.915369184859792968e-12,1.263225767941695838e-05
6.062492991536417285e-12,1.281403193702123571e-05
6.212904613964888144e-12,1.299842187077790475e-05
6.366652394163101295e-12,1.318546511960150139e-05
6.523784355615324457e-12,1.337519986402036670e-05
6.684348732547016941e-12,1.356766483395896194e-05
6.848394673793183811e-12,1.376289931662907319e-05
7.015973153712293534e-12,1.396094316453074736e-05
7.187138127314581951e-12,1.416183680356407934e-05
7.361891416131103426e-12,1.436562124132638256e-05
7.539933234794149655e-12,1.457233807583116162e-05
7.720953921822796821e-12,1.478202950372355086e-05
7.904784343858882547e-12,1.499473832872400977e-05
8.091403763220968871e-12,1.521050797035892026e-05
8.280943691635612420e-12,1.542938247282032597e-05
8.473686845750133233e-12,1.565140651395740388e-05
8.670059904284160504e-12,1.587662541440248531e-05
8.870618547670112510e-12,1.610508514683479277e-05
9.076023012000701641e-12,1.633683234538532114e-05
9.287002106392799842e-12,1.657191431518649044e-05
9.504303322431610361e-12,1.681037904207043589e-05
9.728626301660956255e-12,1.705227520242035008e-05
9.960536517116950081e-12,1.729765217317937324e-05
1.020035556209075464e-11,1.754656004202225617e-05
1.044802391746279245e-11,1.779904961769513883e-05
1.070309063766567215e-11,1.805517244037350630e-05
1.096590466763124471e-11,1.831498079102519952e-05
1.123724736765883639e-11,1.857852770253589825e-05
1.151770346328124913e-11,1.884586697118192488e-05
1.180764360085546391e-11,1.911705316763207075e-05
1.210721793132649684e-11,1.939214164809496309e-05
1.241635679320466077e-11,1.967118856561786113e-05
1.273478039897881748e-11,1.995425088153675601e-05
1.306201975105096606e-11,2.024138637707722558e-05
1.339745137934197606e-11,2.053265366510535639e-05
1.374034890836259918e-11,2.082811220202723519e-05
1.408995493275445208e-11,2.112782229983507884e-05
1.444557721373611634e-11,2.143184513829748516e-05
1.480671381193524507e-11,2.174024277729059952e-05
1.517321245296384865e-11,2.205307816926592825e-05
1.554547018992070055e-11,2.237041517184992326e-05
1.592454084599182607e-11,2.269231856072474762e-05
1.631053418162339870e-11,2.301885404464274777e-05
1.670271615225595129e-11,2.335008827886108723e-05
1.710061875297388351e-11,2.368608887756362366e-05
1.750408296550902333e-11,2.402692442762020353e-05
1.791326886011431965e-11,2.437266450257850127e-05
1.832865588572946637e-11,2.472337967686560062e-05
1.875103069097787030e-11,2.507914154020422776e-05
1.918145936792365907e-11,2.544002271224932814e-05
1.962124049792480215e-11,2.580609685745095363e-05
2.007183479679319934e-11,2.617743870014994481e-05
2.053476649641430225e-11,2.655412403991356745e-05
2.101149085264495510e-11,2.693622976711890289e-05
2.150322132431770291e-11,2.732383387879260122e-05
2.201070901399797911e-11,2.771701549471613883e-05
2.253396588496442890e-11,2.811585487380733391e-05
2.307200279479693402e-11,2.852043343071128243e-05
2.362432032820645926e-11,2.893083375098008645e-05
2.419158780222392825e-11,2.934713960744146085e-05
2.477442775141258921e-11,2.976943597855187735e-05
2.537334990676838947e-11,3.019780906581475687e-05
2.598874693994473205e-11,3.063234631138447731e-05
2.662089399410260286e-11,3.107313641591674241e-05
2.726995303797062606e-11,3.152026935666661981e-05
2.793598325608992878e-11,3.197383640583591500e-05
2.861895888891366058e-11,3.243393014917096218e-05
2.931879616439386035e-11,3.290064450481147896e-05
3.003539122121830959e-11,3.337407474239093577e-05
3.076867121662247500e-11,3.385431750238813482e-05
3.151866114277468314e-11,3.434147081572937529e-05
