Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
8.329007104048120905e-14,9.648189951009185100e-07
8.526849016758804005e-14,9.785146244935342653e-07
8.729314771922333894e-14,9.924046636881372889e-07
8.936538948131428537e-14,1.006491872338188462e-06
9.148667232665400035e-14,1.020779049270879182e-06
9.365854307807016126e-14,1.035269033043105366e-06
9.588260819848289562e-14,1.049964702505291334e-06
9.816049247951567218e-14,1.064868977373170291e-06
1.004937846265776356e-13,1.079984818807629842e-06
1.028839673295469317e-13,1.095315230002718021e-06
1.053323290602933281e-13,1.110863256781923154e-06
1.078398544467753990e-13,1.126631988202829380e-06
1.104071859661578751e-13,1.142624557170825274e-06
1.130350651426136971e-13,1.158844141063922777e-06
1.157244511273364362e-13,1.175293962363921892e-06
1.184764871673494812e-13,1.191977289296279283e-06
1.212925090392538474e-13,1.208897436479458125e-06
1.241740492505247921e-13,1.226057765583479917e-06
1.271228357984132846e-13,1.243461685997814199e-06
1.301407840719045064e-13,1.261112655508726232e-06
1.332299802477601646e-13,1.279014180986219875e-06
1.363926542655965186e-13,1.297169819080703122e-06
1.396311401654142651e-13,1.315583176929508663e-06
1.429478212298028750e-13,1.334257912873406252e-06
1.463450569874989680e-13,1.353197737183237331e-06
1.498250886999029967e-13,1.372406412796810405e-06
1.533899194617871695e-13,1.391887756066188654e-06
1.570411644953789230e-13,1.411645637515514013e-06
1.607799017734788334e-13,1.431683982609630058e-06
1.646070982382770619e-13,1.452006772535571766e-06
1.685240694711195376e-13,1.472618044994490490e-06
1.725324005435480293e-13,1.493521895003229830e-06
1.766339558371769587e-13,1.514722475707923435e-06
1.808308874909417112e-13,1.536223999209149933e-06
1.851256364796512531e-13,1.558030737398786456e-06
1.895209243514680976e-13,1.580147022808727598e-06
1.940197333219604206e-13,1.602577249471634583e-06
1.986252720476069108e-13,1.625325873793877680e-06
2.033409239767267910e-13,1.648397415440842543e-06
2.081701746947590555e-13,1.671796458234769254e-06
2.131165141370028125e-13,1.695527651065299615e-06
2.181833089279795126e-13,1.719595708812899545e-06
2.233736394143155219e-13,1.744005413285336807e-06
2.286900951784181449e-13,1.768761614167384082e-06
2.341345267335725736e-13,1.793869229983960658e-06
2.397082641512080051e-13,1.819333249079175246e-06
2.454130831782016014e-13,1.845158730609483972e-06
2.512511778181474344e-13,1.871350805545909499e-06
2.572251455814516673e-13,1.897914677693076931e-06
2.633380029303553497e-13,1.924855624723066658e-06
2.695931907916439147e-13,1.952178999223962152e-06
2.759945673937542640e-13,1.979890229763314235e-06
2.825463852215087151e-13,2.007994821966716414e-06
2.892532483550479164e-13,2.036498359611742422e-06
2.961200458620521421e-13,2.065406505737443339e-06
3.031518562356129310e-13,2.094725003769657966e-06
3.103538171047075890e-13,2.124459678662348639e-06
3.177309535797348123e-13,2.154616438055225068e-06
3.252879576203992205e-13,2.185201273447877689e-06
3.330289097145597338e-13,2.216220261390686928e-06
3.409569329202451616e-13,2.247679564692757411e-06
3.490740641768578402e-13,2.279585433644911559e-06
3.573826415062331573e-13,2.311944207253990243e-06
3.658856931096641166e-13,2.344762314508627049e-06
3.745868292822364902e-13,2.378046275659295483e-06
3.834902691777697272e-13,2.411802703513841627e-06
3.926008542177143244e-13,2.446038304751365228e-06
4.019240443158518506e-13,2.480759881254663929e-06
4.114658924494414673e-13,2.515974331461517214e-06
4.212329923666137075e-13,2.551688651735026900e-06
4.312323933789285036e-13,2.587909937753283103e-06
4.414714752350728043e-13,2.624645385918587778e-06
4.519577749933679671e-13,2.661902294786492051e-06
4.626987565922867987e-13,2.699688066514890446e-06
4.737015124431502713e-13,2.738010208333402390e-06
4.849723848193844730e-13,2.776876334033307834e-06
4.965164930719577539e-13,2.816294165478245333e-06
5.083372577831845809e-13,2.856271534136702170e-06
5.204377301029244055e-13,2.896816382647224942e-06
5.328220646812191586e-13,2.937936766400187522e-06
5.454952683492959632e-13,2.979640855133614679e-06
5.584632303928703123e-13,3.021936934556255604e-06
5.717327494066245326e-13,3.064833407993809383e-06
5.853115369074996109e-13,3.108338798058491734e-06
5.992081914814637291e-13,3.152461748342254715e-06
6.134321361966893643e-13,3.197211025133998640e-06
6.279935108329394936e-13,3.242595519161095538e-06
6.429030091355051991e-13,3.288624247355565079e-06
6.581716497833317464e-13,3.335306354645232465e-06
6.738104680440917207e-13,3.382651115770216423e-06
6.898301131506138664e-13,3.430667937125069161e-06
7.062403342475142403e-13,3.479366358626933796e-06
7.230493352953981254e-13,3.528756055610051271e-06
7.402629904773876688e-13,3.578846840746969154e-06
7.578855056247382399e-13,3.629648665997957041e-06
7.759224818232383942e-13,3.681171624591976069e-06
7.943808457937682884e-13,3.733425953033964887e-06
8.132688003753491983e-13,3.786422033138809281e-06
8.325958736066456089e-13,3.840170394094087634e-06
8.523729364435347681e-13,3.894681714552022921e-06
8.726121804435582773e-13,3.949966824751057569e-06
8.933270452830527459e-13,4.006036708667428101e-06
9.145320843080349568e-13,4.062902506197152083e-06
9.362427544313202680e-13,4.120575515368828849e-06
9.584751145491941378e-13,4.179067194587666103e-06
9.812454142314966872e-13,4.238389164911133881e-06
1.004569551706241941e-12,4.298553212356645677e-06
1.028462377077316484e-12,4.359571290241695328e-06
1.052936813240727246e-12,4.421455521556825747e-06
1.078002763056420356e-12,4.484218201371869957e-06
1.103666680004076554e-12,4.547871799280491560e-06
1.129935936867787642e-12,4.612428961895166024e-06
1.156820096654878947e-12,4.677902515350800016e-06
1.184330562025239309e-12,4.744305467847974925e-06
1.212480660173505937e-12,4.811651012237293515e-06
1.241285685597232549e-12,4.879952528640486111e-06
1.270762888636618641e-12,4.949223587108748117e-06
1.300931395672456993e-12,5.019477950318916190e-06
1.331812044528984140e-12,5.090729576307989599e-06
1.363427115972389229e-12,5.162992621246563426e-06
1.395799939185779482e-12,5.236281442251789408e-06
1.428954345695471011e-12,5.310610600240391277e-06
1.462913942374758845e-12,5.385994862822384260e-06
1.497701169808086624e-12,5.462449207236057795e-06
1.533336107403157610e-12,5.539988823324916026e-06
1.569834981127362835e-12,5.618629116557132569e-06
1.607208648434260800e-12,5.698385711086375219e-06
1.645466734675844830e-12,5.779274452833747187e-06
1.684622353088942509e-12,5.861311412642618063e-06
1.724691313869975021e-12,5.944512889489908678e-06
1.765692217628327732e-12,6.028895413725244198e-06
1.807646540837499589e-12,6.114475750355437880e-06
1.850578647910052255e-12,6.201270902375364276e-06
1.894515710228089315e-12,6.289298114145809744e-06
1.939487509168939661e-12,6.378574874818861822e-06
1.985526096426928814e-12,6.469118921811480385e-06
2.032665280692817484e-12,6.560948244327794372e-06
2.080939904953054675e-12,6.654081086930744108e-06
2.130384873245192516e-12,6.748535953163584225e-06
2.181033879580142938e-12,6.844331609221883295e-06
2.232917784834776080e-12,6.941487087676500449e-06
2.286062579639311458e-12,7.040021691248120042e-06
2.340486903060746066e-12,7.139954996634066045e-06
2.396204050161078221e-12,7.241306858411938083e-06
2.453231697701721290e-12,7.344097413019842122e-06
2.511591723017932667e-12,7.448347082741365394e-06
2.571310035978502942e-12,7.554076579760527247e-06
2.632416734811948100e-12,7.661306910277059076e-06
2.694946162988020960e-12,7.770059378679956727e-06
2.758936839784962999e-12,7.880355591780115993e-06
2.824431232546678328e-12,7.992217463102759320e-06
2.891475333377004922e-12,8.105667217240548189e-06
2.960117997054218159e-12,8.220727394268115544e-06
3.030409990193528884e-12,8.337420854218853457e-06
3.102402694044716140e-12,8.455770781624730203e-06
3.176146394682020596e-12,8.575800690119978701e-06
3.251688084608366771e-12,8.697534427109418657e-06
3.329068688827867343e-12,8.820996178502235713e-06
3.408319616097137408e-12,8.946210473511991796e-06
3.489461329611697830e-12,9.073202189528467254e-06
3.572517078334570770e-12,9.201996557082798585e-06
3.657517056788419117e-12,9.332619164863912485e-06
3.744497275322924860e-12,9.465095964799754522e-06
3.833499829361555019e-12,9.599453277213720789e-06
3.924573035842699057e-12,9.735717796054105488e-06
4.017771398470241493e-12,9.873916594197558870e-06
4.113155357190363558e-12,1.001407712882755332e-05
4.210790769918083547e-12,1.015622724688885033e-05
4.310748066145119273e-12,1.030039519061898649e-05
4.413101002550159073e-12,1.044660960315779659e-05
4.517924939970705107e-12,1.059489953423595986e-05
4.625294548934738163e-12,1.074529444594358573e-05
4.735280837226568009e-12,1.089782421857989109e-05
4.847947377492766792e-12,1.105251915658490599e-05
4.963345595479541695e-12,1.120940999455427150e-05
5.081509946992148538e-12,1.136852790333938977e-05
5.202470802672061770e-12,1.152990449625770526e-05
5.326269565184347129e-12,1.169357183539245466e-05
5.452956168421772704e-12,1.185956243795870909e-05
5.582589364925522950e-12,1.202790928276417371e-05
5.715236997602371834e-12,1.219864581676165854e-05
5.850976039928681755e-12,1.237180596169433132e-05
5.989892342541016138e-12,1.254742412083488286e-05
6.132080013716755889e-12,1.272553518581994612e-05
6.277640349440370004e-12,1.290617454358097553e-05
6.426680215362708075e-12,1.308937808337289080e-05
6.579309767803009698e-12,1.327518220390164910e-05
6.735639383807529777e-12,1.346362382055213647e-05
6.895775650932099506e-12,1.365474037271752015e-05
7.059816245601015494e-12,1.384856983123139182e-05
7.227843504326030636e-12,1.404515070590385194e-05
7.399916581816815904e-12,1.424452205316292595e-05
7.576077510593531192e-12,1.444672348381639815e-05
7.756382041077160411e-12,1.465179517095692965e-05
7.940899239829702278e-12,1.485977785795385148e-05
8.129710927603882809e-12,1.507071286654871923e-05
8.322912174553437346e-12,1.528464210506581860e-05
8.520611482971651063e-12,1.550160807673875166e-05
8.722930571058291520e-12,1.572165388815445581e-05
8.930003656590995117e-12,1.594482325781641544e-05
9.141976122758330415e-12,1.617116052482830147e-05
9.359002429558252065e-12,1.640071065769978004e-05
9.581243112809713562e-12,1.663351926327580850e-05
9.808860688670964491e-12,1.686963259579099409e-05
1.004201425427533426e-11,1.710909756605042480e-05
1.028085254431920468e-11,1.735196175073847678e-05
1.052550516876192938e-11,1.759827340185687218e-05
1.077607171777457122e-11,1.784808145629347820e-05
1.103261702783544650e-11,1.810143554553902181e-05
1.129521441708119969e-11,1.835838600562401617e-05
1.156395924645858727e-11,1.861898388713375630e-05
1.183896525516452000e-11,1.888328096534193660e-05
1.212036541414586461e-11,1.915132975049841160e-05
1.240831236115225158e-11,1.942318349826248014e-05
1.270297829564531321e-11,1.969889622028339417e-05
1.300455419280103174e-11,1.997852269493016560e-05
1.331324817249392608e-11,2.026211847817247354e-05
1.362928283264944427e-11,2.054973991461460340e-05
1.395289132631618359e-11,2.084144414868428457e-05
1.428431192782207534e-11,2.113728913597826982e-05
1.462378079497266944e-11,2.143733365476656739e-05
1.497152259090688864e-11,2.174163731765703337e-05
1.532773858037314338e-11,2.205026058342221827e-05
1.569259176018918300e-11,2.236326476899004676e-05
1.606619151344638094e-11,2.268071206160291126e-05
1.644863366260923757e-11,2.300266553121036361e-05
1.684004888196256670e-11,2.332918914308006693e-05
1.724059484761718278e-11,2.366034777051467388e-05
1.765045712191957279e-11,2.399620720774311587e-05
1.806985001801492038e-11,2.433683418299406197e-05
1.849901673346579391e-11,2.468229637175354979e-05
