Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
-9.259274908806118365e-15,9.651894856404705829e-07
-9.924227422222541065e-15,9.790782582738559000e-07
-1.148536205868220051e-14,9.931668868703922354e-07
-1.377086807201468845e-14,1.007458247110180924e-06
-1.654898919655640923e-14,1.021955255995962217e-06
-1.954298776274634004e-14,1.036660872463565151e-06
-2.245254646301674985e-14,1.051578098007374037e-06
-2.498290644174342852e-14,1.066709977322221891e-06
-2.688323741113785046e-14,1.082059598963339002e-06
-2.799595808686243926e-14,1.097630096026202322e-06
-2.831897639845775560e-14,1.113424646848381045e-06
-2.808275099743301076e-14,1.129446475735413980e-06
-2.765114398578368516e-14,1.145698853519297123e-06
-2.711285459488560761e-14,1.162185097816795044e-06
-2.648561059541059417e-14,1.178908573912140477e-06
-2.577300871073483312e-14,1.195872695501073996e-06
-2.496384391057493354e-14,1.213080925387018063e-06
-2.403181615657653062e-14,1.230536776187643749e-06
-2.293572236078954391e-14,1.248243811052071952e-06
-2.162025987302991300e-14,1.266205644388984404e-06
-2.001758893914931895e-14,1.284425942605928636e-06
-1.804982558373322673e-14,1.302908424860136453e-06
-1.563266361775654470e-14,1.321656863821199600e-06
-1.268035534357538117e-14,1.340675086445978702e-06
-9.112315459135960411e-15,1.359966974766152897e-06
-4.861652131337603630e-15,1.379536466688869260e-06
1.140262508231957170e-16,1.399387556810987316e-06
5.819133006496909130e-15,1.419524297247457358e-06
1.232122131113872942e-14,1.439950798357417632e-06
2.003010138804864522e-14,1.460671229306518328e-06
2.932762558413363238e-14,1.481689819288038802e-06
4.045631699660116359e-14,1.503010858497322106e-06
5.351233982218617552e-14,1.524638699014615836e-06
6.844239065487201769e-14,1.546577755696581928e-06
8.504563771151147564e-14,1.568832507075522928e-06
1.029820295653353637e-13,1.591407496265188867e-06
1.217885165731708530e-13,1.614307331871800998e-06
1.409049801002186791e-13,1.637536688908671205e-06
1.597119505568956597e-13,1.661100309712540448e-06
1.775825192594990322e-13,1.685003004859401592e-06
1.939512157617228139e-13,1.709249654077229074e-06
2.084030366348134696e-13,1.733845207152621581e-06
2.207862793173102806e-13,1.758794684827892953e-06
2.313533618462651780e-13,1.784103179684624741e-06
2.406271281749962257e-13,1.809775857316257542e-06
2.481145433798913409e-13,1.835817958669099053e-06
2.530946767931429949e-13,1.862234800326800308e-06
2.550875669617856508e-13,1.889031775127329383e-06
2.538673883429928830e-13,1.916214353250614013e-06
2.494686852563608863e-13,1.943788083328901621e-06
2.421839659524046408e-13,1.971758593581779021e-06
2.325503736808313201e-13,2.000131592978334445e-06
2.213227675869173582e-13,2.028912872429354506e-06
2.094301095917635123e-13,2.058108306012872036e-06
1.979115577274576414e-13,2.087723852236888070e-06
1.878281045875054152e-13,2.117765555343645462e-06
1.801449637070911423e-13,2.148239546660458819e-06
1.755791880178181488e-13,2.179152046002841093e-06
1.744061932656560498e-13,2.210509363136471438e-06
1.762179446017125255e-13,2.242317899305439584e-06
1.799189258957349882e-13,2.274584148542090805e-06
1.856098536693961618e-13,2.307314697116932658e-06
1.940026094418196974e-13,2.340516225468696961e-06
2.055888698900732799e-13,2.374195510396931586e-06
2.206229620187404648e-13,2.408359426462599510e-06
2.391151961179327883e-13,2.443014947398098559e-06
2.608330930621782968e-13,2.478169147529547043e-06
2.853126132522372782e-13,2.513829203209520083e-06
3.118818501565195331e-13,2.550002394258045774e-06
3.397000558700591816e-13,2.586696105409294685e-06
3.678153253144000914e-13,2.623917827760916761e-06
3.952447862567220707e-13,2.661675160222478247e-06
4.210817315754936009e-13,2.699975810958858351e-06
4.446347963048705965e-13,2.738827598823786859e-06
4.656050340168147735e-13,2.778238454777989894e-06
4.843075951136723758e-13,2.818216423285522883e-06
5.017835649132086060e-13,2.858769663843120731e-06
5.182350461627414412e-13,2.899906454211969445e-06
5.331191698917883169e-13,2.941635192016905188e-06
5.460453621171482882e-13,2.983964395564043317e-06
5.568003911672341921e-13,3.026902705554574650e-06
5.653539486692446820e-13,3.070458886843011462e-06
5.718584495023191535e-13,3.114641830226498003e-06
5.766414919399030501e-13,3.159460554267138781e-06
5.801891552581823669e-13,3.204924207149486329e-06
5.831180118599843562e-13,3.251042068575662236e-06
5.861333900369189990e-13,3.297823551700947282e-06
5.899710369514456171e-13,3.345278205113021302e-06
5.953188937993551766e-13,3.393415714858501375e-06
6.027152003375351651e-13,3.442245906520917773e-06
6.124185872843475137e-13,3.491778747354817289e-06
6.242451850289090314e-13,3.542024348481308630e-06
6.374298874645454120e-13,3.592992967088788698e-06
6.515733324065109048e-13,3.644695007587462889e-06
6.669185099881924590e-13,3.697141023461640562e-06
6.836602623915094739e-13,3.750341720110095274e-06
7.019150595045115003e-13,3.804307957061456586e-06
7.217182528384471266e-13,3.859050750193728608e-06
7.430238307329399093e-13,3.914581273983173916e-06
7.657073565416408057e-13,3.970910863782308282e-06
7.895728873145781436e-13,4.028051018126688608e-06
8.143648022646856354e-13,4.086013401070005732e-06
8.397856199685741596e-13,4.144809844546867584e-06
8.655210529683519986e-13,4.204452350762495128e-06
8.912737406172513780e-13,4.264953094608351058e-06
9.168073183201751385e-13,4.326324426102545904e-06
9.420027267304699019e-13,4.388578872853544319e-06
9.669289412735418060e-13,4.451729142545529159e-06
9.919163711826234771e-13,4.515788125457489318e-06
1.017196079669561688e-12,4.580768897451554513e-06
1.042659595416542641e-12,4.646684722887980398e-06
1.068215304827042938e-12,4.713549056983998944e-06
1.093814886445763111e-12,4.781375548534593305e-06
1.119454966912105937e-12,4.850178042697129638e-06
1.145177441717462656e-12,4.919970583817218261e-06
1.171068092889867557e-12,4.990767418296737564e-06
1.197253073011827303e-12,5.062582997504956653e-06
1.223892753609478253e-12,5.135431980733783329e-06
1.251172354878262476e-12,5.209329238198267341e-06
1.279288681757672549e-12,5.284289854083542223e-06
1.308432187229342061e-12,5.360329129639490658e-06
1.338763465937210521e-12,5.437462586324562323e-06
1.370383148203052370e-12,5.515705969000268011e-06
1.403294014444566784e-12,5.595075249178006001e-06
1.437356739275598904e-12,5.675586628317532865e-06
1.472423251295621878e-12,5.757256541009545774e-06
1.508527088625076069e-12,5.840101658163385115e-06
1.545715783746914946e-12,5.924138890571405883e-06
1.584030759751212891e-12,6.009385392380161053e-06
1.623507067718981910e-12,6.095858564592527907e-06
1.664173339184461102e-12,6.183576058619816935e-06
1.706052013320996484e-12,6.272555779884498572e-06
1.749159908693993914e-12,6.362815891474129689e-06
1.793509221031546137e-12,6.454374817847093095e-06
1.839109041651214866e-12,6.547251248590723478e-06
1.885967506141719982e-12,6.641464142232406794e-06
1.934094699843623058e-12,6.737032730104154532e-06
1.983506465840470630e-12,6.833976520261211067e-06
2.034229282823984246e-12,6.932315301455189597e-06
2.086306404625934233e-12,7.032069147162155960e-06
2.139805492392539232e-12,7.133258419666141438e-06
2.194825361096361740e-12,7.235903774208398025e-06
2.251473858004354661e-12,7.340026163248417995e-06
2.309842455887689020e-12,7.445646840775424778e-06
2.370003188389083874e-12,7.552787366650587415e-06
2.432007749765513449e-12,7.661469611009420091e-06
2.495887195145062697e-12,7.771715758726533454e-06
2.561652410503710940e-12,7.883548313943395031e-06
2.629295550618544064e-12,7.996990104659728912e-06
2.698792676325009635e-12,8.112064287389083268e-06
2.770107859988886633e-12,8.228794351879097633e-06
2.843199070745651896e-12,8.347204125896998496e-06
2.918026199369137119e-12,8.467317780080599348e-06
2.994561637284417114e-12,8.589159832855274417e-06
3.072803885987769867e-12,8.712755155417061971e-06
3.152794742814092040e-12,8.838128976782097073e-06
3.234640656035173979e-12,8.965306888902411063e-06
3.318488577846529542e-12,9.094314851921459284e-06
3.404403415062117898e-12,9.225179199658042775e-06
3.492430105299933139e-12,9.357926644904592537e-06
3.582614288993833529e-12,9.492584284851963235e-06
3.675002302745333397e-12,9.629179606621107227e-06
3.769641170224834909e-12,9.767740492874088469e-06
3.866578590242303116e-12,9.908295227505532359e-06
3.965862921553157672e-12,1.005087250141552119e-05
4.067543163904024445e-12,1.019550141836509905e-05
4.171668934753774429e-12,1.034221150091540254e-05
4.278290441027334199e-12,1.049103269645151688e-05
4.387458445171916685e-12,1.064199538329214316e-05
4.499224224686388186e-12,1.079513037688614412e-05
4.613639524183274505e-12,1.095046893609700008e-05
4.730756498917943480e-12,1.110804276957626258e-05
4.850627648579101777e-12,1.126788404222703582e-05
4.973306513086041658e-12,1.143002538176078922e-05
5.098849779874424797e-12,1.159449988537804692e-05
5.227314232110881444e-12,1.176134112655774139e-05
5.358755676150726580e-12,1.193058316191587975e-05
5.493228829301649922e-12,1.210226053815858653e-05
5.630787238639535909e-12,1.227640829913459992e-05
5.771483240721303244e-12,1.245306199298839387e-05
5.915367973774385418e-12,1.263225767941517453e-05
6.062491455913526295e-12,1.281403193701898599e-05
6.212902745177438361e-12,1.299842187077517560e-05
6.366650199723425874e-12,1.318546511959830300e-05
6.523781859404076791e-12,1.337519986401672784e-05
6.684345973217280767e-12,1.356766483395494022e-05
6.848391700814241209e-12,1.376289931662473130e-05
7.015970020420373161e-12,1.396094316452616153e-05
7.187134880226616107e-12,1.416183680355932410e-05
7.361888094697252418e-12,1.436562124132149518e-05
7.539929895750920723e-12,1.457233807582619123e-05
7.720950630130554317e-12,1.478202950371856523e-05
7.904781168309011594e-12,1.499473832871910206e-05
8.091400772087737461e-12,1.521050797035418704e-05
8.280940948284173557e-12,1.542938247281588074e-05
8.473684404356109218e-12,1.565140651395334828e-05
8.670057805859666940e-12,1.587662541439890067e-05
8.870616816637088296e-12,1.610508514683174346e-05
9.076021653605596358e-12,1.633683234538284442e-05
9.287001105318613151e-12,1.657191431518458631e-05
9.504302643034405885e-12,1.681037904206907047e-05
9.728625890340084613e-12,1.705227520241945900e-05
9.960536307422451347e-12,1.729765217317886502e-05
1.020035548327928163e-11,1.754656004202202578e-05
1.044802390733682705e-11,1.779904961769509478e-05
1.070309065545528498e-11,1.805517244037360455e-05
1.096590466766203457e-11,1.831498079102536554e-05
1.123724728535593256e-11,1.857852770253605072e-05
1.151770322183750185e-11,1.884586697118195876e-05
1.180764311837748675e-11,1.911705316763186407e-05
1.210721712806649357e-11,1.939214164809440066e-05
1.241635559860968599e-11,1.967118856561682097e-05
1.273477875822025927e-11,1.995425088153514665e-05
1.306201763061695900e-11,2.024138637707495553e-05
1.339744877118220456e-11,2.053265366510238500e-05
1.374034583196681171e-11,2.082811220202354213e-05
1.408995143442149526e-11,2.112782229983068105e-05
1.444557336214647009e-11,2.143184513829244362e-05
1.480670968897513551e-11,2.174024277728501249e-05
1.517320813855975272e-11,2.205307816925991093e-05
1.554546573942679522e-11,2.237041517184361794e-05
1.592453628154006533e-11,2.269231856071825257e-05
1.631052956952078726e-11,2.301885404463611720e-05
1.670271157337233809e-11,2.335008827885439906e-05
1.710061429288796272e-11,2.368608887755699308e-05
1.750407870982632399e-11,2.402692442761375253e-05
1.791326488972175456e-11,2.437266450257236536e-05
1.832865227214930414e-11,2.472337967685990856e-05
1.875102749202572534e-11,2.507914154019908796e-05
1.918145662392350704e-11,2.544002271224484564e-05
1.962123822879038945e-11,2.580609685744718942e-05
2.007183300035073733e-11,2.617743870014691243e-05
2.053476514841636128e-11,2.655412403991126014e-05
2.101148990901259898e-11,2.693622976711726981e-05
2.150322072624731137e-11,2.732383387879155090e-05
2.201070869668358946e-11,2.771701549471557979e-05
2.253396579081697078e-11,2.811585487380717128e-05
2.307200289069181118e-11,2.852043343071145184e-05
2.362432059458653707e-11,2.893083375098056418e-05
2.419158821115436747e-11,2.934713960744218252e-05
2.477442826804873289e-11,2.976943597855279214e-05
2.537335049209925608e-11,3.019780906581579025e-05
2.598874755363601264e-11,3.063234631138556828e-05
2.662089459735198514e-11,3.107313641591780628e-05
2.726995359626444811e-11,3.152026935666760914e-05
2.793598374172219603e-11,3.197383640583678237e-05
2.861895928309601878e-11,3.243393014917166013e-05
2.931879645874736733e-11,3.290064450481199396e-05
3.003539141839401782e-11,3.337407474239128136e-05
3.076867132974746939e-11,3.385431750238833133e-05
3.151866119336224475e-11,3.434147081572946339e-05
3.228556926353755924e-11,3.483563412363972084e-05
3.306989439487908545e-11,3.533690829774124143e-05
3.387254547801543372e-11,3.584539566041526534e-05
3.469440179242004635e-11,3.636120000630372771e-05
3.553586670901394489e-11,3.688442662433931847e-05
3.639733046019231294e-11,3.741518231869682870e-05
3.727921175242546000e-11,3.795357543054735555e-05
3.818195860121646341e-11,3.849971586017801877e-05
3.910604851786055942e-11,3.905371508942649564e-05
