Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.131288467228302030e-11,9.563927620006508025e-07
3.200598064383407866e-11,9.699195231689731295e-07
3.271391076772900723e-11,9.836370560649419632e-07
3.343692490110771284e-11,9.975481464494591144e-07
3.417541205781894216e-11,1.011655703543219300e-06
3.492978037489879562e-11,1.025962702316515266e-06
3.570045856220428566e-11,1.040472186648380574e-06
3.648789746447495087e-11,1.055187272698979071e-06
3.729256449224653093e-11,1.070111150269061214e-06
3.811453460333640573e-11,1.085246862584414993e-06
3.895400244132761270e-11,1.100597250886691532e-06
3.981139747419548520e-11,1.116165192978186838e-06
4.068716817247171756e-11,1.131953583677950132e-06
4.158178339047229672e-11,1.147965332891767387e-06
4.249573385452156927e-11,1.164203363489863961e-06
4.342951766412344654e-11,1.180670619546670848e-06
4.438319018848930290e-11,1.197370440102224054e-06
4.535703536565664371e-11,1.214306267341483381e-06
4.635156806270594562e-11,1.231481492802007825e-06
4.736732833637480791e-11,1.248899563992046916e-06
4.840488334828071676e-11,1.266563985916563960e-06
4.946482942911267884e-11,1.284478322680716624e-06
5.054768484298872234e-11,1.302646161910011625e-06
5.165342663244119444e-11,1.321070946135453274e-06
5.278252666749817277e-11,1.339756317792399224e-06
5.393558281998662824e-11,1.358706009339811298e-06
5.511322232787066794e-11,1.377923812159601075e-06
5.631610402772966515e-11,1.397413577931776869e-06
5.754492069462773610e-11,1.417179220093268669e-06
5.879992184235790934e-11,1.437224837548335856e-06
6.008132080197931473e-11,1.457554411292202159e-06
6.138977256938537217e-11,1.478171757206335348e-06
6.272596272923813196e-11,1.499080717007904519e-06
6.409060974839631645e-11,1.520285156081623080e-06
6.548446744806921353e-11,1.541788961089900352e-06
6.690806017283943701e-11,1.563596061699060689e-06
6.836143426519929783e-11,1.585710754843310620e-06
6.984531121198815178e-11,1.608137654182166412e-06
7.136049158647921500e-11,1.630881481863838903e-06
7.290781763485036367e-11,1.653947069519905772e-06
7.448817651644857389e-11,1.677339363651769806e-06
7.610228353345805096e-11,1.701063324523153013e-06
7.775015927568528557e-11,1.725123427268272880e-06
7.943255436894602922e-11,1.749524244816228690e-06
8.115034725009265460e-11,1.774270421029321167e-06
8.290445963752673688e-11,1.799366640641305995e-06
8.469585983663877297e-11,1.824817627595293034e-06
8.652528196453154323e-11,1.850628264377914494e-06
8.839281347886727056e-11,1.876803871870914761e-06
9.029934011729129757e-11,1.903349623189358413e-06
9.224585826275443023e-11,1.930270739295117522e-06
9.423341409436672916e-11,1.957572513629108134e-06
9.626310741581609668e-11,1.985260313030971125e-06
9.833550572936521552e-11,2.013339445442125893e-06
1.004508734848281534e-10,2.041815357590818392e-06
1.026103061766574517e-10,2.070693864740286582e-06
1.048149625407069826e-10,2.099980894763847696e-06
1.070660624662646118e-10,2.129682490446839449e-06
1.093648262029610465e-10,2.159804807640952608e-06
