Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.077337059582083284e-11,9.576385759329608498e-07
3.145903368610580364e-11,9.714191157433954139e-07
3.215944950155562055e-11,9.853979624742651175e-07
3.287499671552443939e-11,9.995779699820529098e-07
3.360607235806332122e-11,1.013962033206499616e-06
3.435309322001300001e-11,1.028553088763164046e-06
3.511649736809661775e-11,1.043354115544619454e-06
3.589674577919468426e-11,1.058368135330416996e-06
3.669432410255018151e-11,1.073598213405949600e-06
3.750974455925481120e-11,1.089047459190355165e-06
3.834354798900936084e-11,1.104719026873598411e-06
3.919628870045388713e-11,1.120616116040643531e-06
4.006751986262398301e-11,1.136741971030909241e-06
4.095709051036387898e-11,1.153099883275945038e-06
4.186542147380574586e-11,1.169693192311766225e-06
4.279295102110023915e-11,1.186525285747341319e-06
4.374013616947139708e-11,1.203599599957878570e-06
4.470745410318829704e-11,1.220919620788207834e-06
4.569540370654489278e-11,1.238488884266417269e-06
4.670450722050940214e-11,1.256310977327904720e-06
4.773531203231087312e-11,1.274389538549997111e-06
4.878839260787915682e-11,1.292728258897305137e-06
4.986435257774482351e-11,1.311330882477982016e-06
5.096382698774194268e-11,1.330201207311053604e-06
5.208748472664197211e-11,1.349343086104986725e-06
5.323603114368421102e-11,1.368760427047684404e-06
5.441021086986025748e-11,1.388457194608078460e-06
5.561080978098383311e-11,1.408437410347995128e-06
5.683738756468433017e-11,1.428705151967288676e-06
5.808947156316768476e-11,1.449264555811889446e-06
5.936764528137882538e-11,1.470119819242194582e-06
6.067251733844240280e-11,1.491275200044153342e-06
6.200472341408870691e-11,1.512735017301086340e-06
6.336492835504926368e-11,1.534503652278235284e-06
6.475382845354129033e-11,1.556585549320244144e-06
6.617215391081110393e-11,1.578985216761772295e-06
6.762067149961657406e-11,1.601707227851439755e-06
6.910018744049740321e-11,1.624756221689320920e-06
7.061155050771643416e-11,1.648136904178191571e-06
7.215565538185722033e-11,1.671854048988756381e-06
7.373344626723787293e-11,1.695912498539065697e-06
7.534592079355477767e-11,1.720317164988361954e-06
7.699413422250399061e-11,1.745073031245573200e-06
7.867920398155177784e-11,1.770185151992704228e-06
8.040085191519174603e-11,1.795658652669152806e-06
8.215800335484587264e-11,1.821498731355477918e-06
8.395144868799955221e-11,1.847710663573812030e-06
8.578202521820002145e-11,1.874299800813464724e-06
8.765060746754145299e-11,1.901271571609562190e-06
8.955811009788664726e-11,1.928631482655109795e-06
9.150549107189174435e-11,1.956385119929340767e-06
9.349375507194813858e-11,1.984538149842589853e-06
9.552395719642769777e-11,2.013096320397964492e-06
9.759720695397113515e-11,2.042065462370066759e-06
9.971467257800754220e-11,2.071451490501047929e-06
1.018775856852316339e-10,2.101260404714262273e-06
1.040872463034105071e-10,2.131498291345808496e-06
1.063450282956421047e-10,2.162171324394235368e-06
1.086523852100563979e-10,2.193285766788726231e-06
1.110108565859377323e-10,2.224847971676033425e-06
1.134204959875993830e-10,2.256864381517740641e-06
1.158793765956063011e-10,2.289341528718334465e-06
1.183885050998153683e-10,2.322286043834136517e-06
1.209490340438607135e-10,2.355704653023201075e-06
1.235621683009918402e-10,2.389604179287274588e-06
1.262291692570651598e-10,2.423991543870277571e-06
1.289513593387760016e-10,2.458873767677294004e-06
1.317301269132432772e-10,2.494257972714425702e-06
1.345669315868887282e-10,2.530151383549814455e-06
1.374633099335097173e-10,2.566561328796192363e-06
1.404208816835250113e-10,2.603495242615291124e-06
1.434413564085991553e-10,2.640960666244476618e-06
1.465265407382151176e-10,2.678965249545957347e-06
1.496783461472946643e-10,2.717516752578943229e-06
1.528987973566545667e-10,2.756623047195129563e-06
1.561900413909566771e-10,2.796292118657894528e-06
1.595527139548822192e-10,2.836532064914003738e-06
1.629836779817352892e-10,2.877351095008526573e-06
1.664841001902503694e-10,2.918757542423674706e-06
1.700555583271759756e-10,2.960759861138089739e-06
1.736997021957542317e-10,3.003366626862522397e-06
1.774182594775591585e-10,3.046586538798812904e-06
1.812130420370466782e-10,3.090428421424763051e-06
1.850859527453912103e-10,3.134901226305350554e-06
1.890389928627468848e-10,3.180014033930680015e-06
1.930742700208138366e-10,3.225776055581115590e-06
