Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.042438777971836797e-11,9.574023640768411706e-07
3.110250571631588238e-11,9.711794993173965605e-07
3.179522763475144146e-11,9.851548923706355332e-07
3.250292654329740916e-11,9.993313963830762329e-07
3.322599329612705814e-11,1.013711905574076809e-06
3.396483795012979074e-11,1.028299355828228451e-06
3.471989122891106028e-11,1.043096725296381588e-06
3.549160610188153038e-11,1.058107035005434227e-06
3.628045948688632447e-11,1.073333349477017737e-06
3.708695408540870924e-11,1.088778777355217504e-06
3.791162036000243091e-11,1.104446472043467594e-06
3.875500162918174342e-11,1.120339632328829705e-06
3.961665918149563213e-11,1.136461501758667551e-06
4.049644784834629020e-11,1.152815370955472496e-06
4.139478457121737299e-11,1.169404578624558327e-06
4.231210370770491269e-11,1.186232511532016370e-06
4.324885834640698047e-11,1.203302605197804224e-06
4.420552172907590079e-11,1.220618344598929435e-06
4.518258878814725888e-11,1.238183264882880356e-06
4.618057780833104632e-11,1.256000952091468530e-06
4.720003222155835112e-11,1.274075043895232301e-06
4.824152254522663277e-11,1.292409230338572545e-06
4.930564847437885033e-11,1.311007254595785270e-06
5.039304113918996368e-11,1.329872913738159000e-06
5.150436553992081518e-11,1.349010059512307427e-06
5.264032317233933016e-11,1.368422599129919421e-06
5.380165485750230989e-11,1.388114496069099635e-06
5.498914272559362250e-11,1.408089770886000980e-06
5.620235542667501068e-11,1.428352500285536519e-06
5.744082582308408019e-11,1.448906819604704097e-06
5.870513036825129925e-11,1.469756925158719591e-06
5.999587005293098377e-11,1.490907073672967171e-06
6.131367229586079762e-11,1.512361583154560639e-06
6.265919298972160822e-11,1.534124833776633959e-06
6.403311871416792827e-11,1.556201268775554768e-06
6.543616912852740202e-11,1.578595395361263084e-06
6.686909955765128135e-11,1.601311785640935326e-06
6.833270378533938848e-11,1.624355077556186030e-06
6.982781707076880997e-11,1.647729975834021158e-06
7.135531940442558974e-11,1.671441252951755580e-06
7.291613902118169732e-11,1.695493750116117306e-06
7.451125618937660132e-11,1.719892378256766736e-06
7.614170729606070253e-11,1.744642119034459624e-06
7.780858924994050007e-11,1.769748025864089449e-06
7.951162114962502130e-11,1.795215222962023741e-06
8.124974214219480000e-11,1.821048907192538712e-06
8.302373597373585184e-11,1.847254352754964157e-06
8.483443330404703560e-11,1.873836909794082284e-06
8.668270219043412863e-11,1.900802005478815279e-06
8.856945103989248846e-11,1.928155145113756359e-06
9.049563180370625020e-11,1.955901913266957086e-06
9.246224343276409977e-11,1.984047974914216362e-06
9.447033561317557615e-11,2.012599076600139406e-06
9.652101280313941832e-11,2.041561047616212986e-06
9.861543859347653188e-11,2.070939801196181519e-06
1.007548404157941643e-10,2.100741335728994858e-06
1.029405146239085976e-10,2.130971735989595021e-06
1.051738319759206164e-10,2.161637174387840867e-06
1.074562435462247551e-10,2.192743912235857419e-06
1.097892870987392816e-10,2.224298301034103780e-06
1.121730283350532702e-10,2.256306781587009326e-06
1.146055604911329325e-10,2.288775884677602412e-06
1.170878772576168864e-10,2.321712239216325622e-06
1.196211158684904779e-10,2.355122569694227922e-06
1.222064643696821229e-10,2.389013697425683124e-06
1.248451656511773171e-10,2.423392541946945039e-06
1.275385218117763372e-10,2.458266122435252926e-06
1.302878988816738866e-10,2.493641559148824349e-06
1.330947319298045685e-10,2.529526074888063242e-06
1.359605305847860846e-10,2.565926996478326662e-06
1.388868850003007864e-10,2.602851756274595384e-06
1.418754722979028443e-10,2.640307893688416806e-06
1.449280635225214986e-10,2.678303056737467028e-06
1.480465311483711694e-10,2.716845003618120028e-06
1.512328571755742215e-10,2.755941604301396228e-06
1.544891418605726688e-10,2.795600842152689815e-06
1.578159965137402875e-10,2.835830813161784022e-06
1.612103319510487851e-10,2.876639724250936277e-06
1.646733068620932119e-10,2.918035906808537703e-06
1.682064861608551258e-10,2.960027812693408402e-06
1.718115072443992716e-10,3.002624015462440849e-06
1.754900858853510005e-10,3.045833212128731123e-06
1.792440226131188084e-10,3.089664224945551419e-06
1.830752096208712176e-10,3.134126003216617003e-06
1.869856382378706948e-10,3.179227625133052923e-06
1.909774070095386123e-10,3.224978299637479736e-06
1.950527304305809840e-10,3.271387368315691775e-06
1.992139483796509894e-10,3.318464307316356943e-06
2.034635363073841544e-10,3.366218729299190802e-06
2.078041162332225593e-10,3.414660385412111465e-06
2.122384686102571269e-10,3.463799167297822108e-06
2.167695451213850137e-10,3.513645109130337790e-06
2.213988850356932072e-10,3.564208387343514360e-06
2.261217638268054152e-10,3.615499315657398892e-06
2.309393218707336574e-10,3.667528364968635128e-06
2.358536986438954000e-10,3.720306158305658488e-06
2.408671331340654370e-10,3.773843471676819149e-06
2.459819719981677830e-10,3.828151236282325155e-06
2.512006783991352342e-10,3.883240540758891158e-06
2.565258415733216888e-10,3.939122633457615850e-06
2.619601871835722423e-10,3.995808924755632698e-06
2.675065885169107583e-10,4.053310989402115932e-06
2.731680785899154221e-10,4.111640568899185969e-06
2.789478632292403543e-10,4.170809573918319077e-06
2.848493351994129163e-10,4.230830086752853347e-06
2.908760894550240859e-10,4.291714363807214390e-06
2.970319395997366230e-10,4.353474838123478246e-06
3.033209356401984733e-10,4.416124121945923721e-06
3.097459816374506767e-10,4.479675007159626048e-06
3.163005207196368696e-10,4.544140455056110997e-06
3.229853116843933432e-10,4.609533624891140998e-06
3.298032710850311901e-10,4.675867868607793047e-06
3.367574517576426315e-10,4.743156730439483170e-06
