Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.044044438364471190e-11,9.573059395529043296e-07
3.111887312262058876e-11,9.710816872769995360e-07
3.181190627174137425e-11,9.850556728011409448e-07
3.251991742555321052e-11,9.992307489902029509e-07
3.324329813767553118e-11,1.013609809778940211e-06
3.398245928950595032e-11,1.028195790764442083e-06
3.473783256709319489e-11,1.042991669807231256e-06
3.550987205415460914e-11,1.058000467641134667e-06
3.629905594976595909e-11,1.073225248492058859e-06
3.710588841983973940e-11,1.088669120705817577e-06
3.793090159213408952e-11,1.104335237385139722e-06
3.877464048496340657e-11,1.120226797012977598e-06
3.963665749084214554e-11,1.136347042763358795e-06
4.051680223195186261e-11,1.152699264895106801e-06
4.141549265677516980e-11,1.169286801780072081e-06
4.233316433650853256e-11,1.186113039846603856e-06
4.327027180170825539e-11,1.203181414272624858e-06
4.422728998799656711e-11,1.220495409688808012e-06
4.520471579907325203e-11,1.238058560892003701e-06
4.620306979585832690e-11,1.255874453569081298e-06
4.722289802120910347e-11,1.273946725031339134e-06
4.826477397031432274e-11,1.292279064959649546e-06
4.932930071757145469e-11,1.310875216160507562e-06
5.041711321150261170e-11,1.329738975333150957e-06
5.152888075006364492e-11,1.348874193847920635e-06
5.266530964955353177e-11,1.368284778536045583e-06
5.382714612123854106e-11,1.387974692491029639e-06
5.501517830809112499e-11,1.407947955880349610e-06
5.622898297193726794e-11,1.428208645032463871e-06
5.746809597423311952e-11,1.448760894885848045e-06
5.873309276013807793e-11,1.469608901328632557e-06
6.002457285148816073e-11,1.490756920651348842e-06
6.134316168490341531e-11,1.512209270418214324e-06
6.268951260074257737e-11,1.533970330351129246e-06
6.406430899434607421e-11,1.556044543226574449e-06
6.546826664181466068e-11,1.578436415785617827e-06
6.690213621342958274e-11,1.601150519657224078e-06
6.836670598873747443e-11,1.624191492295079279e-06
6.986280478830030116e-11,1.647564037928142914e-06
7.139130513815284531e-11,1.671272928525136541e-06
7.295312668412183141e-11,1.695323004773194658e-06
7.454923987434532395e-11,1.719719177070900710e-06
7.618066992959350229e-11,1.744466426535930195e-06
7.784850112233802412e-11,1.769569806027546485e-06
7.955245197004331111e-11,1.795034439209798053e-06
8.129147505781303880e-11,1.820865522429625362e-06
8.306635514089267835e-11,1.847068329365879966e-06
8.487792414322143649e-11,1.873648209638212658e-06
8.672705178424305422e-11,1.900610589886055162e-06
8.861464857636250606e-11,1.927960974880404880e-06
9.054166906867814911e-11,1.955704948651895533e-06
9.250911535557618654e-11,1.983848175635400829e-06
9.451804087007735236e-11,2.012396401831440727e-06
9.656955448321467692e-11,2.041355455984640160e-06
9.866482493220402991e-11,2.070731250779530346e-06
1.008050856017478509e-10,2.100529784053952704e-06
1.029916396844971468e-10,2.130757140030363965e-06
1.052258657484922963e-10,2.161419490565308880e-06
1.075092237413173225e-10,2.192523096417382793e-06
1.098432614627397312e-10,2.224074308533957705e-06
1.122280389679374151e-10,2.256079567147975366e-06
1.146616205547462087e-10,2.288545402385984376e-06
1.171450004375964704e-10,2.321478442477318808e-06
1.196793176292914357e-10,2.354885411217590286e-06
1.222657622154437184e-10,2.388773129210191798e-06
1.249055794124180092e-10,2.423148515264070624e-06
1.276000739600064974e-10,2.458018587811998599e-06
1.303506148741663842e-10,2.493390466349666700e-06
1.331586405869243482e-10,2.529271372895931302e-06
1.360256645024525348e-10,2.565668633474550092e-06
1.389532810003403812e-10,2.602589679617752365e-06
1.419431719192450440e-10,2.640042049891996516e-06
1.449971135564012789e-10,2.678033391446267486e-06
1.481169842209235970e-10,2.716571461583291542e-06
1.513047723814454203e-10,2.755664129354029216e-06
1.545625854514250499e-10,2.795319377175847040e-06
1.578910456172181713e-10,2.835545300127419378e-06
1.612870770621200027e-10,2.876350104421997695e-06
1.647518383464800197e-10,2.917742120633043560e-06
1.682868928046640684e-10,2.959729799786374383e-06
1.718938755323365888e-10,3.002321714599704651e-06
1.755744991974687565e-10,3.045526561241277759e-06
1.793305603332302296e-10,3.089353161114404761e-06
1.831639461492686519e-10,3.133810462668355592e-06
1.870766419004393027e-10,3.178907543236011446e-06
1.910707388547835700e-10,3.224653610898707336e-06
1.951484429054697016e-10,3.271058006378745101e-06
1.993120838745154302e-10,3.318130204959997840e-06
2.035641255594263479e-10,3.365879818437086460e-06
2.079071765774184228e-10,3.414316597093619197e-06
2.123440020656540590e-10,3.463450431709965052e-06
2.168775362999369609e-10,3.513291355601071071e-06
2.215093071197664082e-10,3.563849544266826198e-06
2.262346163029011642e-10,3.615135310124312559e-06
2.310546092839262404e-10,3.667159122972919369e-06
2.359714267546737305e-10,3.719931604767650747e-06
2.409873093188433106e-10,3.773463530425395202e-06
2.461046056973063265e-10,3.827765830036335110e-06
2.513257816166150284e-10,3.882849591108037692e-06
2.566534294325128600e-10,3.938726060842736968e-06
2.620902785438844250e-10,3.995406648448359399e-06
2.676392066564585861e-10,4.052902927483865783e-06
2.733032519597166845e-10,4.111226638239456196e-06
2.790856262848679339e-10,4.170389690152235111e-06
2.849897293164573383e-10,4.230404164257931320e-06
2.910191639351846628e-10,4.291282315679288458e-06
2.971777527748548177e-10,4.353036576151746153e-06
3.034695560820747883e-10,4.415679556587053848e-06
3.098974791177991879e-10,4.479224047538859405e-06
3.164548976297543199e-10,4.543683009150831047e-06
3.231425603165799206e-10,4.609069599394427661e-06
3.299633900676957594e-10,4.675397168871308118e-06
3.369204473198031380e-10,4.742679260454387513e-06
3.440169414605737287e-10,4.810929612069110499e-06
3.512562431849740444e-10,4.880162159515922622e-06
3.586418978765277957e-10,4.950391039334662999e-06
3.661776400908936078e-10,5.021630591711544973e-06
3.738674092245509154e-10,5.093895363429443865e-06
3.817153664571638819e-10,5.167200110862247382e-06
3.897259130623523776e-10,5.241559803013979338e-06
3.979037101881637111e-10,5.316989624603497137e-06
4.062537002155381512e-10,5.393504979195538897e-06
4.147811298105239483e-10,5.471121492378926592e-06
4.234915747939459885e-10,5.549855014992755310e-06
4.323898927267316843e-10,5.629721624701268057e-06
4.414674587492731700e-10,5.710737609144079210e-06
4.507239061498167697e-10,5.792919503768853677e-06
4.601632086586089918e-10,5.876284088888191814e-06
4.697895267458157008e-10,5.960848386514415535e-06
4.796072231925693186e-10,6.046629663859341583e-06
4.896208799669793657e-10,6.133645436886222716e-06
4.998353165042905184e-10,6.221913473914736024e-06
5.102556094973439936e-10,6.311451799279907762e-06
5.208871143109391295e-10,6.402278697045931001e-06
5.317354881416138865e-10,6.494412714775789201e-06
5.428067150528269152e-10,6.587872667357725005e-06
5.541071330245325542e-10,6.682677640889476687e-06
5.656434631657542381e-10,6.778846996621382541e-06
5.774228412490075627e-10,6.876400374959378116e-06
5.894528517363336296e-10,6.975357699528978988e-06
6.017409376321482254e-10,7.075739180252274476e-06
6.142765988423689262e-10,7.177565287693105539e-06
6.270570242011007821e-10,7.280856800165462832e-06
6.400876226016149158e-10,7.385634808836920344e-06
6.533740611979006091e-10,7.491920708702430396e-06
6.669222871990436868e-10,7.599736202987213601e-06
6.807385514956856719e-10,7.709103307615563244e-06
6.948294342578878144e-10,7.820044355746694006e-06
7.092018726535162521e-10,7.932582002378827665e-06
7.238631908467040023e-10,8.046739229022676208e-06
7.388211324470887383e-10,8.162539348445570033e-06
7.540838955924033107e-10,8.280006009487538203e-06
7.696601708596463555e-10,8.399163201950540170e-06
7.855591822135743948e-10,8.520035261562287218e-06
8.017907312156347863e-10,8.642646875015966521e-06
8.183652447317947016e-10,8.767023085087304399e-06
8.352936424703071735e-10,8.893189295519037714e-06
8.525643408988214832e-10,9.021171237279166681e-06
8.701696659329160720e-10,9.150995018559220957e-06
8.881169727237892030e-10,9.282687148912523463e-06
9.064139706632733057e-10,9.416274519812709007e-06
9.250687535013338403e-10,9.551784410192232176e-06
9.440898320004548978e-10,9.689244492064116531e-06
9.634861693199159318e-10,9.828682836228442682e-06
9.832672193365147911e-10,9.970127918065001626e-06
1.003442968122780184e-09,1.011360862341373629e-05
1.024023978819128014e-09,1.025915425454452809e-05
1.045021440152878673e-09,1.040679453621792603e-05
1.066447218874585824e-09,1.055655962183853787e-05
1.088313916400835646e-09,1.070848009970281115e-05
1.110634929972590708e-09,1.086258699934292038e-05
1.133424518659410378e-09,1.101891179796868635e-05
1.156697874562498685e-09,1.117748642700933359e-05
1.180444964714365643e-09,1.133834323297855901e-05
1.204649728357555768e-09,1.150151501795916112e-05
1.229322099619301391e-09,1.166703510206055091e-05
1.254472492269792947e-09,1.183493728551639577e-05
1.280111831635242105e-09,1.200525585564010504e-05
1.306251598012834242e-09,1.217802559389991671e-05
1.332903873722553147e-09,1.235328178310123700e-05
1.360081394071502617e-09,1.253106021467822528e-05
1.387797602525665890e-09,1.271139719609654350e-05
1.416066710404666141e-09,1.289432955836945736e-05
1.444903761437054099e-09,1.307989466368928463e-05
1.474324701537085606e-09,1.326813041317648288e-05
1.504346454188932150e-09,1.345907525474853470e-05
1.534987001850891238e-09,1.365276819111106157e-05
1.566265473820532279e-09,1.384924878787346498e-05
1.598202241031968170e-09,1.404855718179163450e-05
1.630791310644133561e-09,1.425073403825637041e-05
1.664004140276785261e-09,1.445582056677942617e-05
