Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.057271337446852113e-11,9.560213094464676162e-07
3.125403243471411109e-11,9.697785756909121869e-07
3.195002899017050368e-11,9.837338138862371752e-07
3.266107625700358261e-11,9.978898730738665801e-07
3.338756511572471685e-11,1.012249643310129259e-06
3.412990544787485479e-11,1.026816056257923934e-06
3.488852757825902940e-11,1.041592085787017584e-06
3.566388383051872113e-11,1.056580748583102155e-06
3.645645020436839447e-11,1.071785104765748508e-06
3.726672818339698185e-11,1.087208258515395236e-06
3.809524668294687900e-11,1.102853358709511494e-06
3.894254717596047088e-11,1.118723599545234824e-06
3.980819317268503575e-11,1.134822219859404865e-06
4.069204269756665142e-11,1.151152505504939914e-06
4.159451435138279267e-11,1.167717790377316127e-06
4.251604426905365454e-11,1.184521456363675458e-06
4.345708744631573908e-11,1.201566934034925260e-06
4.441811917467842474e-11,1.218857703347921618e-06
4.539963659285517885e-11,1.236397294357885460e-06
4.640216036343823170e-11,1.254189287941215378e-06
4.742623648419860794e-11,1.272237316528848958e-06
4.847243824405014034e-11,1.290545064850341419e-06
4.954136833441410864e-11,1.309116270688826709e-06
5.063366112746684322e-11,1.327954725647027733e-06
5.174998513354669435e-11,1.347064275924489971e-06
5.289104565084430463e-11,1.366448823106213196e-06
5.405758762140229215e-11,1.386112324962866372e-06
5.525039763317724497e-11,1.406058796261258636e-06
5.646903726439999137e-11,1.426292307823001299e-06
5.771303196923791482e-11,1.446816989017374728e-06
5.898296064163719199e-11,1.467637030115377539e-06
6.027942690220665896e-11,1.488756681711389014e-06
6.160306100756831690e-11,1.510180255593499693e-06
6.295452191659991476e-11,1.531912125626551267e-06
6.433449952545945793e-11,1.553956728648084829e-06
6.574371708411906366e-11,1.576318565377396329e-06
6.718293380802613484e-11,1.599002201337902726e-06
6.865294769946296156e-11,1.622012267793026148e-06
7.015459859418985427e-11,1.645353462695813755e-06
7.168877145003908440e-11,1.669030551652505476e-06
7.325639989528026927e-11,1.693048368900270919e-06
7.485847005580820481e-11,1.717411818299342239e-06
7.649602468151396422e-11,1.742125874339775684e-06
7.817016759359752487e-11,1.767195583163072861e-06
7.988062360969728169e-11,1.792626061590892074e-06
8.162633299979033851e-11,1.818422498977592391e-06
8.340808015937283951e-11,1.844590161927006070e-06
8.522669603678202548e-11,1.871134392879585480e-06
8.708304856846475394e-11,1.898060611189406556e-06
8.897804558658008871e-11,1.925374314234137291e-06
9.091263796542526918e-11,1.953081078541249139e-06
9.288782302472871186e-11,1.981186560930708510e-06
9.490464820912074353e-11,2.009696499674411982e-06
9.696421506444171619e-11,2.038616715672628461e-06
9.906768353298936899e-11,2.067953113647714661e-06
1.012162765913402363e-10,2.097711683355381539e-06
1.034112852560187780e-10,2.127898500813786111e-06
1.056540739840318642e-10,2.158519729550732833e-06
1.079460864971474924e-10,2.189581621869288632e-06
1.102888520607770285e-10,2.221090520132083484e-06
1.126824144933824518e-10,2.253052855867674560e-06
1.151248399966780180e-10,2.285475150435452687e-06
1.176171279343896879e-10,2.318364023195832903e-06
1.201604235157462270e-10,2.351726188952307276e-06
1.227559243283536325e-10,2.385568459191730687e-06
1.254048845410148719e-10,2.419897743480807111e-06
1.281086194536027596e-10,2.454721050883096114e-06
1.308685104202298158e-10,2.490045491396872035e-06
