Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
2.978833620628432103e-11,9.564665451936831376e-07
3.045243856193003441e-11,9.702302057485653959e-07
3.113084594316216848e-11,9.841919300180985400e-07
3.182392402568640387e-11,9.983545683512694236e-07
3.253205600358474302e-11,1.012721012129534681e-06
3.325564392175990940e-11,1.027294194358627188e-06
3.399511011363285757e-11,1.042077090268988710e-06
3.475089875185440299e-11,1.057072717924954087e-06
3.552347752032885998e-11,1.072284138842823769e-06
3.631333941641977800e-11,1.087714458617962960e-06
3.712100469281713690e-11,1.103366827561063762e-06
3.794700625375587591e-11,1.119244441321703932e-06
3.879091449240604630e-11,1.135350540260426962e-06
3.965258717053012111e-11,1.151688411770949395e-06
4.053243287705258167e-11,1.168261391286711465e-06
4.143087725243339743e-11,1.185072862255142539e-06
4.234836427491745758e-11,1.202126256830106744e-06
4.328535765168258907e-11,1.219425056574442042e-06
4.424234232282112994e-11,1.236972793172737188e-06
4.521982608664851626e-11,1.254773049154513634e-06
4.621834135542680597e-11,1.272829458627963587e-06
4.723844705122678966e-11,1.291145708024413408e-06
4.828073065232868828e-11,1.309725536853676461e-06
4.934581040128375964e-11,1.328572738470468222e-06
5.043433768652820094e-11,1.347691160852044569e-06
5.154699961026207270e-11,1.367084707387259981e-06
5.268452175617933035e-11,1.386757337677204257e-06
5.384767012959291891e-11,1.406713068346181929e-06
5.503602369562629554e-11,1.426955972168125889e-06
5.624912652580792147e-11,1.447490180471441457e-06
5.748754362902479560e-11,1.468319885445732892e-06
5.875186405034215465e-11,1.489449339628723358e-06
6.004270272183528672e-11,1.510882856776658986e-06
6.136070246541551102e-11,1.532624812747407216e-06
6.270653615916924670e-11,1.554679646396435754e-06
6.408090907953996999e-11,1.577051860485874166e-06
6.548456143254638350e-11,1.599746022606858857e-06
6.691827108815313259e-11,1.622766766115368945e-06
6.838285653289310049e-11,1.646118791081759730e-06
6.987918005688858440e-11,1.669806865254214815e-06
7.140815119253660248e-11,1.693835825036323130e-06
7.297073042331508343e-11,1.718210576479018893e-06
7.456793318243636090e-11,1.742936096287096882e-06
7.620083416242807621e-11,1.768017432840545920e-06
7.786916439912289844e-11,1.793459705293056997e-06
7.957189282090122246e-11,1.819268105448988785e-06
8.130978653776136791e-11,1.845447902341932865e-06
8.308365830161710664e-11,1.872004440879675738e-06
8.489435720988695237e-11,1.898943142922571714e-06
8.674277156609256097e-11,1.926269508394432769e-06
8.862983197532732374e-11,1.953989116409698149e-06
9.055651469233207744e-11,1.982107626417127274e-06
9.252384524115977447e-11,2.010630779360291624e-06
9.453290232673621630e-11,2.039564398855107871e-06
9.658482206004146937e-11,2.068914392384715495e-06
9.868080252014278815e-11,2.098686752511944733e-06
1.008221086779201581e-10,2.128887558109683603e-06
1.030100777080388558e-10,2.159522975609407855e-06
1.052461247175532643e-10,2.190599260268196999e-06
1.075317489214705462e-10,2.222122757454509559e-06
1.098670075613929563e-10,2.254099901746425027e-06
1.122500313601511157e-10,2.286537217525118766e-06
1.146817951293221737e-10,2.319441327175315351e-06
1.171634147737810688e-10,2.352818948562426346e-06
1.196960564997686277e-10,2.386676896273029210e-06
1.222809408230025392e-10,2.421022083011276068e-06
1.249193469075549518e-10,2.455861521015759611e-06
1.276126172605236013e-10,2.491202323497183805e-06
1.303621628092776553e-10,2.527051706097140976e-06
1.331694683899357524e-10,2.563416988368359482e-06
1.360360986777290695e-10,2.600305595276736230e-06
1.389637045920351590e-10,2.637725058725531804e-06
1.419540302111374361e-10,2.675683019102058557e-06
1.450089202341884755e-10,2.714187226847250029e-06
1.481303280304348879e-10,2.753245544048468704e-06
1.513203243185129585e-10,2.792865946055944308e-06
1.545795110198589842e-10,2.833056520865000913e-06
1.579048343665731317e-10,2.873825467696683825e-06
