Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.032154132046691657e-11,9.576589203802854078e-07
3.099734883729642100e-11,9.714397457953878631e-07
3.168771130925759502e-11,9.854188820129687228e-07
3.239300006724198759e-11,9.995991829533537154e-07
3.311360416158581857e-11,1.013983543622826363e-06
3.384993170781674118e-11,1.028574900706399212e-06
3.460241133870435088e-11,1.043376233169238993e-06
3.537149377045481391e-11,1.058390562866875928e-06
3.615765349143239958e-11,1.073620955164332939e-06
3.696139058236892538e-11,1.089070519564314076e-06
3.778323267763790833e-11,1.104742410344594058e-06
3.862372010404191163e-11,1.120639827181176181e-06
3.948241487787291577e-11,1.136766014425124169e-06
4.035917238452716391e-11,1.153124263531250009e-06
4.125440832388550090e-11,1.169717914100721083e-06
4.216855582291442304e-11,1.186550353808740497e-06
4.310206675401596599e-11,1.203625019097861127e-06
4.405541316094543258e-11,1.220945395881397983e-06
4.502908880043268256e-11,1.238515020257093918e-06
4.602361080821581319e-11,1.256337479231203624e-06
4.703952149880517470e-11,1.274416411453145637e-06
4.807739030894734081e-11,1.292755507960892384e-06
4.913781589545241342e-11,1.311358512937263251e-06
5.022142839878795370e-11,1.330229224477293019e-06
5.132889188463167781e-11,1.349371495366839794e-06
5.246090697641675030e-11,1.368789233872620476e-06
5.361821369279898333e-11,1.388486404543845491e-06
5.480159344175617071e-11,1.408467029024200242e-06
5.601061622321763110e-11,1.428735185173677777e-06
5.724481508503776162e-11,1.449295009481143131e-06
5.850476434710396039e-11,1.470150699376356128e-06
5.979106271672674615e-11,1.491306512712828549e-06
6.110433516518747968e-11,1.512766768639334634e-06
6.244523495840014080e-11,1.534535848484127294e-06
6.381444585336829541e-11,1.556618196652053367e-06
6.521268447294072066e-11,1.579018321534771827e-06
6.664070287224562570e-11,1.601740796434271698e-06
6.809929131111837116e-11,1.624790260499896104e-06
6.958928124783544204e-11,1.648171419679090170e-06
7.111154857052979989e-11,1.671889047682077736e-06
7.266701708379699858e-11,1.695947986960691788e-06
7.425666226920976526e-11,1.720353149701578396e-06
7.588151533974643524e-11,1.745109518834005408e-06
7.754266760951186603e-11,1.770222149052502271e-06
7.923984534813459665e-11,1.795696165913330829e-06
8.097200118886959762e-11,1.821536767710238307e-06
8.273991483214823813e-11,1.847749230061289158e-06
8.454441237723972538e-11,1.874338904553169354e-06
8.638635688167071049e-11,1.901311219820856504e-06
8.826665127186419955e-11,1.928671682659843998e-06
9.018624149281882433e-11,1.956425879154659729e-06
9.214611991488175379e-11,1.984579475823927373e-06
9.414732901693579471e-11,2.013138220782236609e-06
9.619096536667102005e-11,2.042107944919078095e-06
9.827818392005269074e-11,2.071494563095131817e-06
1.004102026636318375e-10,2.101304075356168634e-06
1.025883076249827513e-10,2.131542568164857690e-06
1.048138582782968928e-10,2.162216215650763425e-06
1.070882933740237167e-10,2.193331280878835009e-06
1.094131372234295306e-10,2.224894117136676619e-06
1.117884417735280955e-10,2.256911166986963213e-06
1.142122937271196220e-10,2.289388962872400771e-06
1.166856846425049438e-10,2.322334135465339607e-06
1.192097502575616239e-10,2.355753411044628095e-06
1.217856778040779290e-10,2.389653612734970952e-06
1.244147101219264012e-10,2.424041661905483974e-06
1.270981501128168737e-10,2.458924579588770258e-06
1.298373655593158635e-10,2.494309487920858001e-06
1.326337943366196942e-10,2.530203611602318361e-06
1.354889500464929951e-10,2.566614279380912347e-06
1.384044281048332312e-10,2.603548925556103449e-06
1.413819123165084339e-10,2.641015091505803608e-06
1.444231819734453751e-10,2.679020427235695577e-06
1.475301195144308132e-10,2.717572692951517928e-06
1.507047187877353969e-10,2.756679760654677762e-06
1.539490939604927967e-10,2.796349615761586701e-06
1.572638703125605662e-10,2.836590356408740234e-06
1.606459573973788794e-10,2.877410191892760431e-06
1.640965050131277435e-10,2.918817455840600804e-06
1.676170679128773305e-10,2.960820602367044019e-06
1.712092718819690967e-10,3.003428207317736725e-06
1.748748194798402445e-10,3.046648970027832394e-06
1.786154962580218900e-10,3.090491715106494073e-06
1.824331774903930720e-10,3.134965394247703444e-06
1.863298354543021258e-10,3.180079088067776829e-06
1.903075473038721384e-10,3.225842007970017592e-06
1.943685035796890184e-10,3.272263498036973766e-06
1.985150174021417024e-10,3.319353036950726544e-06
2.027495343989616432e-10,3.367120239941676343e-06
2.070746434210017545e-10,3.415574860766315610e-06
2.114930881040159299e-10,3.464726793714450840e-06
2.160077793381687306e-10,3.514586075646383313e-06
2.206202215820361527e-10,3.565162885710071656e-06
2.253257082262610293e-10,3.616467540330121357e-06
2.301253806648242190e-10,3.668510513189383888e-06
2.350213759829588896e-10,3.721302430149627500e-06
2.400159322503088013e-10,3.774854070093545574e-06
2.451113968539950150e-10,3.829176367137324413e-06
2.503102355255330716e-10,3.884280412875937004e-06
2.556150421141700135e-10,3.940177458661664186e-06
2.610285491629033326e-10,3.996878917916425568e-06
2.665536393473767861e-10,4.054396368478454232e-06
2.721933578420438187e-10,4.112741554983900123e-06
2.779509256824634431e-10,4.171926391283952066e-06
2.838297541973627519e-10,4.231962962898062867e-06
2.898334605891854245e-10,4.292863529503915317e-06
2.959658847472628054e-10,4.354640527464745738e-06
3.022311073835198600e-10,4.417306572394669661e-06
3.086320654737808737e-10,4.480874459582749718e-06
3.151622031103291812e-10,4.545357153674768079e-06
3.218222623352958069e-10,4.610767817420755579e-06
3.286151416989560934e-10,4.677119806333729002e-06
3.355438732909723790e-10,4.744426668270615609e-06
3.426116337196283913e-10,4.812702146214782619e-06
3.498217560081549080e-10,4.881960181099789259e-06
3.571777424778259504e-10,4.952214914675092343e-06
3.646832786924007534e-10,5.023480692414386415e-06
3.723422485437094702e-10,5.095772066467284868e-06
3.801587505637583011e-10,5.169103798655099302e-06
3.881371155546644463e-10,5.243490863511448934e-06
3.962819256340732761e-10,5.318948451368478508e-06
4.045980348004554602e-10,5.395491971489470739e-06
4.130905911298891251e-10,5.473137055248674907e-06
4.217650607235967646e-10,5.551899559359164773e-06
4.306261910983771801e-10,5.631795567451937531e-06
4.396654160694764851e-10,5.712841373232139344e-06
4.488823968609423693e-10,5.795053518228724258e-06
4.582810991160153775e-10,5.878448788903224971e-06
4.678656783856245271e-10,5.963044213500936656e-06
4.776404960893402559e-10,6.048857065551465263e-06
4.876101368145882978e-10,6.135904867421393768e-06
4.977794270557697813e-10,6.224205393919972679e-06
5.081534555020661992e-10,6.313776675958718261e-06
5.187375949903286540e-10,6.404637004265861229e-06
5.295375262475665699e-10,6.496804933156575095e-06
5.405592635562129813e-10,6.590299284359985378e-06
5.518091824845681268e-10,6.685139150903921043e-06
5.632940498346717980e-10,6.781343901058466968e-06
5.750210559703374430e-10,6.878933182339359295e-06
5.869978496992594391e-10,6.977926925572293448e-06
5.992319450174168951e-10,7.078345347985640486e-06
6.117127817286756763e-10,7.180208928004729488e-06
