Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.126786301392559180e-11,9.576634354111720076e-07
3.196449415341184540e-11,9.714443390494389165e-07
3.267612838908461987e-11,9.854235549158116191e-07
3.340314706434507100e-11,9.996039369583919600e-07
3.414594956898801746e-11,1.013988380211918474e-06
3.490495470502553350e-11,1.028579821390566629e-06
3.568060216037711011e-11,1.043381239489405960e-06
3.647335409838536144e-11,1.058395656394640505e-06
3.728369687166692921e-11,1.073626137502773375e-06
3.811214286939549113e-11,1.089075792348832669e-06
3.895923250773908244e-11,1.104747775243799764e-06
3.982551898413447991e-11,1.120645285897640163e-06
4.071055357661300995e-11,1.136771568685414883e-06
4.161418983458119094e-11,1.153129915087148480e-06
4.253685579255592072e-11,1.169723664734673681e-06
4.347899748017217799e-11,1.186556205334197329e-06
4.444108028662205043e-11,1.203630973359600447e-06
4.542359043648852792e-11,1.220951454755838116e-06
4.642703658540012335e-11,1.238521185652594800e-06
4.745195154452563354e-11,1.256343753088349501e-06
4.849889414355917464e-11,1.274422795745012514e-06
4.956845124252060625e-11,1.292762004693297057e-06
5.066123990341496777e-11,1.311365124148993059e-06
5.177790973356050073e-11,1.330235952240312524e-06
5.291914541321242760e-11,1.349378341786473738e-06
5.408566942098037496e-11,1.368796201087711120e-06
5.527824497146569088e-11,1.388493494726881995e-06
5.649767808038695249e-11,1.408474244381344716e-06
5.774352114628682921e-11,1.428742527866018955e-06
5.901528807844730262e-11,1.449302481644853423e-06
6.031357015254305445e-11,1.470158303200456874e-06
6.163898380814239894e-11,1.491314250442928394e-06
6.299217258838775508e-11,1.512774642581713711e-06
6.437380923904343692e-11,1.534543861010196005e-06
6.578459797899061680e-11,1.556626350203215411e-06
6.722527695509998121e-11,1.579026618627725992e-06
6.869662089531827756e-11,1.601749239666784811e-06
7.019944397477238991e-11,1.624798852557088867e-06
7.173460291072625635e-11,1.648180163340273134e-06
7.330300030332447598e-11,1.671897945828182327e-06
7.490558824022935624e-11,1.695957042582343162e-06
7.654337218450785354e-11,1.720362365907860538e-06
7.821741516645620714e-11,1.745118898861970345e-06
7.992884230147014173e-11,1.770231696277483124e-06
8.167736450988717012e-11,1.795705883747830432e-06
8.346189209863900871e-11,1.821546659506659116e-06
8.528322856275756082e-11,1.847759299227875125e-06
8.714222549748365618e-11,1.874349154554315302e-06
8.903977282847467958e-11,1.901321654176376717e-06
9.097680183912467450e-11,1.928682304944056365e-06
9.295428844655502383e-11,1.956436692995267663e-06
9.497325674505110492e-11,1.984590484900681282e-06
9.703478283703774363e-11,2.013149428825359902e-06
9.913999897308938389e-11,2.042119355707431661e-06
1.012900980239702062e-10,2.071506180454098981e-06
1.034863383092938965e-10,2.101315903155236032e-06
1.057300488090967333e-10,2.131554610314868344e-06
1.080226347864308142e-10,2.162228476100808975e-06
1.103655838510201441e-10,2.193343763612768056e-06
1.127604724960806937e-10,2.224906826169204211e-06
1.152073589504449046e-10,2.256924106376645834e-06
1.177042702378793219e-10,2.289402136767877049e-06
1.202522262987613042e-10,2.322347548097700472e-06
1.228523953227614683e-10,2.355767066729664385e-06
1.255059981385342362e-10,2.389667515876378584e-06
1.282143124076876976e-10,2.424055816998307558e-06
1.309786771648550816e-10,2.458938991223109709e-06
1.338004977300553546e-10,2.494324160785849600e-06
1.366812510213659379e-10,2.530218550490423278e-06
1.396224912978928918e-10,2.566629489192529583e-06
1.426258563651138405e-10,2.603564411304537264e-06
1.456930742768982387e-10,2.641030858322612954e-06
1.488259705708858130e-10,2.679036480376454770e-06
1.520264760764388028e-10,2.717589037802019894e-06
1.552966353370828452e-10,2.756696402737620517e-06
1.586386156922306608e-10,2.796366560743773127e-06
1.620530525660039721e-10,2.836607609971012785e-06
1.655367656847862179e-10,2.877427759430769380e-06
1.690909411441451154e-10,2.918835342848294173e-06
1.727171823017572590e-10,2.960838814474449062e-06
1.764171663007506978e-10,3.003446750299909678e-06
1.801926500518008595e-10,3.046667849814617138e-06
1.840454767113421874e-10,3.090510937793148591e-06
1.879775826934733999e-10,3.134984966106470711e-06
1.919910052557688524e-10,3.180099015560471300e-06
1.960878907020226558e-10,3.225862297761717065e-06
2.002705032479547135e-10,3.272284157010895823e-06
2.045412345991025937e-10,3.319374072224387820e-06
2.089026142935372611e-10,3.367141658884435851e-06
2.133573208656755605e-10,3.415596671018407144e-06
2.179081938913365187e-10,3.464749003207626445e-06
2.225582469783193710e-10,3.514608692626282149e-06
2.273090493008877509e-10,3.565185918644290668e-06
2.321557730568754515e-10,3.616490997415841373e-06
2.370995910738596973e-10,3.668534402716370672e-06
2.421426982236056832e-10,3.721326760564766348e-06
2.472873917870960406e-10,3.774878850002869954e-06
2.525360798631455526e-10,3.829201605307995059e-06
2.578912904770939787e-10,3.884306118238164256e-06
2.633556814426514782e-10,3.940203640310572737e-06
2.689320510337006277e-10,3.996905585113842968e-06
2.746233495268335214e-10,4.054423530654627830e-06
2.804326916796380260e-10,4.112769221739120825e-06
2.863633702142718842e-10,4.171954572390085771e-06
2.924188703806767287e-10,4.231991668299969249e-06
2.986028856789243202e-10,4.292892769320757336e-06
3.049193348256603666e-10,4.354670311991161936e-06
3.113723800554458491e-10,4.417336912101806693e-06
3.179650059091723256e-10,4.480905365099238839e-06
3.246904676512696275e-10,4.545388635670524931e-06
3.315495378262115632e-10,4.610799886748346599e-06
3.385452066850369349e-10,4.677152474067079984e-06
3.456806041169199134e-10,4.744459945712425780e-06
3.529590111959968978e-10,4.812736044904418990e-06
3.603838726929554747e-10,4.881994712821720528e-06
3.679588106246447801e-10,4.952250091467896246e-06
3.756876389201077019e-10,5.023516526580369477e-06
3.835743792869266992e-10,5.095808570582771315e-06
3.916232783676317696e-10,5.169140985581441640e-06
3.998388262821590811e-10,5.243528746406809331e-06
4.082257766590063541e-10,5.318987043700452128e-06
4.167891682648245103e-10,5.395531287048601841e-06
4.255343483497520535e-10,5.473177108162949587e-06
4.344669978338516093e-10,5.551940364109545540e-06
4.435920549871292445e-10,5.631837138833930041e-06
4.529006203410727040e-10,5.712883725674802469e-06
4.623923117890126785e-10,5.795096666245105270e-06
4.720712124690034520e-10,5.878492747319765709e-06
4.819416002945788537e-10,5.963088997471229340e-06
4.920079642922070605e-10,6.048902690571081503e-06
5.022750223081240335e-10,6.135951349343880778e-06
5.127477401885525903e-10,6.224252748974109881e-06
5.234313525446212219e-10,6.313824920767138457e-06
5.343313852210921650e-10,6.404686155865135445e-06
5.454536795963124600e-10,6.496855009018897474e-06
5.568044188496684837e-10,6.590350302416559758e-06
5.683901563422642289e-10,6.685191129570205079e-06
5.802178462666215577e-10,6.781396859261407632e-06
5.922948767319267078e-10,6.878987139546773905e-06
6.046291054627924089e-10,6.977981901824575808e-06
6.172282503667625862e-10,7.078401363891328359e-06
6.300814703244226070e-10,7.180266003634404933e-06
6.431858237578172304e-10,7.283596607097031118e-06
6.565468546142317303e-10,7.388414273595159083e-06
6.701703698382526552e-10,7.494740406397046522e-06
6.840624614953646125e-10,7.602596717128658070e-06
6.982295307544587728e-10,7.712005230245087015e-06
7.126783138706290143e-10,7.822988287569128922e-06
7.274159103195687554e-10,7.935568552898177798e-06
7.424498132454815319e-10,8.049769016680654329e-06
7.577879423957238665e-10,8.165613000763204582e-06
7.734386797274529651e-10,8.283124163209965100e-06
7.894109078843944768e-10,8.402326503195128551e-06
8.057140517555595877e-10,8.523244365970241386e-06
8.223581233423316690e-10,8.645902447907568458e-06
8.393537701759112731e-10,8.770325801620956055e-06
8.567121410010688165e-10,8.896539840846367990e-06
8.744215603050292477e-10,9.024570305717708935e-06
8.924743120407307639e-10,9.154443313911287029e-06
9.108779221161739904e-10,9.286185385255412569e-06
9.296402755869145182e-10,9.419823421658200658e-06
9.487696470927636337e-10,9.555384712649489244e-06
9.682747338584817663e-10,9.692896941006156025e-06
9.881646914536249980e-10,9.832388188462323300e-06
1.008449172520412907e-09,9.973886941505899194e-06
1.029138368693140041e-09,1.011742209726307817e-05
1.050243055948247125e-09,1.026302296947235261e-05
1.071774643640818821e-09,1.041071929454970068e-05
1.093745227501014083e-09,1.056054123774661245e-05
1.116167646882862256e-09,1.071251939940273292e-05
1.139055546578001805e-09,1.086668482129487373e-05
1.162423443528454733e-09,1.102306899308428575e-05
1.186286798795398234e-09,1.118170385886403231e-05
1.210635236481374639e-09,1.134262177653931927e-05
1.235452293383223480e-09,1.150585555949762304e-05
1.260748172061248608e-09,1.167143854085851131e-05
1.286533573794530052e-09,1.183940453408079871e-05
1.312819732094847783e-09,1.200978783992331612e-05
1.339618458075024298e-09,1.218262325352606380e-05
1.366942189617776457e-09,1.235794607159896138e-05
1.394804044632929203e-09,1.253579209972013951e-05
1.423217878711016693e-09,1.271619765974582647e-05
1.452198347502822279e-09,1.289919959733391332e-05
1.481760974177323551e-09,1.308483528958336098e-05
1.511922222334987406e-09,1.327314265279161937e-05
1.542699574779416497e-09,1.346416015033238447e-05
1.574111618578154112e-09,1.365792680065606677e-05
1.606178136873049576e-09,1.385448218541532582e-05
1.638920207932170754e-09,1.405386645771828987e-05
1.672331711616513081e-09,1.425612029796322471e-05
1.706383162769851576e-09,1.446128492940834421e-05
1.741087722518633867e-09,1.466940224785722349e-05
1.776459869617068238e-09,1.488051475413211938e-05
1.812514800089846972e-09,1.509466556164325332e-05
1.849268488505433380e-09,1.531189840529970813e-05
1.886737754390846483e-09,1.553225765055648861e-05
1.924940334177701114e-09,1.575578830260033811e-05
1.963894959096585696e-09,1.598253601567678755e-05
2.003621439466025920e-09,1.621254710256134077e-05
2.044140755853328296e-09,1.644586854417744216e-05
2.085475157617745134e-09,1.668254799936413194e-05
2.127648269381725646e-09,1.692263381479645876e-05
2.170685206013649993e-09,1.716617503506151263e-05
2.214612696745599844e-09,1.741322141289354411e-05
2.259459219092423027e-09,1.766382341957111759e-05
2.305226106131607303e-09,1.791803220043849300e-05
2.351866856092680584e-09,1.817589954643026537e-05
2.399397022131047388e-09,1.843747811299732654e-05
2.447836157321832733e-09,1.870282132055395123e-05
2.497204779195605125e-09,1.897198335961970041e-05
2.547524452315193831e-09,1.924501920203460845e-05
2.598817877794257956e-09,1.952198461234686349e-05
2.651108990284356785e-09,1.980293615937628437e-05
2.704423062994177548e-09,2.008793122795688409e-05
2.758786821344065969e-09,2.037702803086223309e-05
2.814228565900933512e-09,2.067028562091708516e-05
2.870778305283476123e-09,2.096776390329908759e-05
2.928467899775387039e-09,2.126952364803443490e-05
2.987331216435149260e-09,2.157562650269152145e-05
3.047404296545260493e-09,2.188613500527666574e-05
3.108725536301564082e-09,2.220111259733630743e-05
3.171307646252639757e-09,2.252062358206497356e-05
3.235081885190426470e-09,2.284473302869450683e-05
3.300064411776734610e-09,2.317350711116407895e-05
3.366281697018151003e-09,2.350701297548422983e-05
