Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.129882770632746288e-11,9.578216370900781346e-07
3.199595626845049900e-11,9.716048173173558708e-07
3.270808535588006263e-11,9.855863425405397316e-07
3.343559821790813876e-11,9.997690671792432513e-07
3.417889649117808453e-11,1.014155886746463060e-06
3.493840160016416219e-11,1.028749738441472089e-06
3.571455626833614202e-11,1.043553601751369242e-06
3.650782614817214951e-11,1.058570499061414910e-06
3.731870157874726167e-11,1.073803496274291261e-06
3.814769948022759690e-11,1.089255703438424073e-06
3.899536539524010654e-11,1.104930275385508861e-06
3.986225812267108829e-11,1.120830412353963552e-06
4.074792377369666958e-11,1.136959359272969220e-06
4.165221079269658604e-11,1.153320408175543295e-06
4.257554710367199187e-11,1.169916899242817040e-06
4.351837852099644801e-11,1.186752220737657398e-06
4.448117010175300700e-11,1.203829809698020842e-06
4.546440760844074037e-11,1.221153152640402382e-06
4.646859909040131662e-11,1.238725786273535568e-06
4.749427659290371033e-11,1.256551298222499788e-06
4.854199800345140890e-11,1.274633327763393656e-06
4.961234904554459296e-11,1.292975566568739251e-06
5.070594543084254451e-11,1.311581759463781109e-06
5.182343518143100453e-11,1.330455705193852544e-06
5.296550113470908321e-11,1.349601257202974262e-06
5.413286364427421229e-11,1.369022324423872041e-06
5.532628349110349924e-11,1.388722872079580545e-06
5.654656392243621910e-11,1.408706922495314451e-06
5.779325744461682470e-11,1.428978554144523856e-06
5.906588011136040079e-11,1.449541904172081327e-06
6.036502372895840469e-11,1.470401170755764664e-06
6.169130538466063970e-11,1.491560612511800488e-06
6.304536939939742522e-11,1.513024549366977623e-06
6.442788944097796582e-11,1.534797363443507691e-06
6.583957080992707207e-11,1.556883499956828788e-06
6.728115291097864077e-11,1.579287468126557657e-06
6.875341192415601674e-11,1.602013842100787918e-06
7.025716369034358320e-11,1.625067261893955022e-06
7.179326682729178111e-11,1.648452434338474798e-06
7.336262609310408579e-11,1.672174134050374358e-06
7.496619601543497243e-11,1.696237204409142559e-06
7.660498480588578521e-11,1.720646558552022595e-06
7.828005858042559957e-11,1.745407180382981763e-06
7.999254590809367727e-11,1.770524125596599169e-06
8.174215990926605447e-11,1.796002520602394874e-06
8.352780997422705271e-11,1.821847564423227876e-06
8.535029910913661318e-11,1.848064533608212986e-06
8.721047823146256420e-11,1.874658780689203605e-06
8.910923636922916719e-11,1.901635735259171608e-06
9.104750366474621020e-11,1.929000905084509618e-06
9.302625462506414487e-11,1.956759877233623635e-06
9.504651163778899665e-11,1.984918319222054245e-06
9.710934877219905426e-11,2.013481980174405497e-06
9.921589588699767094e-11,2.042456692003324132e-06
1.013673430675253826e-10,2.071848370605819699e-06
1.035649454168372426e-10,2.101663017077191938e-06
1.058100282267426242e-10,2.131906718942847927e-06
1.081039925567057589e-10,2.162585651408294012e-06
1.104483212504256321e-10,2.193706078627609573e-06
1.128445854219590980e-10,2.225274354990680880e-06
1.152928423428132006e-10,2.257296924218049821e-06
1.177911263418048117e-10,2.289780319984039202e-06
1.203404570962110510e-10,2.322731174134354690e-06
1.229420022678552960e-10,2.356156214134665295e-06
1.255969821860090743e-10,2.390062264312658611e-06
1.283066740482777245e-10,2.424456247256728947e-06
1.310724164683016006e-10,2.459345185235175958e-06
1.338956143965184220e-10,2.494736201636262292e-06
1.367777444420709182e-10,2.530636522429441142e-06
1.397203606259124066e-10,2.567053477648110291e-06
1.427251005972555990e-10,2.603994502894217485e-06
1.457936923477459347e-10,2.641467140865093652e-06
1.489279614601216476e-10,2.679479042902855305e-06
1.521298389306631488e-10,2.718037970566752233e-06
1.554013696074401697e-10,2.757151797228837382e-06
1.587447212892502654e-10,2.796828509693345624e-06
1.621605207385550360e-10,2.837076207425260616e-06
1.656455596958721719e-10,2.877903100933244626e-06
1.692010233005352123e-10,2.919317525328781860e-06
1.728285165326266198e-10,2.961327936257473067e-06
1.765297187645004221e-10,3.003942911125515528e-06
1.803063898121383575e-10,3.047171150859536402e-06
1.841603764885065529e-10,3.091021481692361792e-06
1.880936196969273720e-10,3.135502856975184449e-06
1.921081621051430132e-10,3.180624359016515070e-06
1.962061564435956281e-10,3.226395200948382654e-06
