Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.062935343360597346e-11,9.564877956984849204e-07
3.131198241385572783e-11,9.702517749722511239e-07
3.200930949162231472e-11,9.842138229894869391e-07
3.272171027368151659e-11,9.983767901341214464e-07
3.344957836834812815e-11,1.012743567816641005e-06
3.419332675536623387e-11,1.027317089065208347e-06
3.495338926403489900e-11,1.042100329125348564e-06
3.573022216755105647e-11,1.057096306068329039e-06
3.652430590210312080e-11,1.072308081408360379e-06
3.733614691983787118e-11,1.087738760728756204e-06
3.816627968544935367e-11,1.103391494317180542e-06
3.901525163320449381e-11,1.119269477789104521e-06
3.988261900473339422e-11,1.135375951548344006e-06
4.076823424801887525e-11,1.151714203104857260e-06
4.167251712499244045e-11,1.168287567999820330e-06
4.259590495904647683e-11,1.185099429796248701e-06
4.353885396205547067e-11,1.202153220772195504e-06
4.450184066965935212e-11,1.219452422624099092e-06
4.548536349299819881e-11,1.237000567180437517e-06
4.648994439566385403e-11,1.254801237125860388e-06
4.751613070524775680e-11,1.272858066735952891e-06
4.856449706951975763e-11,1.291174742622804781e-06
4.963564756797151243e-11,1.309755004491561574e-06
5.073021799020255491e-11,1.328602645908126507e-06
5.184887829342154500e-11,1.347721515078195161e-06
5.299233525218208149e-11,1.367115515637808039e-06
5.416133531437448825e-11,1.386788607455607662e-06
5.535666660256955084e-11,1.406744807445273391e-06
5.657789157577239470e-11,1.426988188338584255e-06
5.782453689936583573e-11,1.447522881336900793e-06
5.909718346008486566e-11,1.468353078756788401e-06
6.039643696167551797e-11,1.489483033264334483e-06
6.172292983991054620e-11,1.510917058745483916e-06
6.307732333488947612e-11,1.532659531189051408e-06
6.446030973253983514e-11,1.554714889582604326e-06
6.587261478807565984e-11,1.577087636821421156e-06
6.731500034506188445e-11,1.599782340630715358e-06
6.878826716468838068e-11,1.622803634501338684e-06
7.029325798087346839e-11,1.646156218639170860e-06
7.183086079790138301e-11,1.669844860928405473e-06
7.340201244845370537e-11,1.693874397908950819e-06
7.500770243112817620e-11,1.718249735768170807e-06
7.664897704785017448e-11,1.742975851347183180e-06
7.832694386298333083e-11,1.768057793161956252e-06
8.004133059633292875e-11,1.793500680807560568e-06
8.179107941850696960e-11,1.819309706637186407e-06
8.357697765214221910e-11,1.845490139799052837e-06
8.539985923867574065e-11,1.872047325302844635e-06
8.726059516511634483e-11,1.898986685099482145e-06
8.916009637066800389e-11,1.926313719190565459e-06
9.109931689194858969e-11,1.954034006753971298e-06
9.307925726482690813e-11,1.982153207285847399e-06
9.510096820216749412e-11,2.010677061759255964e-06
9.716555456811886777e-11,2.039611393799717748e-06
9.927417967102224998e-11,2.068962110877929741e-06
1.014280698985486659e-10,2.098735205519903776e-06
1.036285197203091486e-10,2.128936756534812357e-06
1.058768970849247199e-10,2.159572930260806416e-06
1.081746492404022881e-10,2.190649981829095095e-06
1.105233090086399408e-10,2.222174256446564537e-06
1.129229300702798572e-10,2.254152188617842078e-06
1.153715950111806203e-10,2.286590302999254535e-06
1.178703065413409700e-10,2.319495222204707763e-06
1.204202125721064448e-10,2.352873664342846460e-06
1.230225131226439517e-10,2.386732444264694312e-06
1.256784644849045885e-10,2.421078474962177383e-06
