Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.014830365705840525e-11,9.580833020369157876e-07
3.082044066987270146e-11,9.718702305350357401e-07
3.150706010897635933e-11,9.858555576596584511e-07
3.220852991225131291e-11,1.000042138585498952e-06
3.292523540051592052e-11,1.014432869589762244e-06
3.365758059213920812e-11,1.029030688645003047e-06
3.440598962147233467e-11,1.043838576020632060e-06
3.517090826875829689e-11,1.058859554893193666e-06
3.595280560971062868e-11,1.074096691965550410e-06
3.675217579351774563e-11,1.089553098095114627e-06
3.756953995863089324e-11,1.105231928931264667e-06
3.840543140615662681e-11,1.121136385540758230e-06
3.925941068590607771e-11,1.137269713815144099e-06
4.013133379289661454e-11,1.153635206730322262e-06
4.102161518435893177e-11,1.170236205355484455e-06
4.193068695414438326e-11,1.187076098853106961e-06
4.285900017760577073e-11,1.204158325172354227e-06
4.380702636629485636e-11,1.221486371752571918e-06
4.477525904077734436e-11,1.239063776237016354e-06
4.576421543044939967e-11,1.256894127196986580e-06
4.677443830986170239e-11,1.274981064866506441e-06
4.780649798172062877e-11,1.293328281887728605e-06
4.886099441744361577e-11,1.311939524067217677e-06
4.993855956690034172e-11,1.330818591143287083e-06
5.103985984977477473e-11,1.349969337564553430e-06
5.216559884184174050e-11,1.369395673279889802e-06
5.331652017036410664e-11,1.389101564539952296e-06
5.449340956507175046e-11,1.409091034709027423e-06
5.569583446912867760e-11,1.429368163408969371e-06
5.692332129418723076e-11,1.449937088959511879e-06
5.817644195038650253e-11,1.470802010652473979e-06
5.945579254483306487e-11,1.491967188233394901e-06
6.076199523773064835e-11,1.513436942773803511e-06
6.209570025081111056e-11,1.535215657556233699e-06
6.345758803960837725e-11,1.557307778972177777e-06
6.484837164192959581e-11,1.579717817433184331e-06
6.626879921574336595e-11,1.602450348295303212e-06
6.771965678062933849e-11,1.625510012797082401e-06
6.920177117791885841e-11,1.648901519011342095e-06
7.071601326570629217e-11,1.672629642810932444e-06
7.226330136603128901e-11,1.696699228848700277e-06
7.384460498272624845e-11,1.721115191551895614e-06
7.546094880969540536e-11,1.745882516131245831e-06
7.711341705074888190e-11,1.771006259604934212e-06
7.880175233133053406e-11,1.796491549806416893e-06
8.052493465252940253e-11,1.822343587241187483e-06
8.228373875789591132e-11,1.848567649849850216e-06
8.407898489517562504e-11,1.875169091572956233e-06
8.591152951266508966e-11,1.902153343430170155e-06
