ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      155.5827646228,        3.1969434609,       14.7800000000,        0.2526983542,    0.2512971127E+07,                 NaN,        1.3830939320,        1.6013186127,                 NaN,                 NaN,                 NaN,                 NaN
      159.0396493685,        3.3973472774,       14.5750000000,        0.2631856991,    0.2082100898E+07,                 NaN,        1.4065794739,        1.6878340486,                 NaN,                 NaN,                 NaN,                 NaN
      162.5733424430,        3.5993285552,       14.4000000000,        0.2735159138,    0.1742769212E+07,                 NaN,        1.4271666008,        1.7748214613,                 NaN,                 NaN,                 NaN,                 NaN
      166.1855504464,        3.8107064530,       14.2400000000,        0.2840612582,    0.1463558242E+07,                 NaN,        1.4464770059,        1.8594834894,                 NaN,                 NaN,                 NaN,                 NaN
      169.8780178973,        4.0374117265,       14.0900000000,        0.2950888742,    0.1227430960E+07,                 NaN,        1.4653917407,        1.9494689671,                 NaN,                 NaN,                 NaN,                 NaN
      173.6525280760,        4.2862264370,       13.9500000000,        0.3069051487,    0.1023840874E+07,                 NaN,        1.4845803209,        2.0453706182,                 NaN,                 NaN,                 NaN,                 NaN
      177.5109038853,        4.5647992020,       13.8150000000,        0.3198511720,    0.8457148345E+06,                 NaN,        1.5044527620,        2.1462004998,                 NaN,                 NaN,                 NaN,                 NaN
      181.4550087309,        4.8400615605,       13.7000000000,        0.3323620413,    0.7081976465E+06,                 NaN,        1.5227735148,        2.2528244912,                 NaN,                 NaN,                 NaN,                 NaN
      185.4867474215,        5.0910731569,       13.6100000000,        0.3434345671,    0.6081613662E+06,                 NaN,        1.5382007962,        2.3363302328,                 NaN,                 NaN,                 NaN,                 NaN
      189.6080670885,        5.3290437051,       13.5341741912,        0.3535579223,    0.5313651337E+06,                 NaN,        1.5519525526,        2.4171049717,                 NaN,                 NaN,                 NaN,                 NaN
      193.8209581268,        5.6163895769,       13.4500000000,        0.3653593403,    0.4558462989E+06,                 NaN,        1.5675399780,        2.5077410527,                 NaN,                 NaN,                 NaN,                 NaN
      198.1274551554,        6.0394570611,       13.3450000000,        0.3823256183,    0.3683491044E+06,                 NaN,        1.5891273760,        2.6364077740,                 NaN,                 NaN,                 NaN,                 NaN
      202.5296380006,        6.5530256820,       13.2390409115,        0.4028265296,    0.2882136142E+06,                 NaN,        1.6138333587,        2.7960619117,                 NaN,                 NaN,                 NaN,                 NaN
      207.0296327002,        6.9628458709,       13.1650000000,        0.4189059169,    0.2398579664E+06,                 NaN,        1.6321989896,        2.9171588564,                 NaN,                 NaN,                 NaN,                 NaN
      211.6296125305,        7.3656740945,       13.1050000000,        0.4342359087,    0.2025475898E+06,                 NaN,        1.6490253682,        3.0341883268,                 NaN,                 NaN,                 NaN,                 NaN
      216.3317990552,        7.8470578075,       13.0429311565,        0.4520373212,    0.1675033361E+06,                 NaN,        1.6677966717,        3.1663800878,                 NaN,                 NaN,                 NaN,                 NaN
      221.1384631994,        8.3909780213,       12.9829142829,        0.4716805920,    0.1369443176E+06,                 NaN,        1.6876636797,        3.3039100780,                 NaN,                 NaN,                 NaN,                 NaN
