ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      155.0221004220,        2.9102615550,       15.1290121473,        0.2163799013,    0.4221764443E+07,                 NaN,        1.3033735087,        1.4288455560,                 NaN,                 NaN,                 NaN,                 NaN
      159.2496715844,        3.1784781924,       14.7200000000,        0.2306329435,    0.3157534252E+07,                 NaN,        1.3829389979,        1.5187948048,                 NaN,                 NaN,                 NaN,                 NaN
      163.5925318437,        3.4758051719,       14.3683277706,        0.2462035966,    0.2349254992E+07,                 NaN,        1.4345099872,        1.6443984115,                 NaN,                 NaN,                 NaN,                 NaN
      168.0538252214,        3.8066230306,       14.0550000000,        0.2632664507,    0.1739716717E+07,                 NaN,        1.4749500958,        1.7903736620,                 NaN,                 NaN,                 NaN,                 NaN
      172.6367814793,        4.1740796598,       13.7886187002,        0.2819195208,    0.1281484340E+07,                 NaN,        1.5108468091,        1.9512749845,                 NaN,                 NaN,                 NaN,                 NaN
      177.3447184572,        4.5825048640,       13.5574859702,        0.3022989713,    0.9402017679E+06,                 NaN,        1.5447320499,        2.1209083171,                 NaN,                 NaN,                 NaN,                 NaN
      182.1810444747,        5.0376362464,       13.3600000000,        0.3245970581,    0.6854580297E+06,                 NaN,        1.5770130499,        2.3026344424,                 NaN,                 NaN,                 NaN,                 NaN
      187.1492607992,        5.5412888298,       13.1950000000,        0.3487879473,    0.4989581571E+06,                 NaN,        1.6081552778,        2.4949960754,                 NaN,                 NaN,                 NaN,                 NaN
      192.2529641801,        6.1000537200,       13.0600000000,        0.3750586036,    0.3618059768E+06,                 NaN,        1.6382024052,        2.6981528898,                 NaN,                 NaN,                 NaN,                 NaN
      197.4958494529,        6.7177197732,       12.9500000000,        0.4034348582,    0.2621888441E+06,                 NaN,        1.6672703383,        2.9096487119,                 NaN,                 NaN,                 NaN,                 NaN
      202.8817122143,        7.4020489948,       12.8635725173,        0.4340962883,    0.1897384886E+06,                 NaN,        1.6954621032,        3.1309909317,                 NaN,                 NaN,                 NaN,                 NaN
